k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
0,-100.0,-700.0,-5.0,5.921379810939778,1.0346870849912595,2,0.40639717785511054,0.9515349166894042,1-2-3,5.569175681230685,1.0686588351354098,2,0.42708299713370107,0.979607992756422,1-3,5.1038454356273935,1.101106122895313,2,0.4320430817520348,1.012804753833508
10,-92.66666666666667,-653.3333333333334,-5.0,6.008890311737492,0.9900484753293474,2,0.05265335648146348,0.9886473625885022,0-2-3,5.406849496428746,1.1584769462767064,2,0.05789915370235225,1.157029179863306,0-3,4.745241925934381,1.3166476404241567,2,0.07472102285649748,1.31452568547662
20,-85.33333333333333,-606.6666666666666,-5.0,5.884502102076782,1.0536979823408035,2,0.4935094197201361,0.9309822182171766,0-2-3,5.5948617722246015,1.0546569972315423,2,0.49360272334445954,0.9320180970970393,0-2,5.149454854520415,1.0759946893547196,2,0.5115907292175246,0.9465936283845571
30,-78.0,-560.0,-5.0,5.633810375150587,1.1948830183615813,2,0.8942188630525344,0.7925389911732518,0-1-2,5.322903409261105,1.208880386031497,2,0.9017277928023567,0.8051576090551784,0-2,4.819821457987642,1.2692999282239843,2,0.9553418277387887,0.8357298008101196
40,-70.66666666666667,-513.3333333333334,-5.0,5.296294305669719,1.4149625102077337,2,1.2432108746220158,0.6756816014329038,0-1-2,4.897940105804957,1.495490626433927,2,1.309113434082862,0.7229897858583585,0-2,4.257356232739048,1.6820223194417292,2,1.4822894646078666,0.7949949850235906
50,-63.333333333333336,-466.6666666666667,-5.0,4.944513722685873,1.6873596602965557,2,1.5823270730469894,0.5860235977319137,0-1-2,4.472923481506429,1.849890216384685,2,1.7301307683786444,0.6547834275432586,0-1,3.842491004820146,2.0701449494982618,2,1.9431106536545115,0.714017576525604
60,-56.0,-420.0,-5.0,4.615590673033061,1.989185573103495,2,1.9223830929625871,0.5111775504995077,0-1-2,4.092332282825194,2.237853722961861,2,2.15880902190013,0.5895192043834248,0-1,3.527440891304624,2.4235553124745035,2,2.3421452654445627,0.6228771212518628
70,-48.666666666666664,-373.3333333333333,-5.0,4.318396300719288,2.3080021372338164,2,2.264883010612122,0.44404821102717507,0-1-3,3.815758323856694,2.569886398057839,2,2.5244980613011627,0.48085926985903404,0-1,3.232654176473133,2.808597400112993,2,2.755418455370716,0.5439563325524595
80,-41.333333333333336,-326.6666666666667,-5.0,4.051769481651005,2.637242687730427,2,2.609545938983741,0.38120727474835825,0-1-3,3.575884689212421,2.897465241044197,2,2.8688368044710613,0.40630064283923595,0-1,2.9642947717434853,3.2120238562041736,2,3.1773791513769605,0.47048802452321137
90,-34.0,-280.0,-5.0,3.811971876599651,2.9732583588043875,2,2.9558826420353386,0.32097207777989917,0-1-3,3.355019308455087,3.235858918543738,2,3.2181909581270487,0.3376831321643947,0-1,2.7212918767006355,3.627077540622474,2,3.6049780396927154,0.39978096380547956
100,-26.66666666666667,-233.33333333333337,-5.0,3.595075067505927,3.313897049260591,2,3.303482714089033,0.26251782951451186,0-1-3,3.1521266353586292,3.581417068482921,2,3.571005673064521,0.2728858760760819,0-1,2.50077163383533,4.049950522475368,2,4.036423670699428,0.3307312883835771
110,-19.333333333333343,-186.66666666666674,-5.0,3.3976165623974346,3.6578193563754997,2,3.6520402268366663,0.20553497376861943,0-1-3,2.965398758845771,3.9319497372489214,2,3.9262853192870897,0.21097944876821365,0-1,2.29970416857893,4.478333551164755,2,4.470602467202061,0.26303037036581456
120,-12.0,-140.0,-5.0,3.2167064914278947,4.004152521946417,2,4.001332749290743,0.150245294313133,0-1-3,2.7929483860616178,4.286070162021767,2,4.283373126964504,0.15202660613070523,0-1,2.115373765269066,4.9107449408344985,2,4.906788947751654,0.19707383426991557
130,-4.666666666666657,-93.33333333333326,-5.0,3.0499739783378415,4.352305362541222,2,4.3511981921359455,0.09816446178716838,0-1-3,2.6330425807422726,4.642860058316667,2,4.64182215516363,0.09816619043397429,0-1,1.9454710958683763,5.346190409394892,2,5.344491568283815,0.13476561152284502
140,2.6666666666666714,-46.66666666666663,-5.0,2.8954789201046864,4.701864044508069,2,4.701517063770926,0.0571208552857733,0-1-3,2.4841642544051523,5.001688307708913,2,5.001319307240907,0.06075454296909568,1-3,1.7939492533869075,5.766989999161333,2,5.766379052718532,0.08394206809312846
150,10.0,0.0,-5.0,2.751627805938609,5.052530638562758,2,5.052199980688728,0.05780318974075153,0-1-3,2.345010376476581,5.362107362045439,2,5.361639466659202,0.07083496074902698,1-3,1.6619588526388314,6.160451813497096,2,6.159998974330746,0.07469392655239847
