t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,199.97694396972656,-199.97694396972656,-4.976943492889404,199.97700344297886,-199.97700327700377,-4.977003506925583,0.00010322841375823042,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.065503990284702e-08,0.0004262545643823045,nan,nan,nan
0.02,199.9752960205078,-199.9752960205078,-4.975301265716553,199.97718094412087,-199.97718069040178,-4.967597524772703,0.00815184286933049,1.0004000001826252,1.0004000001826252,0.0008991910516330248,0.06600823100503775,0.1723731876533542,nan,9.192241939854658e-05,nan
0.03,199.97377014160156,-199.97377014160156,-4.973775386810303,199.97747501269578,-199.97747492201327,-4.967892647276917,0.007877695864996734,1.0009000006351882,1.0009000006351882,0.0009995107999378019,0.034650989050070365,0.17295784626866112,nan,nan,nan
0.04,199.9723663330078,-199.9723663330078,-4.9723639488220215,199.977884479177,-199.97788466444015,-4.954755083082153,0.019260687204414963,1.0016000015212516,1.0016000015212516,0.0005317765199244777,0.5831481374244396,0.7439110993473645,nan,0.23904610492696365,nan
0.05,199.9710693359375,-199.9710693359375,-4.971066474914551,199.96285121600033,-199.96220223061533,-4.953631456561997,0.02121657175535194,1.000136159857599,1.000136159857599,0.00047135043475060633,0.6450588080046984,1.2987776255468297,0.21411482344933708,nan,nan
0.06,199.96987915039062,-199.96987915039062,-4.969881534576416,199.96037648060164,-199.95959796835388,-4.9509416935510995,0.023552516113051553,1.0001960690185168,1.0001960690185168,0.0003207125249314022,1.118697894868963,1.8034510270097603,nan,0.012039127129619034,nan
0.07,199.9687957763672,-199.9687957763672,-4.968807697296143,199.95801348228733,-199.95710538850744,-4.949779379115965,0.02479919205744248,1.000266870913067,1.000266870913067,0.0003466969814233004,1.0446141051953872,1.8067836640156976,nan,nan,nan
0.08,199.96783447265625,-199.96783447265625,-4.967844009399414,199.95576105522633,-199.95472338391974,-4.956845839380662,0.020943442889243286,1.0003485656857503,1.0003485656857503,0.00026870186355409443,0.45048095467792754,1.321836507630552,nan,0.5760918875551232,nan
0.09,199.96697998046875,-199.96697998046875,-4.966989040374756,199.95361805573663,-199.95245082312175,-4.956345942181584,0.022425721502557835,1.0004411534810664,1.0004411534810664,0.00030271740266169536,0.3745851284957566,1.3263303793102053,nan,nan,nan
0.1,199.9662322998047,-199.9662322998047,-4.966241836547852,199.9332773828237,-199.9618040764478,-4.9634789083786375,0.03336569327005121,1.0002799430390896,1.0002799430390896,0.0002198198410369,0.03583272865527993,3.7029459020673405,1.7741599055396895,0.9339901210157565,nan
0.11,199.96559143066406,-199.96559143066406,-4.965601444244385,199.92951913411179,-199.96089864817898,-4.963440983558853,0.03644036740184437,1.0003387291688073,1.0003387291688073,0.00024222993303413308,0.020592039825342922,3.7070801654458148,nan,nan,nan
0.12,199.96505737304688,-199.96505737304688,-4.965066432952881,199.92586708713205,-199.96009931337642,-4.970647747838803,0.03989501148812406,1.0004031143902965,1.0004031143902965,0.00020746689984599585,0.15170945053917056,3.85482797453834,nan,0.8196928535818292,nan
0.13,199.96463012695312,-199.96463012695312,-4.964635848999023,199.92232021980786,-199.95940489070588,-4.971218357257396,0.043136536155005845,1.0004730988480575,1.0004730988480575,0.000232756991578682,0.1879738799230015,3.860670692318145,nan,nan,nan
0.14,199.9643096923828,-199.9643096923828,-4.964308738708496,199.91887732418553,-199.95881425901592,-4.975646788604484,0.04714712338358794,1.0005486826865908,1.0005486826865908,0.00020331264016074373,0.634377378001198,4.28236003933065,nan,0.23739773701853367,nan
0.15,199.96408081054688,-199.96408081054688,-4.964083671569824,199.93388365595249,-199.9746443387523,-4.972220665407508,0.03301010364205287,1.000423869832177,1.000423869832177,0.0002033478705987416,0.3266259833232299,2.5799008865797646,3.6562938776436704,nan,nan
0.16,199.96395874023438,-199.96395874023438,-4.96396017074585,199.93186870272345,-199.97534623701625,-4.962756277054587,0.034071908523442086,1.0004822670248124,1.0004822670248124,0.000180793006185342,0.0091755685949667,2.2529659696761035,nan,2.1751553749624417,nan
0.17,199.96392822265625,-199.96392822265625,-4.963936805725098,199.92995456011755,-199.97614871655063,-4.962799642286294,0.03612261560300443,1.00054443243672,1.00054443243672,0.00020170039831695133,0.007714036411014561,2.24627009903922,nan,nan,nan
0.18,199.96400451660156,-199.96400451660156,-4.964012145996094,199.92814006882747,-199.97705080352583,-4.956782966563764,0.03884231264890603,1.0006103662124004,1.0006103662124004,0.00018025314004452552,0.2913869204009152,2.541598476422469,nan,0.8408077579407054,nan
