t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,199.97694396972656,-199.97694396972656,-4.976943492889404,199.97700317306519,-199.9770034230113,-4.977003224351883,0.00010299308704757704,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.0606515327854807e-08,0.0004243133402167382,nan,nan,nan
0.02,199.9752960205078,-199.9752960205078,-4.975301265716553,199.9771803478658,-199.9771810628295,-4.9426718280851425,0.03273811653544991,1.0004000001826252,1.0004000001826252,0.0008991910516330248,1.184049355889679,1.2903977904407578,nan,0.0011915426707328678,nan
0.03,199.97377014160156,-199.97377014160156,-4.973775386810303,199.97747442460062,-199.97747560642958,-4.942961459197616,0.03125620445685326,1.0009000006351882,1.0009000006351882,0.0009995107999378019,0.949990284305879,1.2942475257632,nan,nan,nan
0.04,199.9723663330078,-199.9723663330078,-4.9723639488220215,199.9778840938151,-199.9778858389497,-4.963264957498294,0.011987588301170018,1.0016000015212516,1.0016000015212516,0.0005317765199244777,0.1557496036518588,0.8069054144095529,nan,0.5155170985360682,nan
0.05,199.9710693359375,-199.9710693359375,-4.971066474914551,199.976500380183,-199.99661395369708,-4.955454212064442,0.030426411049950874,1.000136159857599,1.000136159857599,0.00047135043475060633,0.51779771848482,6.5511936618034055,0.5661990976723251,nan,nan
0.06,199.96987915039062,-199.96987915039062,-4.969881534576416,199.97675577027758,-200.00089187115648,-4.976102797996411,0.03236944344457733,1.0001960690185168,1.0001960690185168,0.0003207125249314022,0.12169053472939718,6.148072877447822,nan,2.8877396005106477,nan
0.07,199.9687957763672,-199.9687957763672,-4.968807697296143,199.97712298137986,-200.0052814608802,-4.974954407680043,0.0379253156381153,1.000266870913067,1.000266870913067,0.0003466969814233004,0.11037732268223385,6.156684447336769,nan,nan,nan
0.08,199.96783447265625,-199.96783447265625,-4.967844009399414,199.9776007894191,-200.00978154095586,-4.97206628816365,0.04327545632350232,1.0003485656857503,1.0003485656857503,0.00026870186355409443,0.06820157182892364,6.092886991627204,nan,0.0299683609946306,nan
0.09,199.96697998046875,-199.96697998046875,-4.966989040374756,199.97818792954303,-200.01439097469898,-4.971039515564133,0.04888585527134149,1.0004411534810664,1.0004411534810664,0.00030271740266169536,0.05656928864671456,6.095487468120476,nan,nan,nan
0.1,199.9662322998047,-199.9662322998047,-4.966241836547852,199.95345475124535,-199.9804994214473,-4.971323527482919,0.01981514799113883,1.0002799430390896,1.0002799430390896,0.0002198198410369,0.11784283719413324,1.5440885514265936,8.075730754100764,0.029624933599382983,nan
0.11,199.96559143066406,-199.96559143066406,-4.965601444244385,199.95171421012415,-199.9814631783555,-4.970530058359865,0.02165134780547487,1.0003387291688073,1.0003387291688073,0.00024222993303413308,0.10072607058730457,1.5404471756022922,nan,nan,nan
0.12,199.96505737304688,-199.96505737304688,-4.965066432952881,199.950079759942,-199.98253302124368,-4.9737980595946,0.024616426995562633,1.0004031143902965,1.0004031143902965,0.00020746689984599585,0.3680161049154733,1.8192064870382234,nan,0.25161708412972494,nan
0.13,199.96463012695312,-199.96463012695312,-4.964635848999023,199.9485502853232,-199.98370782549134,-4.9734365755494725,0.026456996733838365,1.0004730988480575,1.0004730988480575,0.000232756991578682,0.33338467999708904,1.8118243908958949,nan,nan,nan
0.14,199.9643096923828,-199.9643096923828,-4.964308738708496,199.94712463819874,-199.9849865531909,-4.977974395396236,0.030159722029453072,1.0005486826865908,1.0005486826865908,0.00020331264016074373,0.9192594138192002,2.4231841468198763,nan,0.38737550496179246,nan
0.15,199.96408081054688,-199.96408081054688,-4.964083671569824,199.92231590201968,-199.95737459884296,-4.977624049786914,0.04441421734045129,1.000423869832177,1.000423869832177,0.0002033478705987416,0.903405253349633,4.689829166765745,6.767411751805774,nan,nan
0.16,199.96395874023438,-199.96395874023438,-4.96396017074585,199.91952905429835,-199.9569247833036,-4.968247485766421,0.045186885404542125,1.0004822670248124,1.0004822670248124,0.000180793006185342,0.10369164163596636,3.952601905233803,nan,2.0068285459852584,nan
0.17,199.96392822265625,-199.96392822265625,-4.963936805725098,199.91684297794458,-199.95657573630055,-4.9680073336071064,0.04782936882718111,1.00054443243672,1.00054443243672,0.00020170039831695133,0.08441741180573947,3.9200723305043574,nan,nan,nan
