t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.00010309219355720607,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.02,0.025014036255192832,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.03,0.027207982124837424,2.002799512070314,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.04,0.02309801589164717,2.0037317795624277,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.05,0.032219712313374255,2.000743670149949,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.06,0.033039827117904784,2.000712850561965,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.07,0.036843006940704755,2.0008804388075574,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.08,0.03656087420063478,2.0009658332350546,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.09,0.0408008304905263,2.0011850243647946,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.1,0.04430359900892916,2.000779705919216,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.11,0.048523225038524895,2.0009196882706486,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.12,0.05287010370527172,2.001013695680439,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.13,0.05708476547086708,2.0011789546876937,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.14,0.06307434644176256,2.0013006780133424,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.15,0.04101242364824883,2.001051087534953,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.16,0.04332932415183003,2.00114532705581,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.17,0.045723114801554256,2.001290565271757,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.18,0.04821056054987197,2.001400985564845,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.19,0.05063499316140656,2.001561708686198,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.2,0.05064414688828968,2.001301292416897,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.21,0.05297082295848103,2.0014354314665472,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.22,0.05585444856047082,2.0015397667699943,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.23,0.058441286035674424,2.0016851258633834,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.24,0.05999836515401185,2.0018006492515488,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.25,0.07638087146317013,2.0015937686352876,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.26,0.07887265861716306,2.0016943840063637,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.27,0.08176963334516126,2.0018299238861594,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.28,0.08510354254332031,2.0019395305306027,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.29,0.08806769665115305,2.0020836601615226,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.3,0.0738741451587377,2.0018569710735528,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.31,0.07626166036989306,2.001985603861998,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.32,0.07817471647561997,2.002091462428748,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.33,0.08055608541274492,2.0022271753611025,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.34,0.08469511687387495,2.002340746736524,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.35000000000000003,0.09912564879678407,2.0021476527849624,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.36,0.10214177113836782,2.002251023449533,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.37,0.10493575973746883,2.0023805404516093,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.38,0.10611627500447812,2.0024906315294273,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.39,0.10883564309852442,2.002626171145659,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.4,0.11710982273147716,2.0024155024842454,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.41000000000000003,0.11996106373009695,2.0025402633982203,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
0.42,0.1226888026158078,2.0026478863836,4.0,usv1|usv2|usv3|usv4,nan,nan,nan,nan,manual
