t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.0001031333004671061,3.0003000000571873,2.0,usv2|usv4,2.0,3.9465259832378545,2.0,3.4159309781655565,xy
0.02,0.04802385239752911,2.0016991914168836,2.0,usv2|usv4,2.0,3.9465252799601074,2.0,3.415298846357729,xy
0.03,0.05005679304683613,2.002799512070314,2.0,usv2|usv4,2.0,3.9465237320004083,2.0,3.4147386887729914,xy
0.04,0.01795952691559435,2.0037317795624277,2.0,usv2|usv4,2.0,3.9465213541417223,2.0,3.4142536348311148,xy
0.05,0.03404621107738393,2.000743670149949,2.0,usv2|usv4,2.0,3.9463931347248935,2.0,3.4137689123728654,xy
0.06,0.03614260592957037,2.000712850561965,2.0,usv2|usv4,2.0,3.9463642719655874,2.0,3.413460396614899,xy
0.07,0.041135948723760384,2.0008804388075574,2.0,usv2|usv4,2.0,3.9463346769096765,2.0,3.4132415749678775,xy
0.08,0.04129344135570235,2.0009658332350546,2.0,usv2|usv4,2.0,3.9463043268757128,2.0,3.41309751373294,xy
0.09,0.04642501480996575,2.0011850243647946,2.0,usv2|usv4,2.0,3.946273274894367,2.0,3.4130445721791323,xy
0.1,0.02605736623704793,2.000779705919216,2.0,usv2|usv4,2.0,3.9463937720985998,2.0,3.4132113331748415,xy
0.11,0.028706349924578958,2.0009196882706486,2.0,usv2|usv4,2.0,3.946376522518428,2.0,3.413328979381009,xy
0.12,0.030959213414337088,2.001013695680439,2.0,usv2|usv4,2.0,3.9463585720860355,2.0,3.413520482017478,xy
0.13,0.033598806684667304,2.0011789546876937,2.0,usv2|usv4,2.0,3.9463399331944027,2.0,3.413785294034102,xy
0.14,0.039179394526676965,2.0013006780133424,2.0,usv2|usv4,2.0,3.946320623520478,2.0,3.4141253925054342,xy
0.15,0.049357664609335224,2.001051087534953,2.0,usv2|usv4,2.0,3.946310780923,2.0,3.41454692272856,xy
0.16,0.05126644068691883,2.00114532705581,2.0,usv2|usv4,2.0,3.9462907929977207,2.0,3.415014487647468,xy
0.17,0.054568037609495225,2.001290565271757,2.0,usv2|usv4,2.0,3.94627015264235,2.0,3.4155490231259935,xy
0.18,0.05851140025083768,2.001400985564845,2.0,usv2|usv4,2.0,3.946248863834823,2.0,3.416147274110173,xy
0.19,0.061819030321409396,2.001561708686198,2.0,usv2|usv4,2.0,3.9462269292973393,2.0,3.416801752009962,xy
0.2,0.04345388564733649,2.001301292416897,2.0,usv2|usv4,2.0,3.9464120553755038,2.0,3.4176727878206705,xy
0.21,0.0456678854393179,2.0014354314665472,2.0,usv2|usv4,2.0,3.9463992579639147,2.0,3.418416979169771,xy
0.22,0.04773540649056714,2.0015397667699943,2.0,usv2|usv4,2.0,3.9463858434045522,2.0,3.419182506122649,xy
0.23,0.05008808977420105,2.0016851258633834,2.0,usv2|usv4,2.0,3.94637183804859,2.0,3.4199703104529933,xy
0.24,0.052175198361221614,2.0018006492515488,2.0,usv2|usv4,2.0,3.9463574040599765,2.0,3.4207704526448777,xy
0.25,0.050950974170175495,2.0015937686352876,2.0,usv2|usv4,2.0,3.9463591059775145,2.0,3.421574291923467,xy
0.26,0.05322199261623402,2.0016943840063637,2.0,usv2|usv4,2.0,3.946345243728596,2.0,3.4223499681101126,xy
0.27,0.05543714717260996,2.0018299238861594,2.0,usv2|usv4,2.0,3.946331551710869,2.0,3.423108829335243,xy
0.28,0.05743709223624935,2.0019395305306027,2.0,usv2|usv4,2.0,3.946318079195775,2.0,3.4238427028568053,xy
0.29,0.059621503323184756,2.0020836601615226,2.0,usv2|usv4,2.0,3.94630485363345,2.0,3.424539024126805,xy
0.3,0.06835321242953026,2.0018569710735528,2.0,usv2|usv4,2.0,3.946060234330953,2.0,3.4249840397909,xy
0.31,0.07076398354878216,2.001985603861998,2.0,usv2|usv4,2.0,3.9460398095746547,2.0,3.4255764250776006,xy
0.32,0.07315836585706267,2.002091462428748,2.0,usv2|usv4,2.0,3.946019654582591,2.0,3.42610983365823,xy
0.33,0.07554517998062131,2.0022271753611025,2.0,usv2|usv4,2.0,3.945999769619169,2.0,3.4265798138408194,xy
0.34,0.07807473620951608,2.002340746736524,2.0,usv2|usv4,2.0,3.945980153307729,2.0,3.4269838051943924,xy
0.35000000000000003,0.08387625115522176,2.0021476527849624,2.0,usv2|usv4,2.0,3.945986719929971,2.0,3.427349774716273,xy
0.36,0.0864232911786428,2.002251023449533,2.0,usv2|usv4,2.0,3.9459683774381333,2.0,3.4276209599142162,xy
0.37,0.08894255347640484,2.0023805404516093,2.0,usv2|usv4,2.0,3.9459502969840674,2.0,3.42782236192236,xy
