t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.00010313282974088298,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,2.0,3.7297326534580537,3.0,9.091826384568675,xy
0.02,0.011466120659106892,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,2.0,3.7297320901765647,3.0,9.086356085271731,xy
0.03,0.0107022794717365,2.002799512070314,4.0,usv1|usv2|usv3|usv4,2.0,3.729731379476131,3.0,9.081759913962083,xy
0.04,0.010830885279595802,2.0044997541279956,4.0,usv1|usv2|usv3|usv4,2.0,3.7297301933199356,3.0,9.077895491107022,xy
0.05,0.012058299634198529,2.0012205853410587,2.0,usv2|usv4,2.0,3.9465759211845017,2.0,3.4156134021267897,xy
0.06,0.02670360609867683,2.0008627506429693,2.0,usv2|usv4,2.0,3.9465838378471787,2.0,3.4153465200306825,xy
0.07,0.030256083259790126,2.0010303450993656,2.0,usv2|usv4,2.0,3.9465909853022545,2.0,3.415152362147279,xy
0.08,0.029119313331819295,2.0010318769250763,2.0,usv2|usv4,2.0,3.94659739300831,2.0,3.4150395792331585,xy
0.09,0.032588147732591714,2.001248056744293,2.0,usv2|usv4,2.0,3.9466030856287713,2.0,3.415012179295597,xy
0.1,0.027975867668946976,2.0008157838935094,2.0,usv2|usv4,2.0,3.9467164570302953,2.0,3.4151479506329103,xy
0.11,0.030371405721094674,2.000953557840563,2.0,usv2|usv4,2.0,3.946731566098197,2.0,3.4152854685712675,xy
0.12,0.035222238881917896,2.001031987353912,2.0,usv2|usv4,2.0,3.9467459821172675,2.0,3.415500967526523,xy
0.13,0.03765828165591157,2.0011951281814127,2.0,usv2|usv4,2.0,3.946759700806791,2.0,3.415786284275004,xy
0.14,0.0444185688518764,2.001309075943434,2.0,usv2|usv4,2.0,3.946772746173875,2.0,3.4161465951193417,xy
0.15,0.0718269277333781,2.001060949697257,2.0,usv2|usv4,2.0,3.94640661048218,2.0,3.4162562973850488,xy
0.16,0.07644880398241233,2.0011507205987207,2.0,usv2|usv4,2.0,3.9463930703568293,2.0,3.41672458755123,xy
0.17,0.08103981580480898,2.001294843903534,2.0,usv2|usv4,2.0,3.946378872464705,2.0,3.4172513626882353,xy
0.18,0.08509657027344467,2.0014030852464435,2.0,usv2|usv4,2.0,3.9463640283153647,2.0,3.4178259810373297,xy
0.19,0.0896705787877431,2.0015630899841717,2.0,usv2|usv4,2.0,3.9463485521830894,2.0,3.418443392109445,xy
0.2,0.07302823337454516,2.0013025647819083,2.0,usv2|usv4,2.0,3.9465421119664463,2.0,3.41926415118029,xy
0.21,0.07650062744748244,2.0014362265589107,2.0,usv2|usv4,2.0,3.94653588170528,2.0,3.419947964235005,xy
0.22,0.08053068945069933,2.00154005263222,2.0,usv2|usv4,2.0,3.9465290503480954,2.0,3.420649951611175,xy
0.23,0.08405861474081974,2.0016852112986934,2.0,usv2|usv4,2.0,3.9465216240064174,2.0,3.4213612464762337,xy
0.24,0.0867814340632876,2.0018006509125668,2.0,usv2|usv4,2.0,3.946513765824054,2.0,3.4220746361417893,xy
0.25,0.053229295344688815,2.001593785954586,2.0,usv2|usv4,2.0,3.9464416716159882,2.0,3.422717794638043,xy
0.26,0.05491631454826248,2.001694388661797,2.0,usv2|usv4,2.0,3.946431173216354,2.0,3.4234146268216405,xy
0.27,0.05688932627098444,2.0018300031643066,2.0,usv2|usv4,2.0,3.9464208397408265,2.0,3.424096792938028,xy
0.28,0.05759202863125498,2.0019396988806375,2.0,usv2|usv4,2.0,3.946410720605619,2.0,3.42475231817721,xy
0.29,0.059583368572386386,2.0020840443497723,2.0,usv2|usv4,2.0,3.9464008454131956,2.0,3.4253822071841147,xy
0.3,0.04622981823696394,2.0018571936946477,2.0,usv2|usv4,2.0,3.9462634573509687,2.0,3.4258594310549735,xy
0.31,0.047686099792941354,2.001986038389517,2.0,usv2|usv4,2.0,3.946249831859039,2.0,3.4264091670357284,xy
0.32,0.047876484750685434,2.0020919676757956,2.0,usv2|usv4,2.0,3.946236469303671,2.0,3.4269086695742828,xy
0.33,0.04933079071476995,2.0022279720931038,2.0,usv2|usv4,2.0,3.946223372464262,2.0,3.4273569629360385,xy
0.34,0.05051983883678012,2.0023415639759743,2.0,usv2|usv4,2.0,3.946210541065851,2.0,3.427745657402673,xy
0.35000000000000003,0.044928812421367585,2.002148474843496,2.0,usv2|usv4,2.0,3.9462934294355287,2.0,3.428156102638141,xy
0.36,0.046524127901603915,2.0022518504956928,2.0,usv2|usv4,2.0,3.946283855138482,2.0,3.4284223544621577,xy
0.37,0.04780508329782593,2.0023816809309745,2.0,usv2|usv4,2.0,3.9462745385387037,2.0,3.4286247199547626,xy
0.38,0.048660480052846386,2.0024917207332846,2.0,usv2|usv4,2.0,3.9462654773971906,2.0,3.4287602474465664,xy
0.39,0.04996696599807428,2.002627600416657,2.0,usv2|usv4,2.0,3.946256669297742,2.0,3.4288328678767837,xy
0.4,0.03728841889820268,2.0024165799413303,2.0,usv2|usv4,2.0,3.9462754469304793,2.0,3.428854831950101,xy
