t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,1.0,usv2,xy:churn_force,nan,nan,1.0,1.0,1.0,0.00010323588711112826,1.0,cruise,0.26883871404596427,2.728234280255274e-05,0.75,0.21912536437281527
0.02,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.042583007604879375,0.9999999722222223,cruise,0.2688447727122908,2.7819928380089926e-05,0.7499999791666667,0.21915434499050368
0.03,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04466169006699425,0.9999999444444445,cruise,0.2688543275755224,2.7931590295129445e-05,0.7499999583333334,0.21920187140187397
0.04,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.011887735229641972,0.9999999166666668,cruise,0.2688672585870936,2.7441681744530803e-05,0.7499999375,0.21926778248110657
0.05,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.021797961263743636,0.999999888888889,cruise,0.26883957412405385,2.7604317218439944e-05,0.7499999166666668,0.2191289848272231
0.06,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.03187398478717307,0.9999998611111113,cruise,0.268840614223526,2.748268241613299e-05,0.7499998958333335,0.21913452066158967
0.07,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.035370978706313026,0.9999998333333335,cruise,0.2688419765335885,2.7527034386641042e-05,0.7499998750000001,0.2191412525819758
0.08,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.03362404814485421,0.9999998055555558,cruise,0.2688436971452182,2.7787003449317505e-05,0.7499998541666668,0.2191492369674677
0.09,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.0376091612757217,0.999999777777778,cruise,0.2688454713295677,2.783052941431387e-05,0.7499998333333335,0.21915803032430237
0.1,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.015481497259331345,0.9999997500000003,cruise,0.26884232650485984,2.7722734235575232e-05,0.7499998125000003,0.2191426069387099
0.11,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.01649940041998339,0.9999997222222226,cruise,0.2688434328623106,2.7723957315080247e-05,0.749999791666667,0.2191481669182649
0.12,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.016484393476956193,0.9999996944444448,cruise,0.26884467804598094,2.7774586892833196e-05,0.7499997708333336,0.21915429751267224
0.13,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.01761554666746833,0.9999996666666671,cruise,0.26884599157086564,2.77704919925784e-05,0.7499997500000003,0.2191609066243464
0.14,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.01929514115819353,0.9999996388888893,cruise,0.26884744358990714,2.7810884665935105e-05,0.749999729166667,0.21916809698787032
0.15,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.0364476975556782,0.9999996111111116,cruise,0.26884504835301565,2.7788684952697258e-05,0.7499997083333336,0.21915620755269616
0.16,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.038393741335735275,0.9999995833333338,cruise,0.26884608398099946,2.7700334193747317e-05,0.7499996875000003,0.21916163781951248
0.17,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04067260213869391,0.9999995555555561,cruise,0.2688472236356241,2.76569697189917e-05,0.7499996666666671,0.21916747575382212
0.18,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.042959910027215685,0.9999995277777783,cruise,0.26884841572808166,2.7584909556844395e-05,0.7499996458333338,0.2191736476165156
0.19,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04523188804504172,0.9999995000000006,cruise,0.2688496858143158,2.7521515429541522e-05,0.7499996250000005,0.2191801877830043
0.2,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.038739400573000855,0.9999994722222229,cruise,0.2688475373472032,2.751148584174273e-05,0.7499996041666671,0.21916950177141092
0.21,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04056504179796961,0.9999994444444451,cruise,0.26884858027409286,2.7432643964580642e-05,0.7499995833333338,0.2191749447605521
0.22,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04281780006936078,0.9999994166666674,cruise,0.2688496922371658,2.7373975992849606e-05,0.7499995625000005,0.219180682495846
0.23,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.04469251893445975,0.9999993888888896,cruise,0.2688508413972061,2.7292503234912053e-05,0.7499995416666672,0.21918666322794245
