t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.00010314934756499748,0.00010314934756499748,0.00042560184862686426,1.0638724030478803e-08,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.000200000038124,1.0,,,,,
0.02,0.007604623986742596,0.007604623986742596,0.1614548031213363,0.05562839013917889,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.00088888925414,1.0,,,,,
0.03,0.007602395085888912,0.007602395085888912,0.1618932322342684,0.027622235974914294,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.001888890159265,0.9999944444444444,,,,,
0.04,0.008299186739084988,0.008299186739084988,0.1576294801243786,0.002330623400153546,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.003288891931394,0.9999888888888888,,,,,
0.05,0.01629874702729784,0.01629874702729784,3.552262511151029,0.0069188204044880125,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.000361208604087,0.9999833333333332,,,,,
0.06,0.021349834681506648,0.021349834681506648,3.7037051724284074,0.2078522468819919,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.00048102692592,0.9999777777777776,,,,,
0.07,0.02563905948476469,0.02563905948476469,3.6831610986257077,0.33760983552276697,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.000622630715025,0.999972222222222,,,,,
0.08,0.03751449447673784,0.03751449447673784,5.831040872932368,2.562013338787512,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.00078602026039,0.9999666666666664,,,,,
0.09,0.042398977698762795,0.042398977698762795,5.806102960053956,2.8921183448445404,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.000971195851022,0.9999611111111109,,,,,
0.1,0.021250774438254197,0.021250774438254197,1.6929915197565164,0.019243371865454568,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,22.00064877496707,0.9999555555555553,,,,,
0.11,0.023370084646931643,0.023370084646931643,1.658884708959455,0.016278028644325686,4,usv1|usv2|usv3|usv4,2.0,5.172222211461974,3.0,12.231615198650013,xy:switched,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,switched,2,5.172222211461974,3,12.231615198650013,1.023621981759049,0.9999499999999997,"usv1,usv2,usv3,usv4",,,,
0.12,0.025527949490526336,0.025527949490526336,1.721278833793424,0.014489235616409843,4,usv1|usv2|usv3|usv4,2.0,5.172171607700922,3.0,12.231325274405693,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,5.172171607700922,3,12.231325274405693,1.0236812587709578,0.9999277777777774,"usv1,usv2,usv3,usv4",,,,
0.13,0.02768996161414194,0.02768996161414194,1.669221307047507,0.017436420241413047,4,usv1|usv2|usv3|usv4,2.0,5.172118228328386,3.0,12.231076464522566,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,5.172118228328386,3,12.231076464522566,1.0237457925873865,0.9999055555555552,"usv1,usv2,usv3,usv4",,,,
