t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,3.0,usv2|usv3|usv4,xy:churn_force,5.342525860486928,12.651452819971318,2.0,3.0,3.0,0.00010326103795043309,1.0,cruise,0.3129465237591001,0.7251430144518678,0.17647058823529413,0.5107387167414347
0.02,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342529022551087,12.643772605882312,2.0,3.0,3.0,0.021274339200091485,0.9999377777777778,cruise,0.3129440567975599,0.7251426274763371,0.17645960784313727,0.5108076706904203
0.03,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342538223328534,12.638378980630089,2.0,3.0,3.0,0.02004020920766111,0.9998755555555556,cruise,0.31294541232880696,0.7251429383904039,0.17644862745098042,0.5109226610752532
0.04,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342554781585544,12.635398122158414,2.0,3.0,3.0,0.011317226507193112,0.9998133333333334,cruise,0.31295060644076583,0.725144036917752,0.17643764705882356,0.5110836646857811
0.05,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342793997957851,12.630272632032675,2.0,3.0,3.0,0.013749845024453642,0.9997511111111113,cruise,0.312894308071042,0.7250363242870205,0.1764266666666667,0.5107480401704738
0.06,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342846347464507,12.628322345960633,2.0,3.0,3.0,0.026463971392526365,0.9996888888888891,cruise,0.31288325649751636,0.7250149842698594,0.17641568627450985,0.510762069073717
0.07,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342884174296158,12.625953094319996,2.0,3.0,3.0,0.028364800410237156,0.9996266666666669,cruise,0.3128721419875884,0.7249923778189341,0.176404705882353,0.5107784773563422
0.08,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342905109790355,12.622841634434982,2.0,3.0,3.0,0.02255044732457067,0.9995644444444447,cruise,0.3128609185714403,0.7249682850980761,0.17639372549019613,0.510797239986049
0.09,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342933040432761,12.621892782988919,2.0,3.0,3.0,0.02557828984762456,0.9995022222222225,cruise,0.3128500473798248,0.7249449131420196,0.17638274509803928,0.5108186035104072
0.1,3.0,usv2|usv3|usv4,xy:dwell_hold,5.342899356311763,12.62261023617699,2.0,3.0,3.0,0.026330828863982587,0.9994400000000003,cruise,0.3128388810162766,0.724943456277786,0.17637176470588242,0.51078148965605
