k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
0,2-3,12570125.923955208,-28.222220954965753,2,1-2-3,2.5664508077344315,4.129195088567651,3
10,0-3,134228581.82334214,-31.99155864374272,2,0-2-3,1.9830867463418913,4.724838775266992,3
20,0-3,14109791.435207412,-27.724827351541514,2,0-2-3,1.6454950502557684,5.161068952181054,3
30,0-3,17307437.602433387,-28.805121243805225,2,0-2-3,1.9680029465376652,4.411547072737136,3
40,1-3,17611690.64395758,-29.19940534974217,2,0-2-3,2.5886096199254114,3.3480618106538893,3
50,1-2,125504712.04821636,-38.82693465004373,2,0-1-3,3.2815517179907836,2.4644121804602777,3
60,2-3,27802387.260095716,-30.751802668814417,2,0-1-3,3.991619335995705,1.761478782294764,3
70,0-2,379709452.9200686,-36.69890011643315,2,0-1-3,4.744230417088138,1.1313864190461098,3
80,2-3,40220898.596617505,-32.0998608759777,2,0-1-3,5.52102508923943,0.5705953320955812,3
90,1-3,76035154.35503557,-33.27739173038571,2,0-1-3,6.312910144624559,0.06954604670730635,3
100,0-3,107152503.83763885,-35.252465139805835,2,0-1-3,7.11485617496398,-0.38126802547686456,3
110,0-3,229728888.67324057,-36.98767460197675,2,0-1-3,7.923850736825858,-0.789943913182316,3
120,0-3,204872903.29126126,-36.94862449958448,2,0-1-3,8.737977386214872,-1.1630806751148834,3
130,1-3,648210041.5962828,-38.26827965317231,2,0-1-3,9.555957916326575,-1.50599808433775,3
140,2-3,1073745838.930177,-39.88541736945659,2,0-1-3,10.376906678431984,-1.822991093492862,3
150,0-1,536886317.8542581,-38.5609770653046,2,0-1-3,11.200190426185339,-2.117549959632213,3
160,0-3,379027243.5097134,-38.67416482777994,2,0-1-3,11.277612473158268,-2.145016896179712,3
170,,inf,-inf,0,0-1-3,11.344241255378215,-2.1713386472647196,3
180,0-1,759277927.796733,-39.289881043522904,2,0-1-3,11.385755315955498,-2.191315243497181,3
190,0-3,2216296709.627634,-42.23505081980965,2,0-1-3,11.391459727966271,-2.20051811694973,3
200,1-3,647844871.7408804,-38.61303498566918,2,0-1-3,11.356508838624842,-2.196067177776894,3
210,0-3,274771079.6610179,-38.04793032466641,2,0-1-3,11.283175886080903,-2.1771925192150663,3
220,1-3,324779760.15753007,-37.218893377236,2,0-1-3,11.181123830995283,-2.1456036667922596,3
230,2-3,189854823.22807893,-36.560119071834215,2,0-1-3,11.06663901952034,-2.105634076485025,3
240,0-1,379648696.82446855,-37.8387477450783,2,0-1-3,10.96068668425544,-2.0640108521070273,3
250,2-3,309988794.3155129,-37.501029306962955,2,0-1-3,10.885621033089716,-2.0290120065196278,3
260,0-1,536910157.9567391,-38.50296778788638,2,0-1-3,10.860663848896344,-2.0088606836196785,3
270,1-3,644578999.6702769,-38.48952236644925,2,0-1-3,10.8969432206781,-2.009575223477056,3
280,,inf,-inf,0,0-1-3,10.993644011929431,-2.0330084602378036,3
290,2-3,536980153.7557743,-38.621889112199646,2,0-1-3,11.136966038798533,-2.0760114121427646,3
300,0-2,379696572.9784387,-38.71908251858193,2,0-1-3,11.302645133955782,-2.131178843125647,3
310,0-3,147028455.18783915,-36.80692577492579,2,0-1-3,11.461220495039067,-2.188766423163859,3
320,1-3,642368652.9735017,-38.58302558086851,2,0-1-3,11.584152604635982,-2.2388547628358104,3
330,2-3,536886346.7219824,-38.72001756439853,2,0-1-3,11.648989555802155,-2.2730179599506974,3
340,0-3,1132563841.1942174,-40.94030758559704,2,0-1-3,11.642701674710036,-2.285294062838803,3
350,1-2,379866839.6147076,-40.280496796313074,2,0-1-3,11.563242548180217,-2.27266913264278,3
360,0-3,205874684.4799205,-37.503864677153004,2,0-1-3,11.419840768555664,-2.235398240728231,3
370,2-3,158382718.12713534,-36.22886110774501,2,0-1-3,11.232441636380301,-2.1773641803370456,3
380,2-3,253201097.66582373,-37.130813450387556,2,0-1-3,11.030278134425815,-2.1064106878188005,3
390,2-3,253169040.17113435,-37.09344823566678,2,0-1-3,10.848992911681245,-2.034236075301498,3
400,2-3,310002593.7323356,-37.467916698716074,2,0-1-3,10.725452959644478,-1.9751375906128663,3
410,0-2,268524372.26178324,-37.846013408267545,2,0-1-3,10.690001754706234,-1.9430423571405395,3
420,1-2,268677019.29753155,-39.27606955968312,2,0-1-3,10.75769237351776,-1.9472673672470542,3
430,1-3,452697330.71919733,-37.74568066611428,2,0-1-3,10.922071407428287,-1.9889253952473918,3
440,2-3,203058470.9275308,-36.66258929494544,2,0-1-3,11.155145293336961,-2.0602381058348724,3
450,2-3,109679466.60701868,-35.474526997437124,2,0-1-3,11.414211209356079,-2.147237352275847,3
460,1-3,319254620.025115,-37.15683311208514,2,0-1-3,11.652442599338697,-2.2340386980165317,3
470,0-2,268538729.98826146,-38.11197389530958,2,0-1-3,11.828773422323724,-2.306394788993926,3
480,2-3,536933764.0940406,-38.75534273588482,2,0-1-3,11.914303722512598,-2.3535267888975513,3
490,0-1,268485640.8361705,-37.288114280928596,2,0-1-3,11.894998463890289,-2.3685817087853263,3
500,1-3,264564638.62268084,-36.91131731002725,2,0-1-3,11.771942853544951,-2.3485483617456264,3
510,1-3,230092809.10239673,-36.62380115647467,2,0-1-3,11.56057515492734,-2.2943114364634174,3
520,1-3,123335837.52037571,-35.347384919246124,2,0-1-3,11.28971073465267,-2.2111663548724745,3
530,1-3,188493447.57717583,-36.14769458977727,2,0-1-3,11.000217852714469,-2.109683851055976,3
540,1-3,265971376.16255006,-36.77601874537081,2,0-1-3,10.742076720930621,-2.0062069558065647,3
550,0-3,135694572.72179225,-36.520682857744035,2,0-1-3,10.567752591681916,-1.9215593748467716,3
560,0-2,268597449.0224225,-37.80169115167484,2,0-1-3,10.52065326912904,-1.8765225811278494,3
570,,inf,-inf,0,0-1-3,10.621036352586046,-1.8845832735916925,3
580,0-1,189872610.2880357,-36.379448714284734,2,0-1-3,10.85620160966051,-1.945841295979871,3
590,0-2,189948189.31380826,-37.34824456961151,2,0-1-3,11.18187374130814,-2.0467184863548407,3
