seed,runtime_seconds,pos_rmse_total,pos_rmse_x,pos_rmse_y,pos_rmse_z,vel_rmse_total,vel_rmse_x,vel_rmse_y,vel_rmse_z,final_position_error,nees_full_avg,nees_full_lower,nees_full_upper,nees_full_percent_inside,nees_full_is_consistent,nees_pos_avg,nees_pos_lower,nees_pos_upper,nees_pos_percent_inside,nis_dvl_avg,nis_dvl_lower,nis_dvl_upper,nis_dvl_percent_inside,nis_depth_avg,nis_depth_lower,nis_depth_upper,nis_depth_percent_inside,nis_acoustic_avg,nis_acoustic_lower,nis_acoustic_upper,nis_acoustic_percent_inside
0,11.105556206999609,0.8869774220970473,0.8682260084979301,0.1813147824351682,0.006123328193277748,0.06257699699124913,0.05092507278799038,0.034530349569114285,0.011409315168556266,1.4451340804095947,6.048500229201201,5.91266388956588,6.087967543205353,59.3,True,3.7155979097473004,2.9383368160929217,3.0622946141559546,73.1,2.3398733259387328,2.8629948972790666,3.1401621530530086,93.41666666666667,0.3275525437029001,0.9495951566476143,1.0516899271088294,95.25101763907735,0.3557483867128659,0.6722349042629772,1.391820439665056,93.22033898305084
1,11.018875868001487,0.4033035338225676,0.3418807664994056,0.21382739329724804,0.007009120291020587,0.05281714288757588,0.03506290184581609,0.03768193461770902,0.011845475947549535,0.7964064225950469,6.2135321839435464,5.91266388956588,6.087967543205353,45.2,False,4.199443759561349,2.9383368160929217,3.0622946141559546,63.13333333333333,2.264392957743274,2.8629948972790666,3.1401621530530086,92.25,0.3326164000337577,0.9495613665954841,1.0517254631133421,95.92391304347827,0.41062909024475425,0.6722349042629772,1.391820439665056,98.30508474576271
2,10.635442855000292,0.5323991044445183,0.4897266962671844,0.2087410175715164,0.006614904365237735,0.06187939497140463,0.04745485144991148,0.037630643264890164,0.012689810217828603,0.35211660732381334,6.349879062442351,5.91266388956588,6.087967543205353,58.416666666666664,False,3.8868965998715135,2.9383368160929217,3.0622946141559546,71.5,2.2157619744017296,2.8629948972790666,3.1401621530530086,93.83333333333333,0.3298821353937102,0.949519032909895,1.051769985922295,96.15515481456278,0.26877080966380335,0.6722349042629772,1.391820439665056,96.61016949152543
3,10.962101752000308,1.1762264833246716,1.1615192001313954,0.18529117747394278,0.007004809117091674,0.06628941490387477,0.05905038767874243,0.027464669043564233,0.012370537482897691,1.1694123289450873,7.191878563674977,5.91266388956588,6.087967543205353,69.75,False,4.531672869486939,2.9383368160929217,3.0622946141559546,79.7,2.2667839754645667,2.8629948972790666,3.1401621530530086,92.83333333333333,0.3218618925356153,0.949519032909895,1.051769985922295,95.5427015991834,0.197663173914997,0.6722349042629772,1.391820439665056,94.91525423728814
4,10.89714241800175,0.4177632822534629,0.3714361647473207,0.19110829993039882,0.006241251052527901,0.05355663011716091,0.04263209393363668,0.030183211577548767,0.011823321665457912,0.5111715133909664,5.637391042771419,5.91266388956588,6.087967543205353,56.48333333333333,False,3.385933951234,2.9383368160929217,3.0622946141559546,69.18333333333334,2.3339425921084764,2.8629948972790666,3.1401621530530086,91.91666666666667,0.32861716824833787,0.9495444459589308,1.0517432585063724,96.02311352821211,0.268841663053899,0.6722349042629772,1.391820439665056,88.13559322033898
5,11.089638535999256,0.5266341995459327,0.49654342533400586,0.17534343392114482,0.00654882200849436,0.06257844684425637,0.05070349359576225,0.03492545778620787,0.011199560038132578,0.8424289236298514,5.597749239649811,5.91266388956588,6.087967543205353,52.96666666666666,False,3.064346235270667,2.9383368160929217,3.0622946141559546,79.01666666666667,2.2996714308474604,2.8629948972790666,3.1401621530530086,92.91666666666667,0.3145072365565741,0.9494255207406496,1.0518683404789786,95.0136612021858,0.20544564645240337,0.6722349042629772,1.391820439665056,96.61016949152543
6,11.280097250000836,0.37330590810111863,0.3348949305113541,0.1648074629498079,0.006417686268724742,0.05878213083765031,0.03570649642288216,0.04525875048965303,0.011490453565142073,0.3305314768620895,4.862954585151726,5.91266388956588,6.087967543205353,51.1,False,2.6399202413162457,2.9383368160929217,3.0622946141559546,76.06666666666668,2.277769808931546,2.8629948972790666,3.1401621530530086,93.0,0.3432801294247371,0.9495951566476143,1.0516899271088294,95.45454545454545,0.3239689111416898,0.6722349042629772,1.391820439665056,94.91525423728814
7,10.962083602997154,0.27838136249826106,0.213274511731971,0.1787750217406444,0.007046788879327466,0.06167546762818569,0.041249460902181206,0.04399067007813873,0.012929277957841745,0.0373138227060998,5.2228271602424545,5.91266388956588,6.087967543205353,53.53333333333333,False,2.9778767647174056,2.9383368160929217,3.0622946141559546,68.71666666666667,2.286189801159982,2.8629948972790666,3.1401621530530086,92.08333333333333,0.3272787100692192,0.9495613665954841,1.0517254631133421,95.99184782608695,0.2861355811240663,0.6722349042629772,1.391820439665056,93.22033898305084
8,10.772940066999581,0.3072547259199152,0.2367733380735125,0.19569738305268977,0.006810818157686693,0.06462427757209137,0.04809245977304938,0.04149749972101098,0.011889915121523278,0.5598170636377698,5.741621383514889,5.91266388956588,6.087967543205353,53.63333333333333,False,3.4263818224113014,2.9383368160929217,3.0622946141559546,65.46666666666667,2.254590562303922,2.8629948972790666,3.1401621530530086,92.25,0.3347906468707166,0.9496288785966001,1.0516544639388088,95.39295392953929,0.2724773429335608,0.6722349042629772,1.391820439665056,96.61016949152543
9,11.154765568000585,0.5750533617026053,0.544177573820005,0.18576330542394445,0.007009373353630274,0.0645189663206423,0.048665285178181354,0.03763366055605356,0.019444655480676257,0.24451418450390397,5.556193101573584,5.91266388956588,6.087967543205353,65.2,False,3.243348010646942,2.9383368160929217,3.0622946141559546,77.51666666666667,2.265327976350628,2.8629948972790666,3.1401621530530086,93.0,0.3087564551841686,0.9496035935105729,1.0516810544978001,95.42217700915565,0.398990430306685,0.6722349042629772,1.391820439665056,96.61016949152543
