t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
0.01,199.97694396972656,-199.97694396972656,-4.976943492889404,199.97700334916712,-199.97700327950716,-4.977003230550766,0.00010301532031801665,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.0611095110510248e-08,0.0004244965542121818,nan,nan,True,True,True,True
0.02,199.9752960205078,-199.9752960205078,-4.975301265716553,199.9771808113277,-199.97718061800597,-4.9727217745363586,0.0037091668759383725,1.0004000001826252,1.0004000001826252,0.0008991910516330248,0.007406835472054508,0.11375070508442592,nan,nan,True,True,True,True
0.03,199.97377014160156,-199.97377014160156,-4.973775386810303,199.9774750432253,-199.97747476201653,-4.973017526583945,0.005293851205239925,1.0009000006351882,1.0009000006351882,0.0009995107999378019,0.0006020590585090267,0.11368654464608549,nan,nan,True,True,True,True
0.04,199.9723663330078,-199.9723663330078,-4.9723639488220215,199.97788466191292,-199.97788448544142,-4.9581837044876265,0.016185836078765854,1.0016000015212516,1.0016000015212516,0.0005317765199244777,0.3781883109636038,0.4908054092711432,nan,nan,True,True,True,True
0.05,199.9710693359375,-199.9710693359375,-4.971066474914551,199.9553803148381,-199.9649033643804,-4.9562213751707604,0.022462002909437246,1.000136159857599,1.000136159857599,0.00047135043475060633,0.4678279534993424,1.9660062853661655,nan,nan,True,True,True,True
0.06,199.96987915039062,-199.96987915039062,-4.969881534576416,199.95141150088287,-199.96283931280686,-4.977244920937111,0.021091060908449036,1.0001960690185168,1.0001960690185168,0.0003207125249314022,0.16944991081317187,1.6528881456262405,nan,nan,True,True,True,True
0.07,199.9687957763672,-199.9687957763672,-4.968807697296143,199.9475544692937,-199.9608870601337,-4.976320104941155,0.023878383263470446,1.000266870913067,1.000266870913067,0.0003466969814233004,0.16329629781546956,1.6446446067396414,nan,nan,True,True,True,True
0.08,199.96783447265625,-199.96783447265625,-4.967844009399414,199.94380799306722,-199.95904557489658,-4.971242391507693,0.02580824376484568,1.0003485656857503,1.0003485656857503,0.00026870186355409443,0.043635013566881674,1.5473290733527671,nan,nan,True,True,True,True
0.09,199.96697998046875,-199.96697998046875,-4.966989040374756,199.9401710096851,-199.95731369255782,-4.970308317286728,0.028691037549636166,1.0004411534810664,1.0004411534810664,0.00030271740266169536,0.03720745843805442,1.542703534636837,nan,nan,True,True,True,True
0.1,199.9662322998047,-199.9662322998047,-4.966241836547852,199.982783027416,-199.97061392208548,-4.980102345860573,0.02202813920155518,1.0002799430390896,1.0002799430390896,0.0002198198410369,0.8742529073035301,2.589165481610096,nan,nan,True,True,True,True
0.11,199.96559143066406,-199.96559143066406,-4.965601444244385,199.98397582874503,-199.97058976254337,-4.979278313241837,0.023452636524465043,1.0003387291688073,1.0003387291688073,0.00024222993303413308,0.7725908830282758,2.5792453728674345,nan,nan,True,True,True,True
0.12,199.96505737304688,-199.96505737304688,-4.965066432952881,199.9852746135161,-199.97067156822814,-4.978881212203385,0.025121785873309956,1.0004031143902965,1.0004031143902965,0.00020746689984599585,0.92033682300285,2.811851139406398,nan,nan,True,True,True,True
0.13,199.96463012695312,-199.96463012695312,-4.964635848999023,199.98667842682116,-199.97085838976298,-4.978287900700916,0.026670157486795472,1.0004730988480575,1.0004730988480575,0.000232756991578682,0.8012676016654962,2.7964991782903645,nan,nan,True,True,True,True
0.14,199.9643096923828,-199.9643096923828,-4.964308738708496,199.98818619370823,-199.97114926552828,-4.97031035717438,0.025551643793794713,1.0005486826865908,1.0005486826865908,0.00020331264016074373,0.17777926782641948,2.2629019209134844,nan,nan,True,True,True,True
0.15,199.96408081054688,-199.96408081054688,-4.964083671569824,199.95981071852103,-199.94259486742513,-4.970645854392883,0.02286791816373701,1.000423869832177,1.000423869832177,0.0002033478705987416,0.21224606086720793,1.6274908514039441,nan,nan,True,True,True,True
0.16,199.96395874023438,-199.96395874023438,-4.96396017074585,199.95952401343897,-199.94116053924984,-4.97104148019541,0.024281056678031907,1.0004822670248124,1.0004822670248124,0.000180793006185342,0.2779002451269582,1.739088633798442,nan,nan,True,True,True,True
0.17,199.96392822265625,-199.96392822265625,-4.963936805725098,199.95933811110035,-199.93982701894996,-4.970623420986965,0.02542927383642987,1.00054443243672,1.00054443243672,0.00020170039831695133,0.22227109580336765,1.7156983655647975,nan,nan,True,True,True,True
0.18,199.96400451660156,-199.96400451660156,-4.964012145996094,199.9592519602491,-199.93859352143693,-4.965216923423001,0.025879662976722274,1.0006103662124004,1.0006103662124004,0.00018025314004452552,0.008720399126232977,1.546607374054071,nan,nan,True,True,True,True
0.19,199.9641876220703,-199.9641876220703,-4.964186668395996,199.9592647059937,-199.93745906551993,-4.964716373822239,0.027183293137568728,1.0006800684963535,1.0006800684963535,0.00020157169349108254,0.0021301490508385855,1.5526101489192345,nan,nan,True,True,True,True
0.2,199.96444702148438,-199.96444702148438,-4.9644575119018555,199.94525351908464,-199.9213720644982,-4.965681417786465,0.04717351374811531,1.0005678340570063,1.0005678340570063,0.00016562430288462397,0.011266818399959829,3.7985066768858653,nan,nan,True,True,True,True
