t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.0001030151715184482,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,2.0,3.729733058723981,3.0,9.10274200795749,xy
0.02,0.008428698356493309,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,2.0,3.7297325929140643,3.0,9.09795149482227,xy
0.03,0.008098229851851005,2.002799512070314,4.0,usv1|usv2|usv3|usv4,2.0,3.7297318961096124,3.0,9.09397619155331,xy
0.04,0.012934748183107043,2.0037317795624277,4.0,usv1|usv2|usv3|usv4,2.0,3.7297305680869495,3.0,9.090649786684455,xy
0.05,0.020273204011766653,2.000743670149949,4.0,usv1|usv2|usv3|usv4,2.0,3.7298844991526705,3.0,9.088371224909162,xy
0.06,0.020382115317755592,2.000712850561965,4.0,usv1|usv2|usv3|usv4,2.0,3.7299137773682745,3.0,9.086589115859129,xy
0.07,0.023667955398255707,2.0008804388075574,4.0,usv1|usv2|usv3|usv4,2.0,3.729942301245963,3.0,9.085341123937884,xy
0.08,0.027100639399788733,2.0009658332350546,4.0,usv1|usv2|usv3|usv4,2.0,3.7299702239302035,3.0,9.084658495075244,xy
0.09,0.030319541619778567,2.0011850243647946,4.0,usv1|usv2|usv3|usv4,2.0,3.7299978344962446,3.0,9.084619116502948,xy
0.1,0.04003931558876931,2.000779705919216,4.0,usv1|usv2|usv3|usv4,2.0,3.72976362663326,3.0,9.084517150371944,xy
0.11,0.04422604660620157,2.0009196882706486,4.0,usv1|usv2|usv3|usv4,2.0,3.7297642033677407,3.0,9.08554862644056,xy
0.12,0.046533755233971526,2.001013695680439,4.0,usv1|usv2|usv3|usv4,2.0,3.7297644567660533,3.0,9.087162606087677,xy
0.13,0.05061888869075655,2.0011789546876937,4.0,usv1|usv2|usv3|usv4,2.0,3.7297641826192405,3.0,9.089270510044534,xy
0.14,0.051554980848301436,2.0013006780133424,4.0,usv1|usv2|usv3|usv4,2.0,3.729763736061497,3.0,9.091978994198811,xy
0.15,0.04063548328085745,2.001051087534953,4.0,usv1|usv2|usv3|usv4,2.0,3.7296783041710597,3.0,9.09488316559353,xy
0.16,0.042749046444299776,2.00114532705581,4.0,usv1|usv2|usv3|usv4,2.0,3.7296713703671904,3.0,9.098551195649025,xy
0.17,0.04558908643624084,2.001290565271757,4.0,usv1|usv2|usv3|usv4,2.0,3.729663860527199,3.0,9.102621723662065,xy
0.18,0.04841934859570119,2.001400985564845,4.0,usv1|usv2|usv3|usv4,2.0,3.7296559555813027,3.0,9.107125968961867,xy
0.19,0.05124036111519606,2.001561708686198,4.0,usv1|usv2|usv3|usv4,2.0,3.7296476586891645,3.0,9.112009201556994,xy
0.2,0.042705566269660794,2.001301292416897,4.0,usv1|usv2|usv3|usv4,2.0,3.729818349148065,3.0,9.117673264519826,xy
0.21,0.044985848559741234,2.0014354314665472,4.0,usv1|usv2|usv3|usv4,2.0,3.729818273767594,3.0,9.123167998794472,xy
0.22,0.04917247108234337,2.0015397667699943,4.0,usv1|usv2|usv3|usv4,2.0,3.729818048434755,3.0,9.12892670591888,xy
0.23,0.05163515183497051,2.0016851258633834,4.0,usv1|usv2|usv3|usv4,2.0,3.729817267585777,3.0,9.134739747108005,xy
0.24,0.053862067069424015,2.0018006492515488,4.0,usv1|usv2|usv3|usv4,2.0,3.7298162559403427,3.0,9.140599607500736,xy
0.25,0.06945343875455692,2.0015937686352876,4.0,usv1|usv2|usv3|usv4,2.0,3.729559297027823,3.0,9.145825040762539,xy
0.26,0.07241382389170793,2.001726447650571,4.0,usv1|usv2|usv3|usv4,2.0,3.729548312992463,3.0,9.151567857674058,xy
0.27,0.07537779929843277,2.001865006615449,4.0,usv1|usv2|usv3|usv4,2.0,3.7295376305503183,3.0,9.157170230173879,xy
0.28,0.07812834998912514,2.001964924866511,4.0,usv1|usv2|usv3|usv4,2.0,3.729527268330137,3.0,9.162531810220036,xy
0.29,0.08108553620666696,2.0021112112882533,4.0,usv1|usv2|usv3|usv4,2.0,3.7295173014233067,3.0,9.167595164134585,xy
0.3,0.0645472256277239,2.001875346084037,4.0,usv1|usv2|usv3|usv4,2.0,3.7299193143082,3.0,9.173265123802055,xy
0.31,0.06683081171163614,2.00200532566683,4.0,usv1|usv2|usv3|usv4,2.0,3.729923842847018,3.0,9.17765475549115,xy
0.32,0.06851369706813289,2.0021060718593002,4.0,usv1|usv2|usv3|usv4,2.0,3.729928691759479,3.0,9.18162269186514,xy
0.33,0.0707565933123424,2.00224274184968,4.0,usv1|usv2|usv3|usv4,2.0,3.729933995073666,3.0,9.185183938893116,xy
0.34,0.07414508700122947,2.00235230044872,4.0,usv1|usv2|usv3|usv4,2.0,3.7299398080298354,3.0,9.188330585645994,xy
0.35000000000000003,0.076377629760878,2.002159207256238,4.0,usv1|usv2|usv3|usv4,2.0,3.729857152465273,3.0,9.190758563328464,xy
0.36,0.0781285707918984,2.002259714608113,4.0,usv1|usv2|usv3|usv4,2.0,3.729861021825015,3.0,9.192853593265149,xy
0.37,0.08042412111473113,2.002389659043076,4.0,usv1|usv2|usv3|usv4,2.0,3.7298653209165504,3.0,9.19444454626975,xy
0.38,0.08185714715780737,2.002497499230136,4.0,usv1|usv2|usv3|usv4,2.0,3.729869902461967,3.0,9.195469849061517,xy
0.39,0.08412315489268206,2.00263332967308,4.0,usv1|usv2|usv3|usv4,2.0,3.7298749406114577,3.0,9.196002236508562,xy
0.4,0.09650468199324633,2.002420757059915,4.0,usv1|usv2|usv3|usv4,2.0,3.7301625638078404,3.0,9.19663767906403,xy
0.41000000000000003,0.09896509803836363,2.0025456997871656,4.0,usv1|usv2|usv3|usv4,2.0,3.7301753894206744,3.0,9.196169786331586,xy
0.42,0.10144517711669139,2.0026520231813416,4.0,usv1|usv2|usv3|usv4,2.0,3.730188568954673,3.0,9.19522305982494,xy
0.43,0.10390693497422988,2.002782175975591,4.0,usv1|usv2|usv3|usv4,2.0,3.7302020954728325,3.0,9.193818007787756,xy
0.44,0.10618664242763576,2.002894794834928,4.0,usv1|usv2|usv3|usv4,2.0,3.7302159203325402,3.0,9.19197764284304,xy
0.45,0.10425018028189433,2.00270765180684,4.0,usv1|usv2|usv3|usv4,2.0,3.7303269558681977,3.0,9.189942888940992,xy
0.46,0.10703521852552121,2.002812698406242,4.0,usv1|usv2|usv3|usv4,2.0,3.7303437137117794,3.0,9.187418948114077,xy
0.47000000000000003,0.10940668732623218,2.0029384348237613,4.0,usv1|usv2|usv3|usv4,2.0,3.7303607141138495,3.0,9.184566698705282,xy
0.48,0.11134870453773306,2.003049035539997,4.0,usv1|usv2|usv3|usv4,2.0,3.730377949798266,3.0,9.181430668027147,xy
0.49,0.11371307076554009,2.003179467854338,4.0,usv1|usv2|usv3|usv4,2.0,3.730395566964833,3.0,9.17812544054236,xy
0.5,0.1256396568938874,2.002977672631039,4.0,usv1|usv2|usv3|usv4,2.0,3.7304009278738937,3.0,9.174650604475636,xy
0.51,0.12818441348174378,2.003099872531681,4.0,usv1|usv2|usv3|usv4,2.0,3.7304188825586784,3.0,9.17104570926882,xy
0.52,0.13048556444769446,2.003208829716531,4.0,usv1|usv2|usv3|usv4,2.0,3.7304370191549325,3.0,9.167310887482472,xy
0.53,0.1330245214613868,2.0033352859636717,4.0,usv1|usv2|usv3|usv4,2.0,3.730455534018039,3.0,9.163590927895303,xy
0.54,0.13555124526216883,2.0034492080324022,4.0,usv1|usv2|usv3|usv4,2.0,3.7304743066101893,3.0,9.15984895363147,xy
0.55,0.12498744968374037,2.0032650940925425,4.0,usv1|usv2|usv3|usv4,2.0,3.7302882659489383,3.0,9.15566493093923,xy
0.56,0.12738338457062015,2.0033726941999825,4.0,usv1|usv2|usv3|usv4,2.0,3.7303038581136367,3.0,9.152087386026645,xy
0.5700000000000001,0.12970669448263109,2.003495891552071,4.0,usv1|usv2|usv3|usv4,2.0,3.7303196629246838,3.0,9.148653483497428,xy
0.58,0.13179770452880066,2.003607989892592,4.0,usv1|usv2|usv3|usv4,2.0,3.730335590408569,3.0,9.145360711953515,xy
0.59,0.13412282009601245,2.0037350977852046,4.0,usv1|usv2|usv3|usv4,2.0,3.7303518684540387,3.0,9.142334774936193,xy
0.6,0.11132866121263868,2.003539644853413,4.0,usv1|usv2|usv3|usv4,2.0,3.7303389787210155,3.0,9.139310721984883,xy
0.61,0.11321914542844175,2.003660123162112,4.0,usv1|usv2|usv3|usv4,2.0,3.7303552150908015,3.0,9.136749783081951,xy
0.62,0.11523749671166808,2.0037706987429305,4.0,usv1|usv2|usv3|usv4,2.0,3.730371536196878,3.0,9.13441734757912,xy
0.63,0.11713522107773339,2.003894781116154,4.0,usv1|usv2|usv3|usv4,2.0,3.7303882059075524,3.0,9.132447340700562,xy
0.64,0.11900863452862048,2.004009460588601,4.0,usv1|usv2|usv3|usv4,2.0,3.7304050939208104,3.0,9.130802297624545,xy
0.65,0.10824900924625079,2.0038271777942738,4.0,usv1|usv2|usv3|usv4,2.0,3.73036706765075,3.0,9.129298347178834,xy
0.66,0.10998149702363601,2.003936463303293,4.0,usv1|usv2|usv3|usv4,2.0,3.730383494955607,3.0,9.128307118676773,xy
0.67,0.11169718012147486,2.0040579828131238,4.0,usv1|usv2|usv3|usv4,2.0,3.7304001390516155,3.0,9.127657153413773,xy
0.68,0.11359528418960094,2.0041710472043266,4.0,usv1|usv2|usv3|usv4,2.0,3.7304169061938444,3.0,9.127314034156715,xy
0.6900000000000001,0.11531075853597586,2.004295922184874,4.0,usv1|usv2|usv3|usv4,2.0,3.7304339459596654,3.0,9.127323956844007,xy
0.7000000000000001,0.11590944384531235,2.004104659511514,4.0,usv1|usv2|usv3|usv4,2.0,3.7304227673376835,3.0,9.127590422840848,xy
0.71,0.11760160186322728,2.00422398105449,4.0,usv1|usv2|usv3|usv4,2.0,3.730439788617805,3.0,9.12822005413317,xy
0.72,0.11928905055591828,2.004345061520199,4.0,usv1|usv2|usv3|usv4,2.0,3.7304570026882984,3.0,9.12914439275854,xy
0.73,0.12098512229930283,2.004467901342142,4.0,usv1|usv2|usv3|usv4,2.0,3.7304744075582708,3.0,9.13034325105214,xy
0.74,0.12256245813155882,2.0045815385458687,4.0,usv1|usv2|usv3|usv4,2.0,3.7304920482019837,3.0,9.131824309903436,xy
0.75,0.11837356414496847,2.004400720763325,4.0,usv1|usv2|usv3|usv4,2.0,3.730499890758872,3.0,9.133478269762016,xy
0.76,0.11977029896064453,2.004509902080247,4.0,usv1|usv2|usv3|usv4,2.0,3.7305178688698795,3.0,9.135438199732834,xy
0.77,0.12138038915117336,2.004630523261016,4.0,usv1|usv2|usv3|usv4,2.0,3.730535898469337,3.0,9.137540640789686,xy
0.78,0.1229827433585858,2.00474313656869,4.0,usv1|usv2|usv3|usv4,2.0,3.730554156905303,3.0,9.139793329196507,xy
0.79,0.12458776208243744,2.004866657038546,4.0,usv1|usv2|usv3|usv4,2.0,3.7305725651615176,3.0,9.142138825064702,xy
0.8,0.10317059868472837,2.004677340292513,4.0,usv1|usv2|usv3|usv4,2.0,3.730395914693433,3.0,9.143999681536041,xy
0.81,0.10450294990645165,2.004796042331481,4.0,usv1|usv2|usv3|usv4,2.0,3.7304122432182205,3.0,9.146464569603358,xy
0.8200000000000001,0.10579303613753475,2.0049076836262403,4.0,usv1|usv2|usv3|usv4,2.0,3.730428853115826,3.0,9.148995447711158,xy
0.8300000000000001,0.10711809558448655,2.00502912384482,4.0,usv1|usv2|usv3|usv4,2.0,3.730445558129313,3.0,9.15149225284861,xy
0.84,0.10850802117186178,2.005143912614089,4.0,usv1|usv2|usv3|usv4,2.0,3.730462520526693,3.0,9.154007874410091,xy
0.85,0.11524918216680585,2.004963890511758,4.0,usv1|usv2|usv3|usv4,2.0,3.730625912534995,3.0,9.156802643996146,xy
0.86,0.11684170528903565,2.0050746223709806,4.0,usv1|usv2|usv3|usv4,2.0,3.730645013992753,3.0,9.159222764637324,xy
0.87,0.11824006465916327,2.0051942390450854,4.0,usv1|usv2|usv3|usv4,2.0,3.730664198274162,3.0,9.161492537537374,xy
0.88,0.1193829871451015,2.00530790510822,4.0,usv1|usv2|usv3|usv4,2.0,3.7306834329932403,3.0,9.163556435621306,xy
0.89,0.12077551893329691,2.0054301242789796,4.0,usv1|usv2|usv3|usv4,2.0,3.730702985127808,3.0,9.165510722931229,xy
0.9,0.13283177159588483,2.0052435331106806,4.0,usv1|usv2|usv3|usv4,2.0,3.7308135717358963,3.0,9.167563159005805,xy
0.91,0.1343244946904224,2.005361537386158,4.0,usv1|usv2|usv3|usv4,2.0,3.730834509670115,3.0,9.1691810888877,xy
0.92,0.135743151205765,2.0054741747380556,4.0,usv1|usv2|usv3|usv4,2.0,3.730855493015547,3.0,9.170572228714386,xy
0.93,0.13724644979847989,2.0055946484116944,4.0,usv1|usv2|usv3|usv4,2.0,3.730876797300069,3.0,9.171830336232206,xy
0.9400000000000001,0.13875438422719097,2.005710024898019,4.0,usv1|usv2|usv3|usv4,2.0,3.7308982587081596,3.0,9.172862740893986,xy
0.9500000000000001,0.1047342413922682,2.005530660712005,4.0,usv1|usv2|usv3|usv4,2.0,3.7307348110848757,3.0,9.173083778888037,xy
0.96,0.10588320563222306,2.0056423547482973,4.0,usv1|usv2|usv3|usv4,2.0,3.730754642561958,3.0,9.173606440190314,xy
0.97,0.10701427625660029,2.005761271548725,4.0,usv1|usv2|usv3|usv4,2.0,3.7307746864094753,3.0,9.17389193817498,xy
0.98,0.10821023482130215,2.0058755470218195,4.0,usv1|usv2|usv3|usv4,2.0,3.7307948595116263,3.0,9.17391526816906,xy
0.99,0.10933355062162092,2.0059968191663264,4.0,usv1|usv2|usv3|usv4,2.0,3.7308152424429486,3.0,9.17371344814417,xy
1.0,0.14234793001705937,2.005812155727237,4.0,usv1|usv2|usv3|usv4,2.0,3.7310906830270616,3.0,9.173991187804468,xy
1.01,0.14379363834260664,2.005929674976686,4.0,usv1|usv2|usv3|usv4,2.0,3.7311139681827,3.0,9.173365544225629,xy
1.02,0.14521991902875026,2.006042944361189,4.0,usv1|usv2|usv3|usv4,2.0,3.731137441538112,3.0,9.17255967540206,xy
1.03,0.14666549609581117,2.006162708749647,4.0,usv1|usv2|usv3|usv4,2.0,3.731161045364359,3.0,9.171572237611976,xy
1.04,0.14822033753561145,2.006278413781951,4.0,usv1|usv2|usv3|usv4,2.0,3.731184720154771,3.0,9.170427893176461,xy
1.05,0.18098635052400094,2.0060996035410397,4.0,usv1|usv2|usv3|usv4,2.0,3.7312539097419917,3.0,9.169485683478628,xy
1.06,0.18274308042965098,2.006211950508133,4.0,usv1|usv2|usv3|usv4,2.0,3.7312784098975054,3.0,9.168204831189291,xy
1.07,0.1844917985434994,2.006330352830327,4.0,usv1|usv2|usv3|usv4,2.0,3.7313030558411047,3.0,9.166847364154028,xy
1.08,0.18621288269077352,2.0064450122397477,4.0,usv1|usv2|usv3|usv4,2.0,3.731327874313631,3.0,9.165434319805987,xy
1.09,0.18797383945346038,2.00656556394705,4.0,usv1|usv2|usv3|usv4,2.0,3.731352799318753,3.0,9.163949246474713,xy
