t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,1.0,usv2,xy:churn_force,nan,nan,1.0,1.0,1.0,0.00010310612503019216,1.0,survey,0.03745094786244774,2.6771249040989486e-05,0.5294117647058824,0.21912531006033453
0.02,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.0054586280558256315,0.9999333333333333,survey,0.03745072188785865,2.689265848029726e-05,0.5293764705882353,0.21915389931629226
0.03,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.008521117553545076,0.9998666666666667,survey,0.03745141339408904,2.6981453870722105e-05,0.5293411764705882,0.21920142524151953
0.04,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.018319786093754425,0.9998,survey,0.03745312041829528,2.7141148810102532e-05,0.5293058823529412,0.21926798533438252
0.05,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.022869419955621476,0.9997333333333334,survey,0.037444435805877814,2.716867128756588e-05,0.5292705882352942,0.2191290917990859
0.06,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.023677480116621692,0.9996666666666667,survey,0.03744295105574331,2.7164913750685884e-05,0.5292352941176471,0.21913475854970665
0.07,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.027431621772601455,0.9996,survey,0.037441561280510835,2.7206958795387496e-05,0.5292,0.2191415003518996
0.08,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.028966202905697243,0.9995333333333334,survey,0.037440105843757066,2.7124057595487983e-05,0.529164705882353,0.21914917795606947
0.09,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.03282870934943803,0.9994666666666667,survey,0.03743880485634247,2.7151191089232526e-05,0.529129411764706,0.21915796392253717
0.1,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.020424701852373283,0.9994000000000001,survey,0.03743632645642764,2.720590058920035e-05,0.5290941176470588,0.2191427052708883
0.11,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.022537662781035462,0.9993333333333334,survey,0.03743483450415066,2.719974804127903e-05,0.5290588235294118,0.21914827108885826
0.12,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.023376767035215632,0.9992666666666667,survey,0.03743334030933073,2.71638977279935e-05,0.5290235294117648,0.21915432661574585
0.13,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.025439830640599848,0.9992000000000001,survey,0.03743188081476106,2.7135772774190277e-05,0.5289882352941176,0.21916093709116802
