t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,2.0,usv2|usv4,xy:init,5.504713599623339,nan,2.0,2.0,2.0,0.00010318569371331007,1.0,survey,0.6882315403675138,0.9565669988591803,0.36363636363636365,0.2078203416236647
0.02,2.0,usv2|usv4,xy:dwell_hold,5.504721860117002,nan,2.0,2.0,2.0,0.028374102865464552,0.9999980555555555,survey,0.6882374658663235,0.9565679664482774,0.36363565656565655,0.2078477734211287
0.03,2.0,usv2|usv4,xy:dwell_hold,5.504729008032236,nan,2.0,2.0,2.0,0.030562337818649706,0.9999961111111111,survey,0.688246534690349,0.9565680833146225,0.3636349494949495,0.20789347401292768
0.04,2.0,usv2|usv4,xy:dwell_hold,5.504729096115591,nan,2.0,2.0,2.0,0.05285679395620179,0.9999941666666666,survey,0.6882596157091221,0.9565688114319671,0.3636342424242424,0.2079574018254673
0.05,2.0,usv2|usv4,xy:dwell_hold,5.504429865339011,nan,2.0,2.0,2.0,0.05117589382910288,0.9999922222222222,survey,0.6882293983816653,0.9565633458364872,0.3636335353535353,0.20782341904532997
0.06,2.0,usv2|usv4,xy:dwell_hold,5.504366751725906,nan,2.0,2.0,2.0,0.03200113647833833,0.9999902777777777,survey,0.6882292597232239,0.9565615403202781,0.3636328282828283,0.20782884937245716
0.07,2.0,usv2|usv4,xy:dwell_hold,5.504296441631101,nan,2.0,2.0,2.0,0.033714475812326304,0.9999883333333333,survey,0.6882297302673781,0.9565604254987718,0.3636321212121212,0.2078352536284539
0.08,2.0,usv2|usv4,xy:dwell_hold,5.504221759752874,nan,2.0,2.0,2.0,0.035552543769252494,0.9999863888888888,survey,0.68823038437189,0.9565592877587279,0.36363141414141414,0.20784264444185163
0.09,2.0,usv2|usv4,xy:dwell_hold,5.504142776615294,nan,2.0,2.0,2.0,0.0375309990132707,0.9999844444444443,survey,0.6882312225195384,0.9565581278853365,0.36363070707070705,0.20785102187097626
0.1,2.0,usv2|usv4,xy:dwell_hold,5.503453703197922,nan,2.0,2.0,2.0,0.030081507256436078,0.9999824999999999,survey,0.6882301051586553,0.9565616558683842,0.36362999999999995,0.2078355581881246
0.11,2.0,usv2|usv4,xy:dwell_hold,5.503305649998068,nan,2.0,2.0,2.0,0.031124667589223703,0.9999805555555554,survey,0.6882305668772675,0.9565609246722632,0.3636292929292929,0.20784076744025481
