t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,soc,fim,fim_logdet_xy,fim_logdet_3d,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.016802234306963097,0.016802234306963097,0.31438056709550055,0.31395794474490923,3,usv1|usv2|usv4,2.0,18.081275169501044,3.0,47.46217657262761,xy:init,xy,"['usv1', 'usv2', 'usv4']",3,init,2,18.081275169501044,-3.3049633899756894,3,2,18.081275169501044,3,47.46217657262761,1.0,,,,"usv1,usv2,usv4",,,,
0.02,0.010760771786308243,0.010760771786308243,0.29877915714157405,0.228985618145181,3,usv1|usv2|usv4,2.0,18.081273600387092,3.0,47.42865674222688,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.081273600387092,-3.304963031278902,3,2,18.081273600387092,3,47.42865674222688,0.9999277777777777,"[[2.4309176  4.81887481]
 [4.81887481 9.56768546]]",-3.304963031278902,-10.685021955696984,"usv1,usv2,usv4",,,,
0.03,0.012800318087548706,0.012800318087548706,0.4564722606628871,0.35427500175126675,3,usv1|usv2|usv4,2.0,18.081283860895493,3.0,47.403203577011254,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.081283860895493,-3.3049647068324095,3,2,18.081283860895493,3,47.403203577011254,0.9998555555555555,"[[2.43092165 4.81887618]
 [4.81887618 9.56767493]]",-3.3049647068324095,-10.683550007191123,"usv1,usv2,usv4",,,,
0.04,0.010007264686384076,0.010007264686384076,0.16890353168275435,0.09851755272013886,3,usv1|usv2|usv4,2.0,18.081294344498914,3.0,47.379120145202904,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.081294344498914,-3.3049659472262922,3,2,18.081294344498914,3,47.379120145202904,0.9997833333333332,"[[2.43092802 4.81888066]
 [4.81888066 9.56766759]]",-3.3049659472262922,-10.682182911033927,"usv1,usv2,usv4",,,,
0.05,0.020417254925124875,0.020417254925124875,1.6986079477225635,0.033020590717459206,3,usv1|usv2|usv4,2.0,18.080826489114834,3.0,47.35792162125923,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.080826489114834,-3.3049142820946478,3,2,18.080826489114834,3,47.35792162125923,0.999711111111111,"[[2.43097644 4.81891605]
 [4.81891605 9.56761814]]",-3.3049142820946478,-10.680948912019554,"usv1,usv2,usv4",,,,
0.06,0.02477147742535528,0.02477147742535528,1.6554111207610058,0.008223634588849685,3,usv1|usv2|usv4,2.0,18.080749665652963,3.0,47.341571811194655,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.080749665652963,-3.3049058673577028,3,2,18.080749665652963,3,47.341571811194655,0.9996388888888887,"[[2.43099362 4.81892849]
 [4.81892849 9.56759997]]",-3.3049058673577028,-10.680025516413206,"usv1,usv2,usv4",,,,
0.07,0.029233257374568413,0.029233257374568413,1.6372596508361537,0.0030713033812207278,3,usv1|usv2|usv4,2.0,18.080677236652797,3.0,47.32889547764346,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.080677236652797,-3.3048979205545908,3,2,18.080677236652797,3,47.32889547764346,0.9995666666666665,"[[2.43101214 4.81894198]
 [4.81894198 9.56758067]]",-3.3048979205545908,-10.679317823396683,"usv1,usv2,usv4",,,,
0.08,0.03505868329001573,0.03505868329001573,2.3343042634734448,0.7067739725244728,3,usv1|usv2|usv4,2.0,18.08060758520862,3.0,47.31879243280573,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08060758520862,-3.3048901020631236,3,2,18.08060758520862,3,47.31879243280573,0.9994944444444442,"[[2.43103234 4.81895725]
 [4.81895725 9.56756183]]",-3.3048901020631236,-10.678770795476424,"usv1,usv2,usv4",,,,
0.09,0.041105228945603645,0.041105228945603645,3.60486457000199,1.8652450246047207,3,usv1|usv2|usv4,2.0,18.080542819408592,3.0,47.31249513091717,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.080542819408592,-3.304882866767921,3,2,18.080542819408592,3,47.31249513091717,0.999422222222222,"[[2.43105373 4.81897328]
 [4.81897328 9.5675413 ]]",-3.304882866767921,-10.6784442605124,"usv1,usv2,usv4",,,,
0.1,0.030251911645420678,0.030251911645420678,3.6007217126557247,2.2167642434122734,3,usv1|usv2|usv4,2.0,18.08144703192716,3.0,47.31239440005054,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08144703192716,-3.3049828570354207,3,2,18.08144703192716,3,47.31239440005054,0.9993499999999997,"[[2.4310436  4.81896624]
 [4.81896624 9.56755176]]",-3.3049828570354207,-10.67854479725746,"usv1,usv2,usv4",,,,
