t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode_x,mode_y,selected,n,n_active,active_set_str
0.01,0.010938602707954654,0.010938602707954654,0.13348246402670277,0.13305969819193883,4,usv1|usv2|usv3|usv4,2.0,17.99514212446043,3.0,44.593429571832665,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.02,0.021840706433790383,0.021840706433790383,1.148255347538736,0.9917983159085161,4,usv1|usv2|usv3|usv4,2.0,17.995149058242713,3.0,44.57110987148141,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.03,0.007268616205822683,0.007268616205822683,0.14182705275791227,0.06351632306858837,4,usv1|usv2|usv3|usv4,2.0,17.995154340337518,3.0,44.54982746333125,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.04,0.030518195882224076,0.030518195882224076,2.4444453860324376,2.3472224503426244,4,usv1|usv2|usv3|usv4,2.0,17.99516935381541,3.0,44.533805778319234,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.05,0.03333075192666163,0.03333075192666163,2.5329643136287343,0.3472746385332978,4,usv1|usv2|usv3|usv4,2.0,17.994761141928585,3.0,44.51739796707162,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.06,0.04187130443439926,0.04187130443439926,3.9317380499892787,1.7220851449333239,4,usv1|usv2|usv3|usv4,2.0,17.99469866319656,3.0,44.506963250028065,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.07,0.045735338069504534,0.045735338069504534,3.0289360280134163,0.7605548993356365,4,usv1|usv2|usv3|usv4,2.0,17.99463870523262,3.0,44.49905076668909,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.08,0.05200222439552254,0.05200222439552254,3.3995723965427183,1.077109141878388,4,usv1|usv2|usv3|usv4,2.0,17.99458407172263,3.0,44.494522242793266,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.09,0.05732047071306833,0.05732047071306833,2.9602400428418036,0.5452154501051903,4,usv1|usv2|usv3|usv4,2.0,17.994533094506973,3.0,44.492733692829255,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.1,0.02092309399675441,0.02092309399675441,2.5134725044594806,1.512945746629763,4,usv1|usv2|usv3|usv4,2.0,17.99495136448967,3.0,44.49636163921058,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.11,0.022670439353538484,0.022670439353538484,2.5906488404078214,1.7392798744767364,4,usv1|usv2|usv3|usv4,2.0,17.994955802217728,3.0,44.50063468694559,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.12,0.02405880657470961,0.02405880657470961,2.497434696358074,1.7759153923623496,4,usv1|usv2|usv3|usv4,2.0,17.994964342727204,3.0,44.50758444452734,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.13,0.026803190358172975,0.026803190358172975,3.1251141498191113,2.5191603311819324,4,usv1|usv2|usv3|usv4,2.0,17.99497733743614,3.0,44.51726746030295,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.14,0.026402674049048704,0.026402674049048704,1.9830321946298424,1.4822248864257799,4,usv1|usv2|usv3|usv4,2.0,17.99499368341214,3.0,44.529248610979344,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.15,0.04569523076193466,0.04569523076193466,4.086606493340153,2.000882098612338,4,usv1|usv2|usv3|usv4,2.0,17.99554323800207,3.0,44.54442545521485,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.16,0.04908004769986545,0.04908004769986545,4.812605317591911,2.878959654584254,4,usv1|usv2|usv3|usv4,2.0,17.995603728939766,3.0,44.56161419449323,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.17,0.05063541995618089,0.05063541995618089,3.3142336227384366,1.5365765171666084,4,usv1|usv2|usv3|usv4,2.0,17.995667380667378,3.0,44.5806785499411,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.18,0.053729037558387246,0.053729037558387246,3.726286562990983,2.0545245378228696,4,usv1|usv2|usv3|usv4,2.0,17.995735733919975,3.0,44.601728024823124,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.19,0.056208151827234036,0.056208151827234036,3.327643896351325,1.745831964950153,4,usv1|usv2|usv3|usv4,2.0,17.995807683765687,3.0,44.624255441444404,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.2,0.03622596779020793,0.03622596779020793,1.3929021613463763,0.671791616270158,4,usv1|usv2|usv3|usv4,2.0,17.996303577750975,3.0,44.64956287770653,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.21,0.03795339248523623,0.03795339248523623,1.4723599791398538,0.779971934259221,4,usv1|usv2|usv3|usv4,2.0,17.99640461099969,3.0,44.6750232231097,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.22,0.040479198502955185,0.040479198502955185,2.427785167822816,1.7635503990292583,4,usv1|usv2|usv3|usv4,2.0,17.996509947696186,3.0,44.70147151077447,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.23,0.04202430634873415,0.04202430634873415,2.340822851304072,1.7074949344119155,4,usv1|usv2|usv3|usv4,2.0,17.996618676950245,3.0,44.728302160321675,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.24,0.04309298273401298,0.04309298273401298,1.695259560541822,1.0951431125137185,4,usv1|usv2|usv3|usv4,2.0,17.996730979883992,3.0,44.755491054014655,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.25,0.05225481292367653,0.05225481292367653,1.2982648395946883,0.23603247512160477,4,usv1|usv2|usv3|usv4,2.0,17.996434445803853,3.0,44.78133552404887,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.26,0.054131368501942084,0.054131368501942084,1.1731585189049367,0.12925337927543798,4,usv1|usv2|usv3|usv4,2.0,17.996536237132176,3.0,44.80804836851628,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.27,0.05606976618090833,0.05606976618090833,1.1636280379030415,0.12298231108083255,4,usv1|usv2|usv3|usv4,2.0,17.99664033904384,3.0,44.83397763434771,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.28,0.05802480651117953,0.05802480651117953,1.1797656674262127,0.13645496334451843,4,usv1|usv2|usv3|usv4,2.0,17.996746487797967,3.0,44.85877831731464,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.29,0.05989085334225397,0.05989085334225397,1.0375617434985767,0.005776261225542144,4,usv1|usv2|usv3|usv4,2.0,17.99685412889383,3.0,44.881839264562196,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.3,0.03962228688198756,0.03962228688198756,0.6952143253634038,0.01315956215263936,4,usv1|usv2|usv3|usv4,2.0,17.997186156429656,3.0,44.90428613439075,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.31,0.04113639206054597,0.04113639206054597,1.0818223002811571,0.41739264314050206,4,usv1|usv2|usv3|usv4,2.0,17.997305838476986,3.0,44.92392074523045,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.32,0.042658290412513074,0.042658290412513074,1.4975161982478846,0.8434782664449012,4,usv1|usv2|usv3|usv4,2.0,17.997427098634862,3.0,44.941409833384,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.33,0.043808386596574586,0.043808386596574586,1.4183782416517505,0.7923185592780778,4,usv1|usv2|usv3|usv4,2.0,17.997549901504893,3.0,44.95662358832858,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
