t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode_x,mode_y,selected,n,n_active,active_set_str
0.01,0.008963960483662724,0.008963960483662724,0.08977497230733941,0.08935323948947994,4,usv1|usv2|usv3|usv4,2.0,17.995139353172217,3.0,44.45201091502258,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.02,0.003030864076830169,0.003030864076830169,0.1484524586004436,0.0038576130641974583,4,usv1|usv2|usv3|usv4,2.0,17.99514310682356,3.0,44.426517275185034,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.03,0.006236159530706409,0.006236159530706409,0.1746650788619994,0.026997979078167898,4,usv1|usv2|usv3|usv4,2.0,17.995151061024785,3.0,44.40485405781566,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.04,0.02186262249194048,0.02186262249194048,1.2365800292310407,1.1206808036467297,4,usv1|usv2|usv3|usv4,2.0,17.995160039098597,3.0,44.38562519257617,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.05,0.03720996845049319,0.03720996845049319,7.43351768020454,6.558397484888336,4,usv1|usv2|usv3|usv4,2.0,17.9951446934928,3.0,44.37012107396289,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.06,0.03776346715677146,0.03776346715677146,8.024724558919653,7.359325265493333,4,usv1|usv2|usv3|usv4,2.0,17.995159584335106,3.0,44.35856658788836,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.07,0.0269441816851561,0.0269441816851561,3.1684903131041207,2.6069381430566696,4,usv1|usv2|usv3|usv4,2.0,17.995180629298368,3.0,44.350785009598155,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.08,0.027948639122830486,0.027948639122830486,2.8718837038486513,2.307171908414975,4,usv1|usv2|usv3|usv4,2.0,17.995204401436695,3.0,44.3455121508902,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.09,0.030259098716763248,0.030259098716763248,2.9908588086532926,2.3814602315899833,4,usv1|usv2|usv3|usv4,2.0,17.995232274124803,3.0,44.34313936521461,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.1,0.022087951178468613,0.022087951178468613,1.836670130155898,1.488478623333231,4,usv1|usv2|usv3|usv4,2.0,17.99543722326719,3.0,44.343443883376565,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
