t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.03242393522412706,0.03242393522412706,1.1695899627498427,1.169167431623486,4,usv1|usv2|usv3|usv4,2.0,17.995138524870566,3.0,44.542768668352736,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995138524870566,3,44.542768668352736,1.2508612777558799,1.0,"usv1,usv2,usv3,usv4",,,,
0.02,0.03347117462740521,0.03347117462740521,2.691601163119667,2.3502940179209264,4,usv1|usv2|usv3|usv4,2.0,17.995139031992984,3.0,44.5426634456869,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995139031992984,3,44.5426634456869,1.2511604697180851,1.0,"usv1,usv2,usv3,usv4",,,,
0.03,0.0055349967282623145,0.0055349967282623145,1.179498995703685,0.005376575648469226,4,usv1|usv2|usv3|usv4,2.0,17.995148803915527,3.0,44.54411155661463,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995148803915527,3,44.54411155661463,1.251659173944055,0.9999111111111111,"usv1,usv2,usv3,usv4",,,,
0.04,0.011728957948996714,0.011728957948996714,1.219808399384506,0.19975773355491913,4,usv1|usv2|usv3|usv4,2.0,17.995159999306576,3.0,44.54439058321734,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995159999306576,3,44.54439058321734,1.2523573045093235,0.9998222222222222,"usv1,usv2,usv3,usv4",,,,
0.05,0.060507307733082376,0.060507307733082376,8.995436937062445,0.032454850851793185,4,usv1|usv2|usv3|usv4,2.0,17.993183108490992,3.0,44.53831765963978,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.993183108490992,3,44.53831765963978,1.251180800155679,0.9997333333333333,"usv1,usv2,usv3,usv4",,,,
0.06,0.07250247387278076,0.07250247387278076,9.01427296684983,0.009708823388774306,4,usv1|usv2|usv3|usv4,2.0,17.992804958411195,3.0,44.53726897908309,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.992804958411195,3,44.53726897908309,1.2513654098138847,0.9996444444444443,"usv1,usv2,usv3,usv4",,,,
0.07,0.08455322901552248,0.08455322901552248,9.038755528836585,0.03378008667728233,4,usv1|usv2|usv3|usv4,2.0,17.99243163786289,3.0,44.53629453687736,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99243163786289,3,44.53629453687736,1.2515836134188871,0.9995555555555554,"usv1,usv2,usv3,usv4",,,,
0.08,0.09659090553749966,0.09659090553749966,9.02683631676567,0.05045315848204028,4,usv1|usv2|usv3|usv4,2.0,17.99206205850177,3.0,44.53503352095305,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99206205850177,3,44.53503352095305,1.251835401269574,0.9994666666666665,"usv1,usv2,usv3,usv4",,,,
0.09,0.10883338490419436,0.10883338490419436,9.425405859716887,0.4090755310134052,4,usv1|usv2|usv3|usv4,2.0,17.99169874840738,3.0,44.53437478998884,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99169874840738,3,44.53437478998884,1.2521208023552728,0.9993777777777776,"usv1,usv2,usv3,usv4",,,,
0.1,0.0875763602081142,0.0875763602081142,8.577554254121177,0.07362737292204669,4,usv1|usv2|usv3|usv4,2.0,17.992471441501937,3.0,44.53623344376026,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.992471441501937,3,44.53623344376026,1.2516776527233293,0.9992888888888887,"usv1,usv2,usv3,usv4",,,,
