t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.0368621436118782,0.0368621436118782,1.5115716931164862,1.5111482745986797,4,usv1|usv2|usv3|usv4,2.0,17.995138061150154,3.0,44.46579384293182,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995138061150154,3,44.46579384293182,1.2508612882807753,1.0,"usv1,usv2,usv3,usv4",,,,
0.02,0.00623331145313885,0.00623331145313885,0.4587499882456066,0.066506117269896,4,usv1|usv2|usv3|usv4,2.0,17.995142524329722,3.0,44.46706353704006,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995142524329722,3,44.46706353704006,1.2511605229380802,1.0,"usv1,usv2,usv3,usv4",,,,
0.03,0.005779840160624197,0.005779840160624197,0.47268391300011664,0.012619352612489403,4,usv1|usv2|usv3|usv4,2.0,17.995148978912532,3.0,44.467350343914646,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995148978912532,3,44.467350343914646,1.2516591914506765,0.9999111111111111,"usv1,usv2,usv3,usv4",,,,
0.04,0.034168389382015565,0.034168389382015565,3.367753475791239,2.985947380974875,4,usv1|usv2|usv3|usv4,2.0,17.995163182571506,3.0,44.46864680245435,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995163182571506,3,44.46864680245435,1.2523573541977082,0.9998222222222222,"usv1,usv2,usv3,usv4",,,,
0.05,0.03691899380317585,0.03691899380317585,3.0919682061285716,0.34647669299204753,4,usv1|usv2|usv3|usv4,2.0,17.994634918633523,3.0,44.46544483504562,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994634918633523,3,44.46544483504562,1.2511813231172393,0.9997333333333333,"usv1,usv2,usv3,usv4",,,,
0.06,0.04349063889374769,0.04349063889374769,3.0744584274794575,0.32805543460439923,4,usv1|usv2|usv3|usv4,2.0,17.99454659455487,3.0,44.46499457607674,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99454659455487,3,44.46499457607674,1.2513660285207033,0.9996444444444443,"usv1,usv2,usv3,usv4",,,,
0.07,0.050260925126040704,0.050260925126040704,3.1126250285484898,0.37171450278643886,4,usv1|usv2|usv3|usv4,2.0,17.994463043593246,3.0,44.46459728133563,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994463043593246,3,44.46459728133563,1.2515843273554257,0.9995555555555554,"usv1,usv2,usv3,usv4",,,,
0.08,0.059181004181000356,0.059181004181000356,5.037434845851747,2.2954519752010807,4,usv1|usv2|usv3|usv4,2.0,17.9943853703585,3.0,44.464646683034616,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.9943853703585,3,44.464646683034616,1.251836233481981,0.9994666666666665,"usv1,usv2,usv3,usv4",,,,
0.09,0.06580487045356842,0.06580487045356842,5.262065864076499,2.4713263322274748,4,usv1|usv2|usv3|usv4,2.0,17.994311029504082,3.0,44.464287789105754,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994311029504082,3,44.464287789105754,1.2521217215166225,0.9993777777777776,"usv1,usv2,usv3,usv4",,,,
0.1,0.062300268503511294,0.062300268503511294,7.054206918412375,3.1170789025548244,4,usv1|usv2|usv3|usv4,2.0,17.99468325071104,3.0,44.4651795162842,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99468325071104,3,44.4651795162842,1.2516784413123225,0.9992888888888887,"usv1,usv2,usv3,usv4",,,,
0.11,0.06900255205678286,0.06900255205678286,8.650747309136687,4.844362307351616,4,usv1|usv2|usv3|usv4,2.0,17.994662595043103,3.0,44.465138046273864,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994662595043103,3,44.465138046273864,1.2518709836630488,0.9991999999999998,"usv1,usv2,usv3,usv4",,,,
0.12,0.07310524855778701,0.07310524855778701,6.585498578556928,2.9349290151975933,4,usv1|usv2|usv3|usv4,2.0,17.994645228276077,3.0,44.46472260956164,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994645228276077,3,44.46472260956164,1.2520818579314046,0.9991111111111108,"usv1,usv2,usv3,usv4",,,,
0.13,0.07873640439863054,0.07873640439863054,6.621793487593754,3.033526350685073,4,usv1|usv2|usv3|usv4,2.0,17.994632909816723,3.0,44.46454859886397,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994632909816723,3,44.46454859886397,1.2523110851088368,0.9990222222222219,"usv1,usv2,usv3,usv4",,,,
0.14,0.08334871623700978,0.08334871623700978,4.800200039864667,1.2457446072179836,4,usv1|usv2|usv3|usv4,2.0,17.994624151622126,3.0,44.46412298585142,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994624151622126,3,44.46412298585142,1.252558651337069,0.998933333333333,"usv1,usv2,usv3,usv4",,,,
0.15,0.07633681809973437,0.07633681809973437,5.082417041625419,1.2987920084503988,4,usv1|usv2|usv3|usv4,2.0,17.994349603048867,3.0,44.46363029735917,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994349603048867,3,44.46363029735917,1.2521802888813307,0.9988444444444441,"usv1,usv2,usv3,usv4",,,,
0.16,0.08125644205472397,0.08125644205472397,5.207213367939659,1.38494730482176,4,usv1|usv2|usv3|usv4,2.0,17.994332119428737,3.0,44.46349039164856,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994332119428737,3,44.46349039164856,1.2523757536894606,0.9987555555555552,"usv1,usv2,usv3,usv4",,,,
0.17,0.0863290257563203,0.0863290257563203,5.643138434446577,1.772927591941646,4,usv1|usv2|usv3|usv4,2.0,17.994318977538896,3.0,44.46341247640086,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994318977538896,3,44.46341247640086,1.2525838404598975,0.9986666666666663,"usv1,usv2,usv3,usv4",,,,
0.18,0.09067417100085876,0.09067417100085876,4.486953957685263,0.5798033697364664,4,usv1|usv2|usv3|usv4,2.0,17.9943091884181,3.0,44.463070809141776,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.9943091884181,3,44.463070809141776,1.2528045406769008,0.9985777777777773,"usv1,usv2,usv3,usv4",,,,
0.19,0.0958295145486919,0.0958295145486919,5.0810057942374645,1.1347794939977836,4,usv1|usv2|usv3|usv4,2.0,17.994304503185088,3.0,44.463082805934384,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994304503185088,3,44.463082805934384,1.2530378753519373,0.9984888888888884,"usv1,usv2,usv3,usv4",,,,
0.2,0.09207135513514003,0.09207135513514003,5.138034592362565,0.9995956220490196,4,usv1|usv2|usv3|usv4,2.0,17.994539521385885,3.0,44.46365246300541,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994539521385885,3,44.46365246300541,1.2526837193571099,0.9983999999999995,"usv1,usv2,usv3,usv4",,,,
0.21,0.09631520840186619,0.09631520840186619,4.550084877452208,0.4026698536307319,4,usv1|usv2|usv3|usv4,2.0,17.994554021043044,3.0,44.46347744074623,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994554021043044,3,44.46347744074623,1.252880720008543,0.9983111111111106,"usv1,usv2,usv3,usv4",,,,
0.22,0.10096889463024371,0.10096889463024371,5.026228865074503,0.8751347402901427,4,usv1|usv2|usv3|usv4,2.0,17.99457322307141,3.0,44.46356379389172,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99457322307141,3,44.46356379389172,1.25308735053655,0.9982222222222217,"usv1,usv2,usv3,usv4",,,,
