t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.04459375943079988,0.04459375943079988,2.211962971200023,2.2115399559615665,4,usv1|usv2|usv3|usv4,2.0,17.99513337079407,3.0,44.53690709373907,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99513337079407,3,44.53690709373907,1.2508612437731703,1.0,"usv1,usv2,usv3,usv4",,,,
0.02,0.04107862010601965,0.04107862010601965,4.039454634595971,3.547936367083531,4,usv1|usv2|usv3|usv4,2.0,17.995134424202526,3.0,44.53699688518581,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995134424202526,3,44.53699688518581,1.2511604417009072,1.0,"usv1,usv2,usv3,usv4",,,,
0.03,0.026964837821811794,0.026964837821811794,3.587423778963654,1.8295345575615594,4,usv1|usv2|usv3|usv4,2.0,17.995141670484042,3.0,44.53757491815329,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995141670484042,3,44.53757491815329,1.2516591189313753,0.9999111111111111,"usv1,usv2,usv3,usv4",,,,
0.04,0.024193985988361307,0.024193985988361307,4.257644688745156,1.4111379677867795,4,usv1|usv2|usv3|usv4,2.0,17.99515240457376,3.0,44.53770027594673,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99515240457376,3,44.53770027594673,1.2523572446720153,0.9998222222222222,"usv1,usv2,usv3,usv4",,,,
0.05,0.04506742582794342,0.04506742582794342,6.527037184460841,3.275669041829714,4,usv1|usv2|usv3|usv4,2.0,17.996347735918825,3.0,44.53989811614997,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.996347735918825,3,44.53989811614997,1.251181829445599,0.9997333333333333,"usv1,usv2,usv3,usv4",,,,
0.06,0.04737955923600647,0.04737955923600647,4.908152037205729,1.4905117099864298,4,usv1|usv2|usv3|usv4,2.0,17.996604767894976,3.0,44.540760746138915,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.996604767894976,3,44.540760746138915,1.2513666652812578,0.9996444444444443,"usv1,usv2,usv3,usv4",,,,
0.07,0.05316109960957384,0.05316109960957384,4.501186934168802,0.9284382996533708,4,usv1|usv2|usv3|usv4,2.0,17.996865830560203,3.0,44.54141173730012,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.996865830560203,3,44.54141173730012,1.251585086542,0.9995555555555554,"usv1,usv2,usv3,usv4",,,,
0.08,0.06006588607852235,0.06006588607852235,4.6750167750705875,0.9590466502129898,4,usv1|usv2|usv3|usv4,2.0,17.997131074960237,3.0,44.541923544369574,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.997131074960237,3,44.541923544369574,1.2518370969575783,0.9994666666666665,"usv1,usv2,usv3,usv4",,,,
0.09,0.06626441167825065,0.06626441167825065,4.034694616666717,0.1561276406587139,4,usv1|usv2|usv3|usv4,2.0,17.997401699491824,3.0,44.54273463554026,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.997401699491824,3,44.54273463554026,1.2521227115163702,0.9993777777777776,"usv1,usv2,usv3,usv4",,,,
0.1,0.06583435253018045,0.06583435253018045,5.33763350199741,0.07155681882828455,4,usv1|usv2|usv3|usv4,2.0,17.997696907899783,3.0,44.543639973864934,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.997696907899783,3,44.543639973864934,1.251679405462566,0.9992888888888887,"usv1,usv2,usv3,usv4",,,,
