t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,f_obs,f_energy,f_mission,soc,phase,w_obs,w_energy,w_mission,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.028541328841402126,0.028541328841402126,0.9063484467375228,0.9059261675200966,4,usv1|usv2|usv3|usv4,2.0,17.995148693931224,3.0,44.5789218805548,xy:init,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,init,2,17.995148693931224,-3.0077343453572016,4,2,17.995148693931224,3,44.5789218805548,0.9534844005582872,0.9999999999387607,0.0,0.7155610597010924,1.0,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.02,0.01890219464518222,0.01890219464518222,0.8236501417395129,0.7389730776834665,4,usv1|usv2|usv3|usv4,2.0,17.995150385403676,3.0,44.553317604441645,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995150385403676,-3.0077345583741097,4,2,17.995150385403676,3,44.553317604441645,0.9534709069171524,0.9999999999387607,0.0,0.7153790883120748,0.9999111111111111,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.03,0.005788455306120016,0.005788455306120016,0.2664562520116347,0.012896354786938413,4,usv1|usv2|usv3|usv4,2.0,17.995155788680275,3.0,44.530786189072124,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995155788680275,-3.00773498950889,4,2,17.995155788680275,3,44.530786189072124,0.9534484222620594,0.9999999999387607,0.0,0.7150758666776773,0.9998222222222222,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.04,0.010715987427538607,0.010715987427538607,0.401681201581183,0.13825632100031063,4,usv1|usv2|usv3|usv4,2.0,17.995168404947552,3.0,44.51269538016105,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995168404947552,-3.0077366882799166,4,2,17.995168404947552,3,44.51269538016105,0.9534169513428871,0.9999999999387607,0.0,0.7146514588534103,0.9997333333333333,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.05,0.017701533641793155,0.017701533641793155,2.100270281842548,0.0003548781679379419,4,usv1|usv2|usv3|usv4,2.0,17.99478072443968,3.0,44.49650657467314,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99478072443968,-3.0076935797638296,4,2,17.99478072443968,3,44.49650657467314,0.9534699670898238,0.9999999999387608,0.0,0.7153664140692414,0.9996444444444443,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.06,0.021801391581343126,0.021801391581343126,2.1264389060310656,0.036926688786143275,4,usv1|usv2|usv3|usv4,2.0,17.99472065307478,3.0,44.484606489362385,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99472065307478,-3.007686957920078,4,2,17.99472065307478,3,44.484606489362385,0.9534616373174788,0.9999999999387608,0.0,0.7152540811393323,0.9995555555555554,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.07,0.02578834563196371,0.02578834563196371,2.091417553061622,0.05571125915060359,4,usv1|usv2|usv3|usv4,2.0,17.99466591142935,3.0,44.476214320642065,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99466591142935,-3.007681071461774,4,2,17.99466591142935,3,44.476214320642065,0.9534517933139527,0.9999999999387608,0.0,0.7151213277203516,0.9994666666666665,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.08,0.02967705961650677,0.02967705961650677,2.0998741291074285,0.03302652952360836,4,usv1|usv2|usv3|usv4,2.0,17.994614756509286,3.0,44.47065212845883,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994614756509286,-3.007675409767049,4,2,17.994614756509286,3,44.47065212845883,0.953440436298415,0.9999999999387609,0.0,0.7149681702536705,0.9993777777777776,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.09,0.033646317220466924,0.033646317220466924,2.1238420187652194,0.03969469588515205,4,usv1|usv2|usv3|usv4,2.0,17.994567460675157,3.0,44.4679300822906,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.994567460675157,-3.007670062370974,4,2,17.994567460675157,3,44.4679300822906,0.9534275665933202,0.9999999999387609,0.0,0.7147946130878196,0.9992888888888887,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.1,0.015785705218486427,0.015785705218486427,0.2732671196836948,0.06494001830313335,4,usv1|usv2|usv3|usv4,2.0,17.995234262705054,3.0,44.469334191184174,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995234262705054,-3.0077441295134375,4,2,17.995234262705054,3,44.469334191184174,0.9534475454716435,0.9999999999387605,0.0,0.715064042532642,0.9991999999999998,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
