t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,f_obs,f_energy,f_mission,soc,phase,w_obs,w_energy,w_mission,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.05811717843931253,0.05811717843931253,3.756686965992311,3.756265567834802,3,usv1|usv2|usv4,2.0,18.081279448869754,3.0,47.33757301893017,xy:init,xy,"['usv1', 'usv2', 'usv4']",3,init,2,18.081279448869754,-3.3049646620327824,3,2,18.081279448869754,3,47.33757301893017,0.6980566504057375,0.9817978655815568,0.1875,0.0,1.0,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.02,0.03536545554902714,0.03536545554902714,2.8837992166307806,2.6256606563458527,3,usv1|usv2|usv4,2.0,18.08127846554065,3.0,47.31003364851053,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08127846554065,-3.3049644141594516,3,2,18.08127846554065,3,47.31003364851053,0.6980557024377242,0.9817978609940711,0.18748645833333333,0.0,0.9999277777777777,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.03,0.01962380798026009,0.01962380798026009,2.001141435805737,0.9337770497284424,3,usv1|usv2|usv4,2.0,18.08128291371864,3.0,47.287007764965665,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08128291371864,-3.304964836699296,3,2,18.08128291371864,3,47.287007764965665,0.698054756224471,0.9817978589217417,0.18747291666666666,0.0,0.9998555555555555,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.04,0.009012456705370944,0.009012456705370944,1.6872220159977873,0.047374157160488206,3,usv1|usv2|usv4,2.0,18.08129075043464,3.0,47.26712527330726,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08129075043464,-3.3049654989578654,3,2,18.08129075043464,3,47.26712527330726,0.6980538085158887,0.981797854706107,0.18745937499999998,0.0,0.9997833333333332,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.05,0.022666833753146615,0.022666833753146615,6.172224039118799,0.08266580900054925,3,usv1|usv2|usv4,2.0,18.0817561918904,3.0,47.25275771916243,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.0817561918904,-3.305017100320823,3,2,18.0817561918904,3,47.25275771916243,0.6980525413202293,0.9817973925589951,0.1874458333333333,0.0,0.999711111111111,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.06,0.02649954850035196,0.02649954850035196,5.9905087052861274,0.0721391317328164,3,usv1|usv2|usv4,2.0,18.08186618718136,3.0,47.24219008115651,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.08186618718136,-3.3050293630600214,3,2,18.08186618718136,3,47.24219008115651,0.698051534354922,0.9817973034087213,0.18743229166666664,0.0,0.9996388888888887,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.07,0.03285984983341879,0.03285984983341879,6.908712126192796,1.1597510994970792,3,usv1|usv2|usv4,2.0,18.081978950926473,3.0,47.23409488130938,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.081978950926473,-3.3050417471003706,3,2,18.081978950926473,3,47.23409488130938,0.6980505250444372,0.9817972108970265,0.18741874999999997,0.0,0.9995666666666665,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.08,0.03585216849676211,0.03585216849676211,6.13315793959204,0.8872211243397898,3,usv1|usv2|usv4,2.0,18.082097674097376,3.0,47.230384282974036,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.082097674097376,-3.3050549387951675,3,2,18.082097674097376,3,47.230384282974036,0.6980495187862847,0.9817971227603414,0.1874052083333333,0.0,0.9994944444444442,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.09,0.04136885832107572,0.04136885832107572,6.895013626238095,2.0662408953007265,3,usv1|usv2|usv4,2.0,18.082219500461388,3.0,47.229194224498656,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.082219500461388,-3.3050683331575277,3,2,18.082219500461388,3,47.229194224498656,0.6980485109074034,0.9817970323006113,0.18739166666666662,0.0,0.999422222222222,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
0.1,0.024408722428904617,0.024408722428904617,7.35336198472117,1.9289740416822054,3,usv1|usv2|usv4,2.0,18.082492651109938,3.0,47.23411491979912,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv4']",3,dwell_hold,2,18.082492651109938,-3.3050985416269185,3,2,18.082492651109938,3,47.23411491979912,0.698047876764514,0.9817974775291365,0.18737812499999995,0.0,0.9993499999999997,survey,0.6976744186046513,0.06976744186046513,0.23255813953488377,"usv1,usv2,usv4",,,,
