t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,f_obs,f_energy,f_mission,soc,phase,w_obs,w_energy,w_mission,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.025798658739643498,0.025798658739643498,0.740603520215707,0.7401808403771798,4,usv1|usv2|usv3|usv4,2.0,17.995145866242005,3.0,44.5410285653696,xy:init,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,init,2,17.995145866242005,-3.0077337912540925,4,2,17.995145866242005,3,44.5410285653696,0.900423728758418,0.9999999999387607,0.0,0.0,1.0,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.02,0.03055090671390217,0.03055090671390217,2.033930621746395,1.9554758120878242,4,usv1|usv2|usv3|usv4,2.0,17.99514925354912,3.0,44.517572948564535,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99514925354912,-3.0077345168977576,4,2,17.99514925354912,3,44.517572948564535,0.900423728758418,0.9999999999387607,0.0,0.0,0.9999111111111111,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.03,0.022625011582461343,0.022625011582461343,1.6958539188387332,1.2658626381917661,4,usv1|usv2|usv3|usv4,2.0,17.995155527416916,3.0,44.497140125620646,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.995155527416916,-3.007735215871876,4,2,17.995155527416916,3,44.497140125620646,0.900423728758418,0.9999999999387607,0.0,0.0,0.9998222222222222,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.04,0.008557161959590984,0.008557161959590984,0.9532968511143523,0.02569291538345914,4,usv1|usv2|usv3|usv4,2.0,17.99516499236951,3.0,44.47972177724477,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99516499236951,-3.0077359863752635,4,2,17.99516499236951,3,44.47972177724477,0.900423728758418,0.9999999999387607,0.0,0.0,0.9997333333333333,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.05,0.018775592426288817,0.018775592426288817,6.7089374268303095,0.012415004864179636,4,usv1|usv2|usv3|usv4,2.0,17.99599897606336,3.0,44.46820494862326,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99599897606336,-3.00782875296507,4,2,17.99599897606336,3,44.46820494862326,0.9004237287584176,0.9999999999387602,0.0,0.0,0.9996444444444443,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.06,0.022830014671868133,0.022830014671868133,6.834296362298216,0.15727643222159912,4,usv1|usv2|usv3|usv4,2.0,17.99618373731275,3.0,44.45869248171539,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99618373731275,-3.007849458807794,4,2,17.99618373731275,3,44.45869248171539,0.9004237287584176,0.9999999999387602,0.0,0.0,0.9995555555555554,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.07,0.026288843065081686,0.026288843065081686,6.9580979969614996,0.16377922835924064,4,usv1|usv2|usv3|usv4,2.0,17.996371209138474,3.0,44.45174219365733,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.996371209138474,-3.007870118382885,4,2,17.996371209138474,3,44.45174219365733,0.9004237287584175,0.9999999999387601,0.0,0.0,0.9994666666666665,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.08,0.029566029860930206,0.029566029860930206,6.602562762049484,0.06772566688879507,4,usv1|usv2|usv3|usv4,2.0,17.99656450106795,3.0,44.44832706280374,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99656450106795,-3.0078916661183888,4,2,17.99656450106795,3,44.44832706280374,0.9004237287584174,0.99999999993876,0.0,0.0,0.9993777777777776,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.09,0.03308343666690807,0.03308343666690807,6.393514529694644,0.0515545457652606,4,usv1|usv2|usv3|usv4,2.0,17.99676255657729,3.0,44.44800758495538,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99676255657729,-3.0079137957351936,4,2,17.99676255657729,3,44.44800758495538,0.9004237287584174,0.99999999993876,0.0,0.0,0.9992888888888887,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.1,0.06382102682216015,0.06382102682216015,8.359049449341535,0.8120282753070412,4,usv1|usv2|usv3|usv4,2.0,17.9978717571027,3.0,44.453206049883356,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.9978717571027,-3.0080371659355927,4,2,17.9978717571027,3,44.453206049883356,0.9004237287584169,0.9999999999387594,0.0,0.0,0.9991999999999998,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.11,0.06955916608298589,0.06955916608298589,7.881076029927563,0.12911185334280156,4,usv1|usv2|usv3|usv4,2.0,17.998167606857034,3.0,44.45829215786471,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.998167606857034,-3.008069836779442,4,2,17.998167606857034,3,44.45829215786471,0.9004237287584168,0.9999999999387593,0.0,0.0,0.9991111111111108,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.12,0.07591236592492698,0.07591236592492698,8.003455251374561,0.1982285612456315,4,usv1|usv2|usv3|usv4,2.0,17.99846846320641,3.0,44.46634551061251,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99846846320641,-3.0081031871522823,4,2,17.99846846320641,3,44.46634551061251,0.9004237287584167,0.9999999999387592,0.0,0.0,0.9990222222222219,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.13,0.08215900883365261,0.08215900883365261,7.968478993547141,0.08239778111625852,4,usv1|usv2|usv3|usv4,2.0,17.99877315816659,3.0,44.47690797233179,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.99877315816659,-3.008136878412482,4,2,17.99877315816659,3,44.47690797233179,0.9004237287584166,0.9999999999387591,0.0,0.0,0.998933333333333,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.14,0.08844417552261756,0.08844417552261756,7.93189882162803,0.022387652567710643,4,usv1|usv2|usv3|usv4,2.0,17.999081682689628,3.0,44.48991747465218,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.999081682689628,-3.008170916330224,4,2,17.999081682689628,3,44.48991747465218,0.9004237287584165,0.999999999938759,0.0,0.0,0.9988444444444441,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.15,0.08989899763320446,0.08989899763320446,11.354214131199644,0.389343279876287,4,usv1|usv2|usv3|usv4,2.0,17.998823227020782,3.0,44.5043301178295,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.998823227020782,-3.0081419207296216,4,2,17.998823227020782,3,44.5043301178295,0.9004237287584166,0.9999999999387591,0.0,0.0,0.9987555555555552,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.16,0.09598900672852369,0.09598900672852369,11.26716491306677,0.5437779926417091,4,usv1|usv2|usv3|usv4,2.0,17.999102155071522,3.0,44.5222722599444,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.999102155071522,-3.0081726863941896,4,2,17.999102155071522,3,44.5222722599444,0.9004237287584165,0.999999999938759,0.0,0.0,0.9986666666666663,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
0.17,0.10193247757078312,0.10193247757078312,10.82693841272012,0.3689004150881881,4,usv1|usv2|usv3|usv4,2.0,17.999385363841665,3.0,44.54264452051597,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3', 'usv4']",4,dwell_hold,2,17.999385363841665,-3.008203954568385,4,2,17.999385363841665,3,44.54264452051597,0.9004237287584164,0.9999999999387589,0.0,0.0,0.9985777777777773,survey,0.9004237288135594,0.025423728813559324,0.07415254237288137,"usv1,usv2,usv3,usv4",,,,
