t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99514590486431,44.616152841037575,2.0,3.0,4.0,0.005270746283724696,,,1.0558613259533747,,,
0.02,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99514211200378,44.61454233545648,2.0,3.0,4.0,0.03053360661017236,,,1.056160471752637,,,
0.03,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995145312588246,44.61367652529533,2.0,3.0,4.0,0.04960970098800136,,,1.0566591050406116,,,
0.04,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99515688623239,44.61409574680194,2.0,3.0,4.0,0.039775978467681536,,,1.057357239636806,,,
0.05,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99590135992655,44.615351399342885,2.0,3.0,4.0,0.04724687754911054,,,1.0561816681287008,,,
0.06,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99606838687987,44.61608710372594,2.0,3.0,4.0,0.03994212241989019,,,1.056366474350178,,,
0.07,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99623924124433,44.61654010124969,2.0,3.0,4.0,0.039437307810352394,,,1.0565848638968207,,,
0.08,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.996415625645387,44.617330609295976,2.0,3.0,4.0,0.03485369806038341,,,1.0568368571211373,,,
0.09,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.996595072625635,44.617606407720096,2.0,3.0,4.0,0.0386250381732176,,,1.0571224295511557,,,
0.1,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99555469568152,44.61493167333891,2.0,3.0,4.0,0.027265305016752544,,,1.0566786698061925,,,
0.11,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995620793376673,44.614985295886754,2.0,3.0,4.0,0.028750689913261795,,,1.056871236111895,,,
0.12,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99569233075781,44.61541038667725,2.0,3.0,4.0,0.025440343345085072,,,1.057082157470282,,,
0.13,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995766710617072,44.61531024482997,2.0,3.0,4.0,0.029366533401016564,,,1.0573114081681896,,,
0.14,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995845800023076,44.61535822796918,2.0,3.0,4.0,0.03170396419774041,,,1.0575590103809125,,,
0.15,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99678158002427,44.617532081758505,2.0,3.0,4.0,0.04540266296791417,,,1.0571810622156672,,,
0.16,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.996927022675962,44.618089401017485,2.0,3.0,4.0,0.046030798724463105,,,1.057376590529932,,,
0.17,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997075881063942,44.61838427074579,2.0,3.0,4.0,0.048634025186928144,,,1.0575847309289172,,,
0.18,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99722975114595,44.6189940984513,2.0,3.0,4.0,0.050247605408624094,,,1.0578055027419366,,,
0.19,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997387154860355,44.61941717187057,2.0,3.0,4.0,0.052784638575978204,,,1.0580388923110688,,,
0.2,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997937028227096,44.62042427913584,2.0,3.0,4.0,0.075271117558696,,,1.0576848442700708,,,
0.21,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998121925006664,44.620887849945106,2.0,3.0,4.0,0.07889889978520277,,,1.0578819095868772,,,
0.22,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998310428271406,44.62123344695168,2.0,3.0,4.0,0.08255491644886341,,,1.0580885930562212,,,
0.23,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998503159568862,44.621695084777876,2.0,3.0,4.0,0.08618621139895687,,,1.058304903568514,,,
0.24,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998699666976105,44.62214832870326,2.0,3.0,4.0,0.08982184710140399,,,1.0585308390048846,,,
0.25,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998698570379123,44.62263746178026,2.0,3.0,4.0,0.07666910833674366,,,1.058189073003344,,,
0.26,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.9988929182775,44.623146526118575,2.0,3.0,4.0,0.07970207632264635,,,1.0583870793061094,,,
0.27,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.999089001468995,44.62352541552238,2.0,3.0,4.0,0.08251225145195933,,,1.058592858428658,,,
0.28,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.999287316286775,44.62401723948203,2.0,3.0,4.0,0.08548820391246302,,,1.0588064195440712,,,
0.29,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99948718751712,44.62442808007658,2.0,3.0,4.0,0.08835873602555432,,,1.0590277583886432,,,
0.3,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.0011851304866,44.62914760075769,2.0,3.0,4.0,0.10939574322520051,,,1.0586941913517318,,,
0.31,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00143811529869,44.629598235542105,2.0,3.0,4.0,0.11272306448531055,,,1.0588928437758918,,,
0.32,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001693512077303,44.63030613366766,2.0,3.0,4.0,0.11640791660242963,,,1.0590980320971117,,,
0.33,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00195061366193,44.63103286510229,2.0,3.0,4.0,0.12016800810448107,,,1.059309750709944,,,
0.34,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002208841754015,44.631587378299095,2.0,3.0,4.0,0.12362351305225182,,,1.0595279954484995,,,
0.35000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00234581769268,44.632926765010694,2.0,3.0,4.0,0.10491477693600612,,,1.0591990293250366,,,
0.36,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002603772500056,44.63352578033239,2.0,3.0,4.0,0.10779738238415895,,,1.0593981409710027,,,
0.37,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002863361862016,44.63414707612235,2.0,3.0,4.0,0.11070808700444272,,,1.059602880053744,,,
0.38,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.003125002691107,44.63493944900402,2.0,3.0,4.0,0.11396745984901792,,,1.0598132529295334,,,
