t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99514403594268,44.49412135665442,2.0,3.0,4.0,0.01431875318040868,,,1.0558613510183519,,,
0.02,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995139474824015,44.49227184434414,2.0,3.0,4.0,0.027619034131988466,,,1.0561604884426012,,,
0.03,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995143355064723,44.491660918579356,2.0,3.0,4.0,0.04105728335717409,,,1.056659129112382,,,
0.04,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.995154723378953,44.492006910727355,2.0,3.0,4.0,0.032920175081909114,,,1.057357261677105,,,
0.05,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.996436620199585,44.496515886956935,2.0,3.0,4.0,0.03407398196108666,,,1.056181916849853,,,
0.06,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.996708839505857,44.49710190269274,2.0,3.0,4.0,0.04106780536843966,,,1.056366743942502,,,
0.07,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99698541739991,44.497596445488604,2.0,3.0,4.0,0.04843289426286814,,,1.0565851601072698,,,
0.08,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997268847629172,44.498876687897564,2.0,3.0,4.0,0.05508475653606256,,,1.0568371942226973,,,
0.09,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997555433426058,44.49968256362442,2.0,3.0,4.0,0.06222534255090699,,,1.0571228084647408,,,
0.1,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997216627227377,44.4983427853288,2.0,3.0,4.0,0.0460611035117337,,,1.0566792800461031,,,
0.11,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.9974485581959,44.498740143969385,2.0,3.0,4.0,0.05040890491282463,,,1.0568718989116406,,,
0.12,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.997685151952524,44.49923373468703,2.0,3.0,4.0,0.054982969653574576,,,1.0570828645670827,,,
0.13,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99792655630187,44.49989020242977,2.0,3.0,4.0,0.05959825175543417,,,1.0573121807311585,,,
0.14,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.998172540688074,44.50064639914594,2.0,3.0,4.0,0.0643814893189998,,,1.0575598470724872,,,
0.15,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99931917978731,44.50263290045314,2.0,3.0,4.0,0.089213377902688,,,1.0571819602927408,,,
0.16,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.99963286689187,44.50328330250723,2.0,3.0,4.0,0.0951312492216648,,,1.057377535476994,,,
0.17,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,17.9999509816739,44.50402872050548,2.0,3.0,4.0,0.10101204985757894,,,1.0575857337698893,,,
0.18,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00027315351268,44.5047551948411,2.0,3.0,4.0,0.10692736892624694,,,1.057806553317986,,,
0.19,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.000599438197984,44.5054961352879,2.0,3.0,4.0,0.11285232724831229,,,1.0580399968501504,,,
0.2,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00071717485089,44.50525475554594,2.0,3.0,4.0,0.1171891445386909,,,1.0576857957103656,,,
0.21,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001041586472436,44.50620708805006,2.0,3.0,4.0,0.12274321238275139,,,1.0578829123011264,,,
0.22,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001369744539712,44.507090108739185,2.0,3.0,4.0,0.12847841595345222,,,1.0580896485634863,,,
0.23,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001701552595705,44.50788621692869,2.0,3.0,4.0,0.13425630982432551,,,1.0583060056573699,,,
0.24,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00203728967398,44.508722911341465,2.0,3.0,4.0,0.14003390305700836,,,1.0585319892546616,,,
0.25,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.000556525448484,44.50532995270569,2.0,3.0,4.0,0.09523168950219874,,,1.0581897120949506,,,
0.26,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.000824637145133,44.50584422102968,2.0,3.0,4.0,0.09910730142917917,,,1.0583877375075792,,,
0.27,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001095812119075,44.506687512626264,2.0,3.0,4.0,0.10277983207484952,,,1.0585935500314367,,,
0.28,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001368213351213,44.507296260138645,2.0,3.0,4.0,0.10657888311599702,,,1.0588071337852938,,,
0.29,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001642210011962,44.50783487420676,2.0,3.0,4.0,0.11047848663324264,,,1.0590284956072034,,,
0.3,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.000624773869117,44.50526424302093,2.0,3.0,4.0,0.08346260720743712,,,1.0586939970516611,,,
0.31,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00085954186279,44.50588830716758,2.0,3.0,4.0,0.08614194143747889,,,1.05889264933464,,,
0.32,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001095908735838,44.506488995766276,2.0,3.0,4.0,0.08885068619928566,,,1.0590978288417876,,,
0.33,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.0013336345354,44.50699108864795,2.0,3.0,4.0,0.09166815369987318,,,1.0593095349645372,,,
0.34,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001573121467434,44.507539535194326,2.0,3.0,4.0,0.09444999451748792,,,1.0595277739715456,,,
0.35000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.000889209794643,44.505894664630446,2.0,3.0,4.0,0.07873702456930691,,,1.0591985321512798,,,
0.36,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001105469091513,44.50641026870777,2.0,3.0,4.0,0.08093956460803947,,,1.0593976304863593,,,
0.37,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.001323392881996,44.50695808439948,2.0,3.0,4.0,0.08311122493759199,,,1.0596023565609216,,,
0.38,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00154314400206,44.50759848918797,2.0,3.0,4.0,0.08532885911217893,,,1.0598127140199218,,,
0.39,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00176414531363,44.50814068839115,2.0,3.0,4.0,0.08753038531195403,,,1.0600286986321255,,,
0.4,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00214723019825,44.509313305493826,2.0,3.0,4.0,0.08482724413955471,,,1.0597035136239308,,,
0.41000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00237546306763,44.50993163601804,2.0,3.0,4.0,0.08692824060696351,,,1.0599029593178293,,,
0.42,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002604885302727,44.51044622905725,2.0,3.0,4.0,0.08899749691740398,,,1.0601073477440406,,,
0.43,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.0028360505453,44.5110505386146,2.0,3.0,4.0,0.09109478218673159,,,1.060316686728572,,,
0.44,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.003068594715064,44.511624636553606,2.0,3.0,4.0,0.09319338899817621,,,1.060530974263382,,,
0.45,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002388713194357,44.50966240694049,2.0,3.0,4.0,0.08106289792481007,,,1.060208221590512,,,
0.46,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00260366045585,44.51015847134941,2.0,3.0,4.0,0.08280705696763023,,,1.0604079251893808,,,
0.47000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.002819719764346,44.510550730343034,2.0,3.0,4.0,0.08455467136147268,,,1.0606120393504987,,,
0.48,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00303719103258,44.510943493583284,2.0,3.0,4.0,0.0864011219263139,,,1.060820569114486,,,
0.49,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,18.00325620525904,44.51138593391123,2.0,3.0,4.0,0.08823934190851579,,,1.0610335177824872,,,
