k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
0,0-2,379840208.4833879,-39.6636176290777,2,0-1-3,9.641187991236475,-1.074790735095815,3
10,0-3,20876464.900246687,-32.17944384073143,2,0-1-3,10.084112489414865,-1.2821775743166368,3
20,2-3,13956947.896640444,-30.935309404054816,2,0-1-3,10.1556207725885,-1.3132655655197532,3
30,0-3,13136744.616493793,-31.296475358546648,2,0-1-3,10.202268497646406,-1.3362224759889862,3
40,2-3,15687243.987213183,-31.182380033049522,2,0-1-3,10.222324128933412,-1.3500663528630321,3
50,0-3,18117711.085590173,-31.970489017965352,2,0-1-3,10.215623926808039,-1.354287012769066,3
60,0-3,21998342.18201552,-32.36756019939315,2,0-1-3,10.183489084354054,-1.3488303171607199,3
70,2-3,21009842.98439529,-31.750948481970767,2,0-1-3,10.128604005368288,-1.3340848905315021,3
80,1-3,90911654.18986052,-33.899221779517276,2,0-1-3,10.054875048894578,-1.3108762338269377,3
90,2-3,24558532.89149042,-32.03057959862629,2,0-1-3,9.967277361965502,-1.28046769310592,3
100,0-3,27262922.213315863,-32.781925006731555,2,0-1-3,9.871686321213538,-1.2445622355344952,3
110,,inf,-inf,0,0-1-3,9.774680732472673,-1.2052934801378608,3
120,0-3,15270811.742787331,-31.5897396745788,2,0-1-3,9.683298267850788,-1.1651893987925117,3
130,0-3,36751930.640289195,-33.326387921005775,2,0-1-3,9.604721206199105,-1.1270889569606015,3
140,1-2,134395055.0177906,-36.37289012838616,2,0-1-3,9.545874860247006,-1.0939932786132411,3
150,0-3,34821872.37446489,-33.17906393904104,2,0-1-3,9.512935050609286,-1.0688418988812654,3
160,2-3,33153212.599139143,-32.49172964389319,2,0-1-3,9.510766359714422,-1.0542233391430216,3
170,0-3,25335438.890522975,-32.51407543231442,2,0-1-3,9.542347483984146,-1.0520555254712196,3
180,2-3,20234405.948045883,-31.50030411108383,2,0-1-3,9.608275108721736,-1.0632969680767603,3
190,2-3,30311797.691492252,-32.31677950800028,2,0-1-3,9.706458235967839,-1.0877606450338977,3
200,,inf,-inf,0,0-1-3,9.832104485148129,-1.1240878373295216,3
210,2-3,12960001.451370414,-30.651220969788056,2,0-1-3,9.978050911331907,-1.169898974766895,3
220,0-2,48062724.89851305,-35.42719878042015,2,0-1-3,10.135414199957244,-1.2220882538935602,3
230,0-3,11423908.30738207,-30.971634206131277,2,0-1-3,10.294455753155235,-1.2771910783889622,3
240,0-3,25781380.767159108,-32.625787177944105,2,0-1-3,10.445507899175906,-1.331743907795528,3
250,1-3,17970262.535347532,-30.602404033713828,2,0-1-3,10.579806953036787,-1.3825744957069404,3
260,0-3,40847024.18682783,-33.60313270429509,2,0-1-3,10.690122816999818,-1.426993350572194,3
270,0-3,12348847.109981833,-31.238258883552767,2,0-1-3,10.77114050244772,-1.4628886299852812,3
280,0-2,43093346.36924957,-35.2387660606546,2,0-1-3,10.819609718054089,-1.4887467679120125,3
290,1-3,21721111.3729412,-31.06189593817766,2,0-1-3,10.834317082887123,-1.5036282564152046,3
300,1-3,27156191.194590706,-31.518168714812255,2,0-1-3,10.81594783844911,-1.507125680409505,3
310,2-3,16270880.244083837,-31.253442760331613,2,0-1-3,10.766896359671318,-1.4993241167873697,3
320,2-3,50016677.34550492,-33.48813407840919,2,0-1-3,10.691066846348198,-1.4807759314189566,3
330,1-2,67421576.73373199,-35.117924518757725,2,0-1-3,10.593685196718418,-1.4524945253566512,3
340,1-3,36234703.99726981,-32.07721281767404,2,0-1-3,10.481124570298185,-1.4159648748429716,3
350,2-3,21979000.71694365,-31.78087487960815,2,0-1-3,10.36073184650351,-1.3731621787573571,3
360,2-3,53170235.84698811,-33.52029967230437,2,0-1-3,10.240629904764313,-1.3265629477321745,3
370,1-3,38430391.60491503,-32.12838433176311,2,0-1-3,10.12946143275152,-1.2791255687487082,3
380,1-3,38422442.46010823,-32.10037841809133,2,0-1-3,10.036035479719708,-1.2342114681258725,3
390,1-3,24293800.523503955,-31.15596445303007,2,0-1-3,9.968842288182731,-1.1954174007730538,3
400,2-3,33382978.35534554,-32.48754789972058,2,0-1-3,9.935421039544373,-1.166299854163909,3
