k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
0,220.0,-230.0,-5.0,3.4300676058958137,3.598953951598118,2,3.2149991407951766,1.61748263372748,0-1-3,3.13284411300331,3.6161662862391846,2,3.2290333079874833,1.627882829211091,1-3,2.6504206482656203,3.7580229861865644,2,3.360757092575225,1.6816802696743234
10,219.9786164209845,-197.9847367657876,-5.386666666666667,3.315872365312,3.810433326315604,2,3.451414872294237,1.6146632818029756,0-1-3,3.0154042305648625,3.8348782600771236,2,3.472096695116798,1.62813875617871,1-3,2.5247875400583935,4.001684776772274,2,3.628149208185632,1.68819855935045
20,219.03752263322056,-193.0106415180208,-6.3533333333333335,3.3001682124567973,3.8404261152734462,2,3.487988851615955,1.6071112338220728,0-1-3,2.9989848557530845,3.8664585874482644,2,3.5101510245148004,1.6212161464623165,1-3,2.5066753979405165,4.0380794185570945,2,3.6709715237363394,1.6822762741272024
30,216.8659475994302,-188.38233192188403,-7.32,3.287851752677115,3.8640910234442405,2,3.5217195451520564,1.5901858013315142,0-1-3,2.98569786211044,3.892184766802466,2,3.545816023266906,1.6050828601891027,1-3,2.4911407710114766,4.069542159956425,2,3.7123883685167987,1.6671370648401977
40,213.57819342897113,-184.40208144637737,-8.286666666666667,3.2795969127381177,3.8800005656552545,2,3.550456631106163,1.564820149448291,0-1-3,2.976252805200814,3.910549074006317,2,3.576872940897082,1.5806245679761926,1-3,2.4790049027893155,4.094271567779946,2,3.7498934342128916,1.6435811214474008
50,209.36224155195987,-181.3365910637216,-9.253333333333334,3.275864534844388,3.887161460061642,2,3.572320839574645,1.5324973199745775,0-1-3,2.9711602207741823,3.9204445161662687,2,3.601340828551171,1.549267388460924,1-3,2.470914381451288,4.110812834376383,2,3.781158524533812,1.6129545472885707
60,204.4691098771569,-179.39918795518247,-10.219999999999999,3.276899784934002,3.8850476772938447,2,3.5858184716653154,1.4951593035894606,0-1-3,2.9707306537405116,3.9211966217205423,2,3.617588159233674,1.5128908937411552,1-3,2.4673379779579916,4.118099758721862,2,3.804154144130722,1.5770722464358171
70,199.1979529127838,-178.73512002220826,-11.186666666666667,3.2827299874240086,3.873619863758589,2,3.589936875629072,1.4550890274837778,0-1-3,2.9750724675108295,3.912586765992506,2,3.6244308288882165,1.4737151583750414,1-3,2.4685611031172696,4.115494563055368,2,3.817263798479664,1.5381133220133358
80,193.8777862421449,-179.41095197190677,-12.153333333333332,3.2931598669810485,3.8533345376750243,2,3.584216250296726,1.4147723952452802,0-1-3,2.9840847964274646,3.8948713246261324,2,3.6212131145483384,1.434168126273222,1-3,2.4746732964704568,4.102830887051999,2,3.819389755435076,1.4984936382332377
90,188.84695090761693,-181.40882209372162,-13.12,3.3077636027384933,3.8251435721964224,2,3.568793696671455,1.3767479429850977,0-1-3,2.997444630280863,3.868797088080154,2,3.6078676311737388,1.39673979848298,1-3,2.4855468647371084,4.080460369393682,2,3.810046161340461,1.4607207380766678
100,184.43159938266083,-184.62601866080118,-14.086666666666666,3.325875778533342,3.7904811980278366,2,3.544415919363628,1.3434520844318298,0-1-3,3.0145899673536816,3.8356089687317936,2,3.5849495045232995,1.363830345400014,1-3,2.5008080266916775,4.049297196540322,2,3.7894327383358912,1.4272376492853118
110,180.9245709483822,-188.8799997078824,-15.053333333333333,3.3465862234485044,3.7512325550635364,2,3.5124175021029322,1.317068325140919,0-1-3,3.0347042975613863,3.7970416299069374,2,3.553639094365778,1.3376002116632255,1-3,2.5198058503727063,4.010848495264079,2,3.758479183692585,1.400264217107486
120,178.566023477062,-193.918630876674,-16.02,3.3687466565125437,3.7096753442743755,2,3.474662461535664,1.2993890634879641,0-1-3,3.0567112141328767,3.755283073461565,2,3.515707095982257,1.3198312684153772,1-3,2.541588776466967,3.9672126836695143,2,3.7188477093698746,1.3816469129204858
130,177.52709942491143,-199.4350754544338,-16.986666666666665,3.3909992988574627,3.6683853042674763,2,3.4334481319919603,1.2916983647456184,0-1-3,3.079290993566795,3.712896677924089,2,3.473436379809475,1.31180846786251,1-3,2.5649028168294046,3.921024907498201,2,3.6728803329652666,1.3727295381604603
140,177.89773052520042,-205.08646085833198,-17.953333333333333,3.411837905194252,3.63009823446278,2,3.3913727089573324,1.29468310438856,0-1-3,3.1009320513707506,3.672690277015046,2,3.429497302993138,1.3142306188959552,1-3,2.588227805060156,3.8753310912036523,2,3.6234803283315538,1.3742566633070934
150,179.6794380511461,-210.51518721101965,-18.92,3.429708274029989,3.5975271924683936,2,3.3511712517944146,1.3083780576332584,0-1-3,3.120027176081148,3.637528061803779,2,3.3867781079925203,1.3271565271785246,1-3,2.6098657000664813,3.8333821436432434,2,3.5739250454727203,1.3863182998668384
160,182.78367836360988,-215.37155390038254,-19.886666666666667,3.443146892323981,3.5731435753192,2,3.3155295480994225,1.332148199535064,0-1-3,3.1350155558001473,3.6100936951847564,2,3.348179419052678,1.3499892836036893,1-3,2.6280854686411286,3.7983576162613835,2,3.527619954422758,1.4083387512133712
170,187.03593564815498,-219.33627253327853,-20.85333333333333,3.4509434869324247,3.5589435570562498,2,3.2868902529429267,1.3647093857012105,0-1-3,3.144557067903965,3.5926290336576137,2,3.316390509593426,1.381498230675051,1-3,2.6413124155438785,3.7730500730983043,2,3.4878185445200427,1.4391068947820422
180,192.1853970946003,-222.14141778276445,-21.82,3.452299636420139,3.5562329958710204,2,3.267269642022893,1.4041873832353613,0-1-3,3.147709104015081,3.5866873822943512,2,3.293672248740255,1.4198765778009785,1-3,2.64833039872636,3.759560242132391,2,3.457344495262944,1.4768419872476481
190,197.9196836656784,-223.58844386451034,-22.786666666666665,3.446947827821006,3.565469109601503,2,3.2581043033531483,1.448214873557868,0-1-3,3.1440659322215048,3.5929466991869936,2,3.2816741068474564,1.4628332234556545,1-3,2.648451948469605,3.7590600090947706,2,3.4383558124371687,1.5192897877150073
200,203.88377550485382,-223.56206034768388,-23.753333333333334,3.435199595950836,3.5861915816447145,2,3.2601439458581916,1.4940654311453694,0-1-3,3.133823792896404,3.6111215134003247,2,3.281308161819117,1.5077185850555461,1-3,2.6416129071469765,3.771670081107052,2,3.4321827381767305,1.5638468123444054
210,209.70198697198498,-222.0390074367117,-24.72,3.417908637162895,3.617059015097395,2,3.2733997338168774,1.5388210101714022,0-1-3,3.1177533921192455,3.639992494787906,2,3.292692517764486,1.5516833908919865,1-3,2.6283674609350403,3.7964734676044456,2,3.439254645257136,1.6077121245116406
220,215.0016314058333,-219.0910831322771,-25.686666666666667,3.3963585517781905,3.65598392604055,2,3.297149423838696,1.5795645426341494,0-1-3,3.0970882468522345,3.6775459310866894,2,3.315163766746849,1.591864716268662,1-3,2.6097889890240467,3.8316538646430116,2,3.459112435251219,1.648063256894016
230,219.43688495889901,-214.88213368756394,-26.653333333333332,3.372104443774025,3.7003391372208125,2,3.3299938200735295,1.6135832450543632,0-1-3,3.073360179372602,3.7211917460261925,2,3.347347808227379,1.625586251617805,1-3,2.587308346243916,3.8747214888872166,2,3.4904891325393783,1.6822461865223128
240,222.71132199298967,-209.65910209754216,-27.62,3.346804911549083,3.7471976053775333,2,3.3699552424158807,1.6385638705466576,0-1-3,3.0482224588881763,3.768016381322585,2,3.38727330872654,1.6505535380302294,1-3,2.5625328563565137,3.9227764888666203,2,3.5314358697184436,1.7079625521862793
250,224.5976554090793,-203.73761265732443,-28.586666666666666,3.322075178762492,3.7935686229346928,2,3.414607615046963,1.6527606397109995,0-1-3,3.0232952145115535,3.815028386631529,2,3.4325121142868107,1.6650231758382994,1-3,2.537084275374827,3.9727633679172345,2,3.579472295428962,1.7234346125460063
260,224.953371505891,-197.48292819153153,-29.553333333333335,3.2993786904599967,3.8366031145603015,2,3.4612281829413063,1.6551202144456547,0-1-3,3.0000528045816166,3.859366490668291,2,3.4803338199812037,1.6679287187372005,1-3,2.5124784977413936,4.021684204940191,2,3.6317460785693876,1.7275312631212465
270,223.73119192148994,-191.2874269021482,-30.52,3.279960498786259,3.873754059570856,2,3.5069616128390932,1.645354296227628,0-1-3,2.979756957147935,3.8984559102696736,2,3.5278651611031213,1.6589532511169205,1-3,2.4900526654182027,4.066756586510315,2,3.6851922504432144,1.719845112560519
280,220.98361058757231,-185.54598717625024,-31.486666666666665,3.2648158564246224,3.9028901389923503,2,3.5489878687442014,1.6239570636412222,0-1-3,2.9634282007650294,3.9301129735687215,2,3.57224765959382,1.6385465033192244,1-3,2.470932785234206,4.105517956112574,2,3.7366878033520248,1.7007180684178633
290,216.86112220773592,-180.63082454269687,-32.45333333333333,3.254682831158246,3.922368931522507,2,3.584685829765925,1.5921700715841869,0-1-3,2.951842867897356,3.952607663205479,2,3.610788794668006,1.6078904252251294,1-3,2.456028806631241,4.135888417405061,2,3.7831999061735018,1.671218558763082
