config,min_gdop,median_gdop,max_gdop,mean_rank,pct_invertible
0-1,118632832.03031497,inf,inf,2.0,25.0
0-2,189948189.31380826,inf,inf,2.0,21.666666666666668
0-3,14109791.435207412,inf,inf,2.0,50.0
1-2,65901913.90013203,inf,inf,2.0,38.333333333333336
1-3,17611690.64395758,inf,inf,2.0,43.333333333333336
2-3,12570125.923955208,inf,inf,2.0,43.333333333333336
0-1-2,19.40458140267158,450.4693802111265,1070.2120218255134,3.0,100.0
0-1-3,2.254087654780175,11.015247993570142,77.05678652738395,3.0,100.0
0-2-3,1.6454950502557684,12.845924396323884,14.152015948612995,3.0,100.0
1-2-3,2.0450578708453038,30.137326253753685,66.29025231676883,3.0,100.0
0-1-2-3,1.6048759070506329,10.771994892408859,11.676924637318768,3.0,100.0
