config,observable_frac,median_gdop,p95_gdop,median_logdet,mean_sigma_x,mean_sigma_y,pct_invertible
0-1,1.0,5.190678192268013,5.444538861949013,1.9969994450579864,4.743760042293321,1.999507728156909,100.0
0-2,1.0,13.672485697672794,15.66891967158944,0.06518578115054607,12.496885362335048,5.433351558682106,100.0
0-3,1.0,17.65558070832355,20.13189607225484,-0.44730496972193157,16.17654517364323,7.088414191277455,100.0
1-2,1.0,8.362441554622537,8.907367301906469,1.0442848648525147,7.691476679701212,3.1778803503395636,100.0
1-3,1.0,4.006266636018177,4.201339322752093,2.5199931019539368,3.660717164717086,1.5575632209282722,100.0
2-3,1.0,7.696921954179792,8.083732879806867,1.211614066811035,6.995522507851929,3.052332214604084,100.0
0-1-2,1.0,5.136774629927593,5.377544873199363,2.4290490093206856,4.694518941435394,1.9835508681403264,100.0
0-1-3,1.0,3.825123739999806,4.00318871963493,3.017958374527524,3.4859297800643865,1.497039431458956,100.0
0-2-3,1.0,7.660648136584626,8.067426385359893,1.628341881068881,6.967147986460028,3.0440709962898205,100.0
1-2-3,1.0,4.004103333853196,4.197697471678147,2.9260489021424947,3.659509694039481,1.555540845454495,100.0
0-1-2-3,1.0,3.7920249104812647,3.9642444694007466,3.3239754786479168,3.456770793314436,1.4805866358903024,100.0
all_beacons,1.0,3.7920249104812647,3.9642444694007466,3.3239754786479168,3.456770793314436,1.4805866358903024,100.0
