k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
0,0-2,379840208.4833879,-39.6636176290777,2,0-1-3,9.641187991236475,-1.074790735095815,3
2,0-2,537148149.7731898,-40.33815357427953,2,0-1-3,9.775646405752076,-1.1396136400400998,3
4,1-2,536916278.4336923,-39.045500385512334,2,0-1-3,9.911697931283046,-1.2039510297486586,3
6,1-3,27232850.548909917,-31.433628899435888,2,0-1-3,10.049238607705878,-1.2677770868393634,3
8,0-3,24238581.978276785,-32.47337827465369,2,0-1-3,10.067091911128344,-1.2751044793168034,3
10,0-3,20876464.900246687,-32.17944384073143,2,0-1-3,10.084112489414865,-1.2821775743166368,3
12,0-3,33786855.07651463,-33.147015694592696,2,0-1-3,10.100266359111291,-1.2889823845571007,3
14,0-3,15007587.457291596,-31.52860839930878,2,0-1-3,10.115521960981898,-1.2955056764405306,3
16,2-3,16419768.117357777,-31.255602961526353,2,0-1-3,10.129850202921128,-1.3017349781761816,3
18,0-3,9586250.736387828,-30.641222013507683,2,0-1-3,10.14322449435501,-1.3076585855397305,3
20,2-3,13956947.896640444,-30.935309404054816,2,0-1-3,10.1556207725885,-1.3132655655197532,3
22,0-1,379662210.9002284,-37.55108240863677,2,0-1-3,10.167017521509502,-1.3185457580766538,3
24,0-3,15223127.451136138,-31.579197505787636,2,0-1-3,10.177395783166752,-1.3234897762626838,3
26,0-3,17714757.09918273,-31.886502884989394,2,0-1-3,10.186739162676448,-1.3280890049221181,3
28,2-3,109797930.75870916,-35.06812422106683,2,0-1-3,10.19503382693217,-1.332335598186682,3
30,0-3,13136744.616493793,-31.296475358546648,2,0-1-3,10.202268497646406,-1.3362224759889862,3
32,,inf,-inf,0,0-1-3,10.20843443917808,-1.3397433197840716,3
34,2-3,16454284.05153844,-31.275775821468102,2,0-1-3,10.213525441592644,-1.3428925676584194,3
36,0-3,9926798.235602967,-30.74707354240316,2,0-1-3,10.217537799478126,-1.3456654090218771,3
38,2-3,19836135.458158292,-31.6511924052721,2,0-1-3,10.220470286899936,-1.348057779025912,3
40,2-3,15687243.987213183,-31.182380033049522,2,0-1-3,10.222324128933412,-1.3500663528630321,3
42,2-3,18611725.304290116,-31.52457695022651,2,0-1-3,10.22310297016699,-1.3516885400806302,3
44,2-3,13818756.244574698,-30.929161654655488,2,0-1-3,10.222812840550748,-1.3529224790311583,3
46,1-3,78871137.92486589,-33.618031484333926,2,0-1-3,10.22146211891833,-1.3537670315606256,3
48,0-3,18648393.35100577,-32.02587399071817,2,0-1-3,10.219061494518979,-1.3542217780346824,3
50,0-3,18117711.085590173,-31.970489017965352,2,0-1-3,10.215623926808039,-1.354287012769066,3
52,0-3,13256157.978472488,-31.347802960253922,2,0-1-3,10.211164603773657,-1.3539637399362965,3
54,2-3,16796641.521955974,-31.31710142225521,2,0-1-3,10.205700899009194,-1.3532536699942996,3
