k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
0,220.0,-230.0,-5.0,3.4300676058958137,3.598953951598118,2,3.2149991407951766,1.61748263372748,0-1-3,3.13284411300331,3.6161662862391846,2,3.2290333079874833,1.627882829211091,1-3,2.6504206482656203,3.7580229861865644,2,3.360757092575225,1.6816802696743234
2,220.0,-220.0,-5.0,3.3939418973977933,3.6645594035798545,2,3.2887302111909005,1.6165547378192286,0-1-3,3.0957147439931987,3.6839336478238036,2,3.304734447515101,1.627911961064067,1-3,2.6106790290421618,3.833452590778484,2,3.443911135116504,1.6836967836183645
4,220.0,-210.0,-5.0,3.3582226410113196,3.730602171080635,2,3.362565523861487,1.615718309795885,0-1-3,3.058982472181552,3.752225533230981,2,3.380635572705017,1.6280354961707506,1-3,2.571383001352893,3.909524670784646,2,3.5273968775745748,1.6857800626270714
6,220.0,-200.0,-5.0,3.3229122387159897,3.797058502038739,2,3.436501100431687,1.6149654654624896,0-1-3,3.022652991399324,3.8210134292894193,2,3.4567279206806534,1.628243135774536,1-3,2.532537982837235,3.9862069565645375,2,3.6112010999251316,1.6879195823447966
8,220.01468861038458,-198.99310386367742,-5.193333333333333,3.3193458128012727,3.8038287147139664,2,3.443959680311012,1.6150091675512483,0-1-3,3.0189877952209643,3.8280179585800838,2,3.4644039495256975,1.6283816400716327,1-3,2.528635072206088,3.9939939661134316,2,3.619641788188158,1.688247945816175
10,219.9786164209845,-197.9847367657876,-5.386666666666667,3.315872365312,3.810433326315604,2,3.451414872294237,1.6146632818029756,0-1-3,3.0154042305648625,3.8348782600771236,2,3.472096695116798,1.62813875617871,1-3,2.5247875400583935,4.001684776772274,2,3.628149208185632,1.68819855935045
12,219.89167310412682,-196.97746114689036,-5.58,3.3124998700517576,3.816856217536695,2,3.4588480341932417,1.6139274028611306,0-1-3,3.0119104153662093,3.8415779229079767,2,3.4797872909421677,1.6275138548016523,1-3,2.521004055365295,4.009261401272503,2,3.636703007124987,1.6877701922067558
14,219.75387785606642,-195.97384679282956,-5.773333333333333,3.309236000563834,3.823081764637767,2,3.4662405347564396,1.612802137373712,0-1-3,3.0085141817979295,3.8481009956892627,2,3.4874568504071704,1.6265072977311834,1-3,2.5172930469611323,4.0167062117157,2,3.6452827095738547,1.6869625836151165
16,219.56537985479835,-194.97646427926992,-5.966666666666667,3.306088121852796,3.8290948676038914,2,3.4735737980968038,1.6112891032604315,0-1-3,3.0052230687052077,3.8544320126629814,2,3.4950865088762395,1.6251204372945736,1-3,2.513662695128244,4.024001966307121,2,3.6538677594151827,1.6857764447131907
18,219.32645838567205,-193.9878783888808,-6.16,3.303063283268819,3.8348809763831637,2,3.4808293479408716,1.6093909262634156,0-1-3,3.0020443152646274,3.860556017867531,2,3.502657465461628,1.6233556131480038,1-3,2.5101209244682954,4.0311318341968745,2,3.662437561607463,1.6842134579685077
20,219.03752263322056,-193.0106415180208,-6.3533333333333335,3.3001682124567973,3.8404261152734462,2,3.487988851615955,1.6071112338220728,0-1-3,2.9989848557530845,3.8664585874482644,2,3.5101510245148004,1.6212161464623165,1-3,2.5066753979405165,4.0380794185570945,2,3.6709715237363394,1.6822762741272024
22,218.69911113847448,-192.04728708986804,-6.546666666666667,3.297409310275995,3.8457169055217504,2,3.4950341636859155,1.6044546463157137,0-1-3,2.996051315322212,3.8721258501968165,2,3.5175486367578888,1.6187063315515688,1-3,2.5033335119485587,4.044828778024092,2,3.6794490973403575,1.6799685067325216
24,218.31189092189132,-191.100322990987,-6.74,3.2947926465892925,3.8507405862187603,2,3.5019473691589047,1.6014267657290575,0-1-3,2.9932500066597694,3.877544506441407,2,3.5248319400194927,1.6158314250107757,1-3,2.5001023923622805,4.051364446629421,2,3.687849818986029,1.6772947242561833
26,217.87665627289482,-190.172225048325,-6.933333333333334,3.2923239568259137,3.8554850335676267,2,3.5087108261853044,1.5980341617981764,0-1-3,2.99058692743216,3.8827018453917175,2,3.531982799520372,1.6125976324243085,1-3,2.4969888913511236,4.057671452367762,2,3.6961533510873705,1.6742604398975391
28,217.3943272078835,-189.2654305635911,-7.126666666666667,3.2900086392272683,3.8599387786011756,2,3.515307208158538,1.5942843556962358,0-1-3,2.988067758402286,3.887585761047929,2,3.5389833476592893,1.6090120927118152,1-3,2.493999584917252,4.063735334531374,2,3.7043395224478144,1.6708720990997221
30,216.8659475994302,-188.38233192188403,-7.32,3.287851752677115,3.8640910234442405,2,3.5217195451520564,1.5901858013315142,0-1-3,2.98569786211044,3.892184766802466,2,3.545816023266906,1.6050828601891027,1-3,2.4911407710114766,4.069542159956425,2,3.7123883685167987,1.6671370648401977
32,216.29268298025357,-187.5252702913067,-7.513333333333334,3.2858580150292793,3.8679316562012453,2,3.5279312646118925,1.5857478643269998,0-1-3,2.9834822820209856,3.8964880088401315,2,3.552463610276225,1.6008188844145173,1-3,2.4884184681186303,4.075078538324545,2,3.720280171352724,1.6630636007540596
34,215.67581802639538,-186.69652943013222,-7.706666666666667,3.2840318018529944,3.8714512645423955,2,3.533926231220041,1.5809807987517845,0-1-3,2.9814257420408388,3.900485278442154,2,3.5589092757602065,1.5962299878939525,1-3,2.485838414209958,4.080331636646039,2,3.7279954992706,1.6586608521432868
36,215.01675372488108,-185.89832961786902,-7.9,3.282377145501015,3.874641148097163,2,3.5396887858791417,1.5758957216926344,0-1-3,2.979532646305392,3.9041670233260244,2,3.5651366073143564,1.591326841730971,1-3,2.4834060659507973,4.085289193075233,2,3.7355152461773766,1.6539388249369014
38,214.31700423197628,-185.1328217263136,-8.093333333333334,3.28089773443615,3.8774933297111627,2,3.545203783724791,1.5705045857360571,0-1-3,2.9778070791530036,3.9075243581091508,2,3.5711296497260676,1.5861209392929982,1-3,2.4811265980690465,4.089939530178331,2,3.7428206705740417,1.6489083626566485
40,213.57819342897113,-184.40208144637737,-8.286666666666667,3.2795969127381177,3.8800005656552545,2,3.550456631106163,1.564820149448291,0-1-3,2.976252805200814,3.910549074006317,2,3.576872940897082,1.5806245679761926,1-3,2.4790049027893155,4.094271567779946,2,3.7498934342128916,1.6435811214474008
42,212.80205118323173,-183.70810368612925,-8.48,3.278477679719858,3.882156354867699,2,3.5554333214735756,1.5588559459408164,0-1-3,2.974873269444795,3.9132336478563086,2,3.582351546977347,1.5748507791482336,1-3,2.4770455892398733,4.098274835514161,2,3.75671564040283,1.63796954323375
44,211.99040932304626,-183.05279715511125,-8.673333333333334,3.277542689598949,3.8839549472839843,2,3.560120470093479,1.5526262496019845,0-1-3,2.973671597311051,3.9155712505699958,2,3.5875510966714974,1.5688133563497657,1-3,2.475252982751786,4.101939485184859,2,3.7632698719413122,1.632086827058366
46,211.14519733556313,-182.4379791495581,-8.866666666666667,3.2767942511602013,3.8853913513329474,2,3.564505347539637,1.5461460410886791,0-1-3,2.9726505945940964,3.917555755079657,2,3.5924578146739825,1.5625267818330593,1-3,2.4736311239695907,4.105256303043427,2,3.769539228660281,1.6259468986621421
48,210.2684377978664,-181.8653705526871,-9.059999999999999,3.2762343273633636,3.8864613406484536,2,3.568575911889275,1.539430970663707,0-1-3,2.9718127472182787,3.9191817438727288,2,3.597058554198679,1.5560062015208653,1-3,2.472183767702968,4.1082167220742924,2,3.7755073645631234,1.6195643783624232
50,209.36224155195987,-181.3365910637216,-9.253333333333334,3.275864534844388,3.887161460061642,2,3.572320839574645,1.5324973199745775,0-1-3,2.9711602207741823,3.9204445161662687,2,3.601340828551171,1.549267388460924,1-3,2.470914381451288,4.110812834376383,2,3.781158524533812,1.6129545472885707
52,208.4288026351298,-180.8531546687704,-9.446666666666665,3.275686143277773,3.887489030906388,2,3.5757295548184596,1.525361962360171,0-1-3,2.970694859777895,3.9213400947897585,2,3.6052928417096153,1.5423267048596276,1-3,2.4698261435410247,4.113037403713975,2,3.7864775805924737,1.6061333120325882
54,207.47039297782973,-180.4164653661094,-9.64,3.2757000745640843,3.8874421556820247,2,3.578792257600029,1.518042321780192,0-1-3,2.970418186614036,3.921865232821674,2,3.6089035178673443,1.5352010627732475,1-3,2.4689219408248944,4.114883878294076,2,3.7914500676633645,1.599117167771008
56,206.4893568818739,-180.02781315780177,-9.833333333333332,3.275906901807719,3.8870197221198715,2,3.5814999501095657,1.510556330467031,0-1-3,2.9703314001268137,3.922017420021568,2,3.612162529894788,1.527907883537721,1-3,2.4682043658919834,4.116346403827941,2,3.796062218828604,1.5919231599198722
58,205.48810529233944,-179.68837031894793,-10.026666666666667,3.2763068480800133,3.8862214066461185,2,3.5838444616069407,1.5029223853824896,0-1-3,2.970435373834017,3.9217948890815766,2,3.6150603266698913,1.520465056015347,1-3,2.4676757137522567,4.117419836906473,2,3.8003010000224755,1.5845688443797898
60,204.4691098771569,-179.39918795518247,-10.219999999999999,3.276899784934002,3.8850476772938447,2,3.5858184716653154,1.4951593035894606,0-1-3,2.9707306537405116,3.9211966217205423,2,3.617588159233674,1.5128908937411552,1-3,2.4673379779579916,4.118099758721862,2,3.804154144130722,1.5770722464358171
62,203.43489692891595,-179.16119285832983,-10.413333333333334,3.2776852306756075,3.883499796046421,2,3.587415531724049,1.4872862766252009,0-1-3,2.9712174557350157,3.9202223546326387,2,3.619738105725476,1.5052040910522446,1-3,2.467192846143238,4.118382489130303,2,3.807610184432075,1.5694518183697925
64,202.38804110392286,-178.9751846693966,-10.606666666666666,3.2786623483865958,3.881579820617158,2,3.5886300849051014,1.4793228239760021,0-1-3,2.9718956625731408,3.9188725852672945,2,3.6215030950284057,1.4974236782752062,1-3,2.467241694954221,4.118265101068249,2,3.8106584873428564,1.5617263958576502
66,201.33115901402144,-178.84183335732064,-10.8,3.279829943696327,3.8792906056711702,2,3.5894574840573563,1.471288745757687,0-1-3,2.972764820431933,3.9171485774548596,2,3.622876929098673,1.4895689760669697,1-3,2.467485584365668,4.117745435289839,2,3.813289284391716,1.5539151532157798
