config,min_gdop,median_gdop,max_gdop,mean_rank,pct_invertible
0-1,33745020.49380352,inf,inf,2.0,28.333333333333332
0-2,18892703.900873728,inf,inf,2.0,41.66666666666667
0-3,8803828.238098616,inf,inf,2.0,48.333333333333336
1-2,33853276.91097856,inf,inf,2.0,25.0
1-3,14011405.607467826,inf,inf,2.0,46.666666666666664
2-3,10384832.222640796,inf,inf,2.0,46.0
0-1-2,49.014763380147,92.68625801778936,567.6717581488402,3.0,100.0
0-1-3,9.507702016592706,10.22189312392587,11.555087898884675,3.0,100.0
0-2-3,16.226674223840252,19.372571766671747,26.136521643051868,3.0,100.0
1-2-3,12.661646237539744,14.242883302716391,15.476351521913848,3.0,100.0
0-1-2-3,8.959153163218843,9.593030665087106,10.35716282645886,3.0,100.0
