config,observable_frac,median_gdop,p95_gdop,median_logdet,mean_sigma_x,mean_sigma_y,pct_invertible
0-1,1.0,5.190678192268013,5.4478330182893115,1.999006031848635,4.746900502421216,1.9959975873346911,100.0
0-2,1.0,13.548700370851485,15.723486040354933,0.07630608033820918,12.481263394862996,5.413070977100694,100.0
0-3,1.0,17.672644221383646,20.148822637231454,-0.44931228741543805,16.22470532337257,7.092962853097891,100.0
1-2,1.0,8.378278059193624,8.974264704004655,1.0440966525327546,7.705180660961293,3.175777377443678,100.0
1-3,1.0,4.0114857302163465,4.2055016584670915,2.517279078641344,3.6650781059541973,1.555659761672574,100.0
2-3,1.0,7.698244146825665,8.083732879806867,1.211876443580436,7.000107078101146,3.0469339450667925,100.0
0-1-2,1.0,5.142823427090426,5.3832948300079195,2.4236133951717314,4.698183028549886,1.9802858278571724,100.0
0-1-3,1.0,3.828139978066216,4.00318871963493,3.0154451326535474,3.4896362732986117,1.495045580860824,100.0
0-2-3,1.0,7.659315239739145,8.073021925390892,1.6263357611019706,6.971177514846547,3.038521475854897,100.0
1-2-3,1.0,4.009808020663563,4.20202162006897,2.9229900198921475,3.6638448044077845,1.5536119631335013,100.0
0-1-2-3,1.0,3.7960850670122817,3.9681467962621104,3.3206793240404098,3.4602384407658944,1.4785046196842693,100.0
all_beacons,1.0,3.7960850670122817,3.9681467962621104,3.3206793240404098,3.4602384407658944,1.4785046196842693,100.0
