k,best2_cfg,best2_gdop,best2_logdet,best2_rank,best3_cfg,best3_gdop,best3_logdet,best3_rank
0,0-2,379840208.4833879,-39.6636176290777,2,0-1-3,9.641187991236475,-1.074790735095815,3
5,0-1,536903326.8475466,-38.21179217006636,2,0-1-3,9.980288267854473,-1.2359294101201508,3
10,0-3,20876464.900246687,-32.17944384073143,2,0-1-3,10.084112489414865,-1.2821775743166368,3
15,0-3,17706969.8297828,-31.861704365520986,2,0-1-3,10.122803722831458,-1.298657825633474,3
20,2-3,13956947.896640444,-30.935309404054816,2,0-1-3,10.1556207725885,-1.3132655655197532,3
25,0-3,9963281.886552522,-30.733462726779607,2,0-1-3,10.18219775774552,-1.3258329976435217,3
30,0-3,13136744.616493793,-31.296475358546648,2,0-1-3,10.202268497646406,-1.3362224759889862,3
35,1-3,20482348.550686568,-30.911103665245413,2,0-1-3,10.21566658551666,-1.3443263106186025,3
40,2-3,15687243.987213183,-31.182380033049522,2,0-1-3,10.222324128933412,-1.3500663528630321,3
45,1-3,38424191.582167484,-32.17903991907456,2,0-1-3,10.222269439343204,-1.3533934716095564,3
50,0-3,18117711.085590173,-31.970489017965352,2,0-1-3,10.215623926808039,-1.354287012769066,3
55,1-3,21209125.975465726,-30.995844303450312,2,0-1-3,10.202598419547549,-1.3527543129974902,3
60,1-3,38515729.58425708,-32.19002105003928,2,0-1-3,10.183489084354054,-1.3488303171607199,3
65,0-3,20704008.253113817,-32.248870109122144,2,0-1-3,10.158673077153278,-1.342577327440491,3
70,2-3,21009842.98439529,-31.750948481970767,2,0-1-3,10.128604005368288,-1.3340848905315021,3
75,0-3,21307548.889924966,-32.30764293426015,2,0-1-3,10.093807237242657,-1.3234698080503966,3
80,1-3,90911654.18986052,-33.899221779517276,2,0-1-3,10.054875048894578,-1.3108762338269377,3
85,0-3,19658538.32758146,-32.14269397228526,2,0-1-3,10.012461558800224,-1.2964758001410441,3
90,2-3,24558532.89149042,-32.03057959862629,2,0-1-3,9.967277361965502,-1.28046769310592,3
95,2-3,23692785.128541335,-31.948577598713353,2,0-1-3,9.920083743181053,-1.2630785756463987,3
