k,x,y,z,logdet_all_xy,gdop_all_xy,rank_all_xy,sigma_x_all,sigma_y_all,best3_cfg,logdet_best3_xy,gdop_best3_xy,rank_best3_xy,sigma_x_best3,sigma_y_best3,best2_cfg,logdet_best2_xy,gdop_best2_xy,rank_best2_xy,sigma_x_best2,sigma_y_best2
0,220.0,-230.0,-5.0,3.4300676058958137,3.598953951598118,2,3.2149991407951766,1.61748263372748,0-1-3,3.13284411300331,3.6161662862391846,2,3.2290333079874833,1.627882829211091,1-3,2.6504206482656203,3.7580229861865644,2,3.360757092575225,1.6816802696743234
5,220.0,-205.0,-5.0,3.340516236534551,3.763780060889223,2,3.399521023562714,1.6153319030782503,0-1-3,3.040767098237593,3.786559182522183,2,3.4186583755184263,1.6281294034077203,1-3,2.551903853616807,3.9477914697453285,2,3.569259982413649,1.6868434030859236
10,219.9786164209845,-197.9847367657876,-5.386666666666667,3.315872365312,3.810433326315604,2,3.451414872294237,1.6146632818029756,0-1-3,3.0154042305648625,3.8348782600771236,2,3.472096695116798,1.62813875617871,1-3,2.5247875400583935,4.001684776772274,2,3.628149208185632,1.68819855935045
15,219.66595229283314,-195.4742160440415,-5.87,3.3076471143027577,3.8261157942004345,2,3.4699157286982896,1.6120939508484728,0-1-3,3.00685502565348,3.85129145811865,2,3.4912778443038794,1.6258612822902618,1-3,2.5154672876178616,4.020373782831307,2,3.6495758528363007,1.6864167480405015
20,219.03752263322056,-193.0106415180208,-6.3533333333333335,3.3001682124567973,3.8404261152734462,2,3.487988851615955,1.6071112338220728,0-1-3,2.9989848557530845,3.8664585874482644,2,3.5101510245148004,1.6212161464623165,1-3,2.5066753979405165,4.0380794185570945,2,3.6709715237363394,1.6822762741272024
25,218.10022082682002,-190.63376244053407,-6.836666666666667,3.2935394596463983,3.8531484464168195,2,3.50534890701802,1.5997756061997954,0-1-3,2.99190082587359,3.8801566115552486,2,3.528425048689722,1.6142589649665393,1-3,2.498530522037375,4.054547448330057,2,3.6920149988024256,1.6758222636597555
30,216.8659475994302,-188.38233192188403,-7.32,3.287851752677115,3.8640910234442405,2,3.5217195451520564,1.5901858013315142,0-1-3,2.98569786211044,3.892184766802466,2,3.545816023266906,1.6050828601891027,1-3,2.4911407710114766,4.069542159956425,2,3.7123883685167987,1.6671370648401977
35,215.35146877282966,-186.2934757682031,-7.803333333333333,3.2831827904784996,3.8730879375654275,2,3.536837519088386,1.5784772838668062,0-1-3,2.9804585008768205,3.9023661625576964,2,3.56205124161928,1.593816996632244,1-3,2.4846034468392384,4.082848101285878,2,3.7317810006936325,1.6563390899920611
40,213.57819342897113,-184.40208144637737,-8.286666666666667,3.2795969127381177,3.8800005656552545,2,3.550456631106163,1.564820149448291,0-1-3,2.976252805200814,3.910549074006317,2,3.576872940897082,1.5806245679761926,1-3,2.4790049027893155,4.094271567779946,2,3.7498934342128916,1.6435811214474008
45,211.57187531062453,-182.740217214711,-8.77,3.277145020623907,3.8847187050102105,2,3.5623514618149175,1.5494164964790227,0-1-3,2.973138349404416,3.916607995409993,2,3.5900418964133336,1.5657002815693812,1-3,2.4744204685070494,4.10364192383138,2,3.7664411946987566,1.6290481165093664
50,209.36224155195987,-181.3365910637216,-9.253333333333334,3.275864534844388,3.887161460061642,2,3.572320839574645,1.5324973199745775,0-1-3,2.9711602207741823,3.9204445161662687,2,3.601340828551171,1.549267388460924,1-3,2.470914381451288,4.110812834376383,2,3.781158524533812,1.6129545472885707
55,206.98255404409227,-180.2160585569677,-9.736666666666666,3.2757793540291438,3.8872779224384924,2,3.580191010475029,1.51431898052937,0-1-3,2.970350995292474,3.921988073217088,2,3.6105775973426026,1.5315743077059005,1-3,2.468539674430561,4.115663472974574,2,3.793802017441592,1.5955413110393721
60,204.4691098771569,-179.39918795518247,-10.219999999999999,3.276899784934002,3.8850476772938447,2,3.5858184716653154,1.4951593035894606,0-1-3,2.9707306537405116,3.9211966217205423,2,3.617588159233674,1.5128908937411552,1-3,2.4673379779579916,4.118099758721862,2,3.804154144130722,1.5770722464358171
65,201.86068834294474,-178.9018901583476,-10.703333333333333,3.2792224250180713,3.880481158515732,2,3.5890924331903866,1.4753133659026847,0-1-3,2.9723064142390534,3.918057252091198,2,3.6222392591588597,1.4935043957326357,1-3,2.4673392058744974,4.1180556574446,2,3.812026649978652,1.5578302916762188
70,199.1979529127838,-178.73512002220826,-11.186666666666667,3.2827299874240086,3.873619863758589,2,3.589936875629072,1.4550890274837778,0-1-3,2.9750724675108295,3.912586765992506,2,3.6244308288882165,1.4737151583750414,1-3,2.4685611031172696,4.115494563055368,2,3.817263798479664,1.5381133220133358
75,196.5228174081334,-178.90465451283578,-11.67,3.2873910683167615,3.8645364275784497,2,3.58831217276893,1.4348022688994908,0-1-3,2.979009611878828,3.9048322070842434,2,3.6240980597721606,1.4538321150112425,1-3,2.471008645834841,4.110410752923836,2,3.8197454250964196,1.5182297076552262
80,193.8777862421449,-179.41095197190677,-12.153333333333332,3.2931598669810485,3.8533345376750243,2,3.584216250296726,1.4147723952452802,0-1-3,2.9840847964274646,3.8948713246261324,2,3.6212131145483384,1.434168126273222,1-3,2.4746732964704568,4.102830887051999,2,3.819389755435076,1.4984936382332377
85,191.30527911729916,-180.24909549484062,-12.636666666666667,3.299975880045146,3.8401486658546067,2,3.5776852532355283,1.3953171699101072,0-1-3,2.990250592935987,3.8828129299788694,2,3.615786439100307,1.4150352207734664,1-3,2.4795321302327165,4.0928154951770175,2,3.816155929563826,1.4792202671731973
90,188.84695090761693,-181.40882209372162,-13.12,3.3077636027384933,3.8251435721964224,2,3.568793696671455,1.3767479429850977,0-1-3,2.997444630280863,3.868797088080154,2,3.6078676311737388,1.39673979848298,1-3,2.4855468647371084,4.080460369393682,2,3.810046161340461,1.4607207380766678
95,186.54301762689252,-182.87463794806445,-13.603333333333333,3.3164322820327112,3.8085135286891076,2,3.5576540764622218,1.3593648408134194,0-1-3,3.00558903889832,3.852995068915382,2,3.5975458195504735,1.3795778620002423,1-3,2.492662841553728,4.065897753599274,2,3.8011074486246845,1.4432971650819404
100,184.43159938266083,-184.62601866080118,-14.086666666666666,3.325875778533342,3.7904811980278366,2,3.544415919363628,1.3434520844318298,0-1-3,3.0145899673536816,3.8356089687317936,2,3.5849495045232995,1.363830345400014,1-3,2.5008080266916775,4.049297196540322,2,3.7894327383358912,1.4272376492853118
105,182.54809103772058,-186.63769205667256,-14.57,3.3359726055007832,3.771296095202077,2,3.529264255638357,1.329273505174863,0-1-3,3.0243372474385706,3.8168708985613535,2,3.57024580944786,1.3497586141249658,1-3,2.5098921160474426,4.030865914503002,2,3.7751614409207535,1.4128114225498247
110,180.9245709483822,-188.8799997078824,-15.053333333333333,3.3465862234485044,3.7512325550635364,2,3.5124175021029322,1.317068325140919,0-1-3,3.0347042975613863,3.7970416299069374,2,3.553639094365778,1.3376002116632255,1-3,2.5198058503727063,4.010848495264079,2,3.758479183692585,1.400264217107486
115,179.589257625425,-191.31933206955085,-15.536666666666667,3.3575656761047443,3.7305871294844324,2,3.494124750113812,1.3070472682030245,0-1-3,3.04554836501719,3.776408585985387,2,3.535368887132823,1.3275649288066385,1-3,2.5304206606439528,3.9895257696240467,2,3.739616693610385,1.389813962861532
120,178.566023477062,-193.918630876674,-16.02,3.3687466565125437,3.7096753442743755,2,3.474662461535664,1.2993890634879641,0-1-3,3.0567112141328767,3.755283073461565,2,3.515707095982257,1.3198312684153772,1-3,2.541588776466967,3.9672126836695143,2,3.7188477093698746,1.3816469129204858
125,177.87397395276548,-196.63795131547747,-16.503333333333334,3.3799530887108435,3.6888277601107244,2,3.4543305867145886,1.2942373976406152,0-1-3,3.0680203669527546,3.7339966659333164,2,3.494954480863617,1.3145433723892301,1-3,2.553143934418551,3.944255026601259,2,3.696485841932505,1.3759142906670596
130,177.52709942491143,-199.4350754544338,-16.986666666666665,3.3909992988574627,3.6683853042674763,2,3.4334481319919603,1.2916983647456184,0-1-3,3.079290993566795,3.712896677924089,2,3.473436379809475,1.31180846786251,1-3,2.5649028168294046,3.921024907498201,2,3.6728803329652666,1.3727295381604603
135,177.53400603656223,-202.26616752134044,-17.47,3.4016928279306615,3.648693871672492,2,3.412348220547424,1.291838453873869,0-1-3,3.0903285280327646,3.692340707544231,2,3.451497711220227,1.3116948768786778,1-3,2.5766673313204733,3.897914930574134,2,3.648410702399443,1.3721662263042171
140,177.89773052520042,-205.08646085833198,-17.953333333333333,3.411837905194252,3.63009823446278,2,3.3913727089573324,1.29468310438856,0-1-3,3.1009320513707506,3.672690277015046,2,3.429497302993138,1.3142306188959552,1-3,2.588227805060156,3.8753310912036523,2,3.6234803283315538,1.3742566633070934
145,178.61564272264474,-207.8509657899155,-18.436666666666667,3.4212395573109733,3.61293534768713,2,3.3708664423100925,1.3002158492630451,0-1-3,3.1108984348429973,3.654303661201502,2,3.407801633744217,1.3194026198704267,1-3,2.5993671142505566,3.85368450098587,2,3.5985090622140636,1.37899121182913
