config,observable_frac,median_gdop,p95_gdop,median_logdet,mean_sigma_x,mean_sigma_y,pct_invertible
0-1,1.0,5.190969836358286,5.444538861949013,1.9969994450579864,4.745904121614782,1.997306642309612,100.0
0-2,1.0,13.591224178719546,15.696855685739578,0.07171642200253991,12.487069108441135,5.420352771404976,100.0
0-3,1.0,17.65558070832355,20.13189607225484,-0.44730496972193157,16.207732575674285,7.0915270158987616,100.0
1-2,1.0,8.374189978037133,8.95147060520161,1.0442848648525147,7.700463202641472,3.1766276871043795,100.0
1-3,1.0,4.010558701408227,4.201339322752093,2.5177071850315778,3.663615370060257,1.556386084331015,100.0
2-3,1.0,7.698548175025442,8.083732879806867,1.209758099171731,6.998658290107135,3.0489446028119516,100.0
0-1-2,1.0,5.138443667943024,5.380368099081245,2.4262668048364007,4.697001737771772,1.981509552504772,100.0
0-1-3,1.0,3.8258745793192386,4.00318871963493,3.0166250258871403,3.488404454527468,1.4958016578985063,100.0
0-2-3,1.0,7.660648136584626,8.067426385359893,1.626627304129229,6.969937720984194,3.0405899681884554,100.0
1-2-3,1.0,4.006296344868529,4.1991345350693035,2.9239762939138925,3.6623918685753662,1.5543475663071693,100.0
0-1-2-3,1.0,3.791717742880334,3.9642444694007466,3.3216760595412516,3.459092537158449,1.4792919210650382,100.0
all_beacons,1.0,3.791717742880334,3.9642444694007466,3.3216760595412516,3.459092537158449,1.4792919210650382,100.0
