t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,221.42163622133697,-230.87493763746923,-4.989529146530867,1.7009270804444414,1.000100000226,1.000100000226,0.0008991908091909919,3.0688621766184827,3.248731533909061,nan,0.5554463899981493,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,221.42261747517415,-230.8769278676896,-4.990190560192173,1.705183869457597,1.0004000022520003,1.0004000022520003,0.0004735409575651038,3.3744239283239237,3.709078762745913,nan,0.0181411049840681,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,221.4237149888008,-230.87883751279082,-4.98575742343975,1.709402116443109,1.0009000078780008,1.0009000078780008,0.0003818007133781436,3.2953164271410715,3.4807705104957893,nan,0.2270374152011975,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,221.42492750695504,-230.88066745547002,-4.975628846539624,1.713611667919154,1.0016000189040017,1.0016000189040017,0.0003696447579891272,2.960592293242874,3.1304891232986103,nan,0.5674118351612643,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,221.41644976763942,-230.88553030763845,-4.96723671987688,1.711227948335414,1.0004210192959389,1.0004210192959389,0.00018650104280495752,3.005716777647874,4.77289044950671,0.0768911249278856,0.34902491408094766,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,221.41592753568682,-230.88782576566555,-4.95902092965111,1.7141939290894348,1.0006062562220204,1.0006062562220204,0.0001600453457805855,3.6736230195402246,5.389826431819415,nan,1.0072952035034413,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,221.41551658929555,-230.89004385990955,-4.956338576674857,1.71715059786173,1.000825175036997,1.000825175036997,0.00014278394954470426,4.0350969538477806,5.615513809320216,nan,0.00418972008116032,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,221.4152157139256,-230.89218534290885,-4.95018719651772,1.7201510211892868,1.0010777775408688,1.0010777775408688,0.00013139077442721672,5.328599402626663,6.765435887327751,nan,0.6791396328565268,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,221.4150238768013,-230.8942510040197,-4.946557364564797,1.7231325734644676,1.001364065533636,1.001364065533636,0.00012394413095737447,6.333587326015534,7.607448167965774,nan,0.08991858596657233,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,221.4262690494156,-230.88288743240255,-4.943275572736681,1.7284693466600525,1.0009194577431317,1.0009194577431317,0.00010575720704646528,7.972937498433173,9.427329539500253,0.7210237376242031,0.8222868752687854,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,221.42742511293497,-230.8834683103712,-4.945664708325516,1.7315959602542443,1.0011125240664216,1.0011125240664216,0.00010082061909701703,6.938586537315796,8.258361190563145,nan,1.3666417836212186,nan
