t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.33930742684268,-229.58320091762215,-4.939387482011901,0.7505062578442437,1.000100000226,1.000100000226,0.0008991908091909919,2.130374381527356,2.228375231054974,nan,0.18679411863861703,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.34196943655814,-229.58217311959703,-4.97748125987513,0.74549464119289,1.0004000022520003,1.0004000022520003,0.0004735409575651038,0.5655711180459718,1.250299047218573,nan,2.561799517163629,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.34474766455438,-229.58106480339177,-4.978294099490248,0.7414331613329469,1.0009000078780008,1.0009000078780008,0.0003818007133781436,0.6026885847886234,1.184671165397708,nan,0.06795058555253239,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.3476409233698,-229.57987678102432,-4.976806930903165,0.7373589148126565,1.0016000189040017,1.0016000189040017,0.0003696447579891272,0.5962013318851048,1.070486851833256,nan,0.13289992743660733,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.31583498696355,-229.5745617045517,-4.9810367239071125,0.7651123750165806,1.0004210192959389,1.0004210192959389,0.00018650104280495752,1.118004589101721,1.6823620668398949,0.8203436197180476,2.3732692741886465,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.31199139123092,-229.5724072006251,-4.977439431258597,0.7673736175488763,1.0006062562220204,1.0006062562220204,0.0001600453457805855,0.9453134812369872,1.4582965456170656,nan,0.2708129337884616,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.30825896667827,-229.5701754594918,-4.977796880631604,0.7696770581276108,1.000825175036997,1.000825175036997,0.00014278394954470426,1.1576414197271503,1.629207306277011,nan,0.02728457857764988,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.30463668786734,-229.56786741264722,-4.980135838984832,0.772010138045813,1.0010777775408688,1.0010777775408688,0.00013139077442721672,1.744860946377718,2.1744084238709025,nan,0.32420977349172864,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.30112334417413,-229.56548370910548,-4.982056156056632,0.7743599393301314,1.001364065533636,1.001364065533636,0.00012394413095737447,2.4296256058419905,2.8236628183146935,nan,0.21404551363168992,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.30555217174734,-229.5845357478123,-4.979380453449128,0.759075251467445,1.0009194577431317,1.0009194577431317,0.00010575720704646528,2.207042708958734,3.1696031408234977,0.6926195446156203,0.4062503453821354,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.30303670486978,-229.58415416263767,-4.978234210036056,0.7596671069564229,1.0011125240664216,1.0011125240664216,0.00010082061909701703,2.1582159819364515,3.0618430835257646,nan,0.10854910682497063,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.30062685530083,-229.58369925993827,-4.975495899720539,0.7602232177422596,1.0013239831434297,1.0013239831434297,9.737318504631894e-05,1.6930247553680988,2.5607223587814243,nan,0.6779022056773956,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,219.29832162475807,-229.5831718689905,-4.973313107168353,0.7608084906634749,1.0015538367741565,1.0015538367741565,9.503645973481442e-05,1.3689977864330025,2.213173057344017,nan,0.45610005911643625,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,219.29611980784486,-229.58257269393684,-4.96577304827917,0.7613788030057086,1.0018020867586022,1.0018020867586022,9.352199794679087e-05,0.6013417400754901,1.4410949507864181,nan,5.357012167025169,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,219.28924669137157,-229.59842221074217,-4.9631429861730005,0.7585296722672948,1.001422791622841,1.001422791622841,8.338281980149539e-05,0.5853666680187073,2.9670481103653072,0.697439987107407,0.07542949701191835,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,219.28693010452434,-229.59878398772997,-4.960024036516313,0.7590222036423616,1.0016187926576587,1.0016187926576587,8.226760035620961e-05,0.7644995267655965,3.151113301194795,nan,0.9391937706239781,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,219.28471388342314,-229.59907638606458,-4.963166925976749,0.7595177909252819,1.0018274474230566,1.0018274474230566,8.155115341738573e-05,0.5833092262757245,2.969119211468218,nan,1.498375074195738,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,219.28259702158394,-229.59930003096898,-4.9678730745459,0.7600489376553622,1.002048757719035,1.002048757719035,8.112745465580427e-05,0.7588645251336449,3.1280317433047493,nan,2.86465464845555,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,219.2805782380433,-229.59945553082176,-4.965556231966138,0.7605929988401362,1.0022827253455937,1.0022827253455937,8.090965574168898e-05,0.5998513326280553,2.9720911559560412,nan,0.8080579696111676,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,219.30383703748114,-229.5714382993772,-4.967127511313528,0.7515118707100608,1.001927526275538,1.001927526275538,7.398908949954445e-05,0.658792257514369,1.8396484119614986,3.5657926197548084,3.0543674384813855,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,219.30327185715336,-229.57005327898415,-4.966704371491029,0.7514579230732715,1.0021250614597281,1.0021250614597281,7.382688888432732e-05,0.6104044337559448,1.7923397219525488,nan,0.05374164821141458,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,219.30280196027428,-229.5686025228248,-4.968288722832484,0.7514145184666844,1.0023322440178941,1.0023322440178941,7.376288564995843e-05,0.6838124901814223,1.862727797533752,nan,0.27280544812076074,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,219.30242645383518,-229.56708683533833,-4.9717412346526,0.7513958038427505,1.002549075750036,1.002549075750036,7.375847673454763e-05,1.0311795608615668,2.231385217020673,nan,1.4181160824209789,nan
