t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,218.9018330407376,-230.1811895015731,-4.976967615339763,1.0944605496836046,1.000100000226,1.000100000226,0.0008991908091909919,1.197724768678185,1.236471941131452,nan,0.2386510132275884,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,218.90230233619735,-230.18289155042646,-4.997410464459962,1.0932849586675415,1.0004000022520003,1.0004000022520003,0.0004735409575651038,2.22656393930988,2.4105125417264883,nan,0.8534353771005166,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,218.9028877775242,-230.18451310700385,-4.972870055527811,1.091684230741031,1.0009000078780008,1.0009000078780008,0.0003818007133781436,1.1928487332595352,1.4553226018375338,nan,2.4102388482912103,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,218.9035881748187,-230.18605486872733,-4.978471893662035,1.0903285698615608,1.0016000189040017,1.0016000189040017,0.0003696447579891272,1.2877909049872385,1.5367714866006001,nan,0.355392511944056,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,218.89838456001246,-230.19449598945218,-4.965023211646172,1.0962682433143556,1.0004210192959389,1.0004210192959389,0.00018650104280495752,1.397114810822684,4.802932472797085,0.08780140433167273,1.2497396469927358,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,218.89810746571203,-230.19727632839079,-4.962684335542139,1.096421521090695,1.0006062562220204,1.0006062562220204,0.0001600453457805855,1.5250591356452738,4.806563277775265,nan,0.016413676949183807,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,218.89794176596598,-230.19997931383406,-4.959491029433943,1.0966019864627972,1.000825175036997,1.000825175036997,0.00014278394954470426,1.8094957136584267,4.927471379840463,nan,0.002010442307598017,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,218.89788629102722,-230.20260559779717,-4.9541368960847665,1.0968320421244153,1.0010777775408688,1.0010777775408688,0.00013139077442721672,2.6318267622664724,5.541194371957809,nan,0.27772497924506817,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,218.8979396925552,-230.20515611200207,-4.948532295574654,1.097121497154734,1.001364065533636,1.001364065533636,0.00012394413095737447,3.9508330241945497,6.578276165833406,nan,0.3836736501296216,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,218.86308595279218,-230.14365193686746,-4.952569181104392,1.1190053889329545,1.0009194577431317,1.0009194577431317,0.00010575720704646528,3.0192237113315685,5.9688393822558705,7.058812293302019,2.2059930632432323,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,218.85985157879196,-230.1396542288453,-4.9560862816726265,1.1212903283568498,1.0011125240664216,1.0011125240664216,0.00010082061909701703,2.1545383758929004,4.809234459267663,nan,2.671468876270879,nan
