t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,199.97694396972656,-199.97694396972656,-4.976943492889404,199.97700327697396,-199.97700330846905,-4.977003335454941,0.00010305129113218502,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.0618506753132629e-08,0.0004247930568486088,nan,nan,nan
0.02,199.9752960205078,-199.9752960205078,-4.975301265716553,199.9771805964291,-199.97718083183764,-4.96376243543638,0.011842666270175531,1.0004000001826252,1.0004000001826252,0.0008991910516330248,0.1480786418168769,0.25443959294161284,nan,0.0001801824494409293,nan
0.03,199.97377014160156,-199.97377014160156,-4.973775386810303,199.97747464399336,-199.97747524244784,-4.964056503263333,0.01104118687693842,1.0009000006351882,1.0009000006351882,0.0009995107999378019,0.09453035466438962,0.2555207485836457,nan,nan,nan
0.04,199.9723663330078,-199.9723663330078,-4.9723639488220215,199.97788413774964,-199.97788511615988,-4.9548722263776295,0.01915368086609351,1.0016000015212516,1.0016000015212516,0.0005317765199244777,0.57541594585056,0.7839531438494568,nan,0.11987549182666787,nan
0.05,199.9710693359375,-199.9710693359375,-4.971066474914551,199.94845692875782,-199.97847796689106,-4.955890163804617,0.028222848721757062,1.000136159857599,1.000136159857599,0.00047135043475060633,0.48920558531813446,4.83703294589293,0.3921693188386386,nan,nan
0.06,199.96987915039062,-199.96987915039062,-4.969881534576416,199.94310342617717,-199.97912892074248,-4.963618161308092,0.02901254045090218,1.0001960690185168,1.0001960690185168,0.0003207125249314022,0.12312324036795251,4.575162103370042,nan,0.32371428118456164,nan
0.07,199.9687957763672,-199.9687957763672,-4.968807697296143,199.9378617548205,-199.9798914485821,-4.964123156530504,0.033195971941445225,1.000266870913067,1.000266870913067,0.0003466969814233004,0.06437686452216687,4.575382475901403,nan,nan,nan
0.08,199.96783447265625,-199.96783447265625,-4.967844009399414,199.93273088034454,-199.9807643469027,-4.967885007249803,0.037409163610535714,1.0003485656857503,1.0003485656857503,0.00026870186355409443,0.0014052115613514052,4.563917954321451,nan,0.08649721677364085,nan
0.09,199.96697998046875,-199.96697998046875,-4.966989040374756,199.92770946101894,-199.98174671264627,-4.968782678190726,0.041993418694788065,1.0004411534810664,1.0004411534810664,0.00030271740266169536,0.012386978392854867,4.566105757261901,nan,nan,nan
0.1,199.9662322998047,-199.9662322998047,-4.966241836547852,199.94588767227864,-199.94836682508983,-4.973808693000989,0.028112921807291212,1.0002799430390896,1.0002799430390896,0.0002198198410369,0.2612067069751571,2.5878888794829527,7.061477746244923,1.2940897466647754,nan
0.11,199.96559143066406,-199.96559143066406,-4.965601444244385,199.94339112042232,-199.94611742577297,-4.974244813321719,0.030770090515548264,1.0003387291688073,1.0003387291688073,0.00024222993303413308,0.30928879430851114,2.5874018562420256,nan,nan,nan
0.12,199.96505737304688,-199.96505737304688,-4.965066432952881,199.9410005636429,-199.9439741188614,-4.97697640832579,0.034133285794546664,1.0004031143902965,1.0004031143902965,0.00020746689984599585,0.6847343603622407,2.9227075953591863,nan,0.07704755348722354,nan
0.13,199.96463012695312,-199.96463012695312,-4.964635848999023,199.93871492429435,-199.9419357034885,-4.977747013870521,0.03685834002671694,1.0004730988480575,1.0004730988480575,0.000232756991578682,0.7397359366479633,2.9255979442423663,nan,nan,nan
0.14,199.9643096923828,-199.9643096923828,-4.964308738708496,199.93653306258688,-199.94000103846963,-4.980522523206273,0.040315488656739666,1.0005486826865908,1.0005486826865908,0.00020331264016074373,1.294379234388422,3.4436230427754744,nan,0.06084664570384959,nan
0.15,199.96408081054688,-199.96408081054688,-4.964083671569824,199.9438345164701,-199.96272246132676,-4.979192300457911,0.025298778692355493,1.000423869832177,1.000423869832177,0.0002033478705987416,1.1229739497552411,1.9134708978777295,3.5720844619529815,nan,nan
0.16,199.96395874023438,-199.96395874023438,-4.96396017074585,199.942482589916,-199.96262938691217,-4.9743758481721,0.023905617519736147,1.0004822670248124,1.0004822670248124,0.000180793006185342,0.6005210264677807,1.3704449378828447,nan,0.7069867804370604,nan
0.17,199.96392822265625,-199.96392822265625,-4.963936805725098,199.94123136302505,-199.96263722721432,-4.975023547248334,0.025292883266887032,1.00054443243672,1.00054443243672,0.00020170039831695133,0.6099146234664936,1.356121918753168,nan,nan,nan
0.18,199.96400451660156,-199.96400451660156,-4.964012145996094,199.94007993723937,-199.9627448647951,-4.976911295021408,0.02720956203080816,1.0006103662124004,1.0006103662124004,0.00018025314004452552,0.923653494862804,1.6697917736614085,nan,0.028754435359023927,nan
0.19,199.9641876220703,-199.9641876220703,-4.964186668395996,199.93902723829848,-199.9629511657745,-4.977822865925412,0.028644713627100797,1.0006800684963535,1.0006800684963535,0.00020157169349108254,0.9231142776610204,1.6736241254472857,nan,nan,nan
0.2,199.96444702148438,-199.96444702148438,-4.9644575119018555,199.94581879417544,-199.95420566692914,-4.972799692528384,0.02283611554982775,1.0005678340570063,1.0005678340570063,0.00016562430288462397,0.4206313862715562,0.9383027498784199,0.7982405185105484,0.7126045779197641,nan
0.21,199.96482849121094,-199.96482849121094,-4.96482515335083,199.94534801375647,-199.9541540799365,-4.973558737004737,0.023868547114341245,1.0006260336518868,1.0006260336518868,0.00018336416277337354,0.4164712637096611,0.9756389722741268,nan,nan,nan
0.22,199.9652862548828,-199.9652862548828,-4.965288162231445,199.9449731212071,-199.95419841390893,-4.961659390749836,0.02342502080372112,1.0006870731532063,1.0006870731532063,0.00016562046358189022,0.08004217336340858,0.6086884795272598,nan,4.355736528109411,nan
0.23,199.96583557128906,-199.96583557128906,-4.965845108032227,199.94469303350797,-199.9543377384537,-4.9619654232256165,0.02437742845202503,1.0007509527054648,1.0007509527054648,0.00018322045245407794,0.08273092300917759,0.605927786692441,nan,nan,nan
0.24,199.96649169921875,-199.96644592285156,-4.966495990753174,199.9445067236919,-199.9545516001684,-4.957743234969508,0.02648442551418528,1.0008176724531628,1.0008176724531628,0.00016530434522311815,0.4640769351847581,1.0053825420575153,nan,0.5745769760085335,nan
0.25,199.9672393798828,-199.9670867919922,-4.967238903045654,199.93051513906715,-199.93559102300134,-4.957437644006221,0.049363123954725543,1.0007118135101392,1.0007118135101392,0.0001701416150091115,0.5669549922721132,3.324972645565581,3.2316417214942548,nan,nan
0.26,199.9680633544922,-199.9677276611328,-4.968072891235352,199.92995726109322,-199.93508641150686,-4.962289217458675,0.050507191702068924,1.0007698933505491,1.0007698933505491,0.00015459730526529573,0.21888988004020507,2.9305625326766402,nan,0.6432451114373184,nan
0.27,199.968994140625,-199.96835327148438,-4.9689788818359375,199.9294902984893,-199.93458182474572,-4.962890818760853,0.0523271313021307,1.0008302519759107,1.0008302519759107,0.00016941993433804899,0.22147185126305508,2.949818058599559,nan,nan,nan
0.28,199.97000122070312,-199.96897888183594,-4.969911575317383,199.92911329565877,-199.93407082311126,-4.965931123419763,0.05390954438379363,1.000892889530724,1.000892889530724,0.00015375146915452432,0.10593722079445492,2.8209081115805876,nan,0.18011740455088732,nan
0.29,199.9711151123047,-199.96958923339844,-4.9708476066589355,199.92882533467525,-199.93355031313,-4.966705867276666,0.05571699086608643,1.0009578061594893,1.0009578061594893,0.00016804784254403524,0.10516237870514213,2.8546786287084145,nan,nan,nan
