t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,218.90183297632288,-230.18118936498905,-4.909277599535994,1.096550340890159,1.000100000226,1.000100000226,0.0008991908091909919,6.2897170010539165,6.328451308933014,nan,0.3093988787406331,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,218.90230211874768,-230.18289109510656,-4.946841674690091,1.0934319412152906,1.0004000022520003,1.0004000022520003,0.0004735409575651038,2.9047139041127803,3.7291365398613956,nan,2.7914189241496015,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,218.9028874971201,-230.18451236845758,-4.967127204005301,1.0917042305415086,1.0009000078780008,1.0009000078780008,0.0003818007133781436,1.3064651264597966,3.0046758443118926,nan,1.0368950813175883,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,218.90358794637797,-230.18605408963202,-4.9827082560621845,1.0903605998115034,1.0016000189040017,1.0016000189040017,0.0003696447579891272,1.4763333290813547,3.2956967203576966,nan,0.2868662066224593,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,218.8729296326359,-230.17473904081874,-4.961658515390614,1.1174126806629117,1.0004210192959389,1.0004210192959389,0.00018650104280495752,1.7226254593558634,3.186370291841801,2.1280025589130735,0.6376253654998296,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,218.86756170123803,-230.17356802055292,-4.968260846951454,1.1216760683940366,1.0006062562220204,1.0006062562220204,0.0001600453457805855,1.27381370716045,2.8200810501252347,nan,1.4843626963248107,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,218.86230502755419,-230.17231970188433,-4.965570234402819,1.1259768571502893,1.000825175036997,1.000825175036997,0.00014278394954470426,1.3402171149915025,2.89096524795427,nan,0.21714607513855538,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,218.85715841283962,-230.17099500885482,-4.957116006920076,1.130317254441461,1.0010777775408688,1.0010777775408688,0.00013139077442721672,2.15229718402208,3.730446230453338,nan,3.0030712249946183,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,218.8521205368693,-230.1695947202706,-4.948949619358818,1.1347171616386005,1.001364065533636,1.001364065533636,0.00012394413095737447,3.9117416016556974,5.631868289761018,nan,2.993583264053308,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,218.86601223398134,-230.16696715617567,-4.953928908954795,1.1202249809000224,1.0009194577431317,1.0009194577431317,0.00010575720704646528,2.6878154208732816,4.387395197007524,0.5446731429269267,1.4554707709752377,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,218.86307124872877,-230.1653022641055,-4.959701287776186,1.1226068137949532,1.0011125240664216,1.0011125240664216,0.00010082061909701703,1.6045423598198914,3.5056939496251394,nan,2.83806774728909,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,218.8602357452975,-230.16356390805592,-4.9627872738488295,1.1250174741673897,1.0013239831434297,1.0013239831434297,9.737318504631894e-05,1.3175784177609542,3.3137105090119174,nan,0.7557818902415201,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,218.8575046759392,-230.1617529557216,-4.968598724664855,1.1274462860147119,1.0015538367741565,1.0015538367741565,9.503645973481442e-05,1.433876742260325,3.467754776772833,nan,2.6789718713240815,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,218.85487720397154,-230.1598701535047,-4.971491519614909,1.1298904571959474,1.0018020867586022,1.0018020867586022,9.352199794679087e-05,1.8247932139026661,3.788065824283663,nan,0.45056736026047645,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,218.9081533930205,-230.1543704125492,-4.9716422527500885,1.0768647104735751,1.001422791622841,1.001422791622841,8.338281980149539e-05,1.8414704593160836,4.166704310277949,4.84850983522954,0.021800193864301945,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,218.9094519273523,-230.15210940068457,-4.975390306709495,1.0756274091761349,1.0016187926576587,1.0016187926576587,8.226760035620961e-05,2.7401463461410236,4.930076964738304,nan,0.954932423326063,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,218.91085090725863,-230.14977881142102,-4.972053740967383,1.074334199946014,1.0018274474230566,1.0018274474230566,8.155115341738573e-05,1.9575451285232086,3.9594969948745544,nan,2.484985243420671,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,218.91234939742637,-230.14737951639603,-4.970495273081929,1.073051394530286,1.002048757719035,1.002048757719035,8.112745465580427e-05,1.6648447752620248,3.547805799830562,nan,0.8531916198127872,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,218.91394626521227,-230.144912437312,-4.970927524126584,1.0717889347297425,1.0022827253455937,1.0022827253455937,8.090965574168898e-05,1.7051338571939554,3.499315864548038,nan,0.04639211000642023,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,218.8999485845818,-230.0939184131448,-4.972892877915706,1.077451844101838,1.001927526275538,1.001927526275538,7.398908949954445e-05,2.1163894508354844,5.024314433876607,4.4624784188687805,0.010109617403393528,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,218.9009536998823,-230.08889240567038,-4.976438737286821,1.0765752139353113,1.0021250614597281,1.0021250614597281,7.382688888432732e-05,2.977639310843957,5.762784749989819,nan,0.7571278234381825,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,218.90205406002556,-230.08380064763875,-4.974837026610271,1.0756470843932089,1.0023322440178941,1.0023322440178941,7.376288564995843e-05,2.38543455119263,5.004775384094718,nan,1.46233839724211,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,218.90324885927006,-230.07864394154902,-4.9756664054250725,1.0747582451733197,1.002549075750036,1.002549075750036,7.375847673454763e-05,2.4543709768201216,4.933505884123767,nan,0.06135568187932325,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,218.9045344346302,-230.07342308983166,-4.978827452073396,1.0738806738441085,1.002775558456154,1.002775558456154,7.378230941506622e-05,3.2038639483788467,5.571952388300601,nan,0.4026122885353338,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,218.922500564108,-230.0885066845695,-4.975335315792913,1.0596763534591152,1.002432853946181,1.002432853946181,6.868744333287044e-05,2.069422354463252,3.7977438213277823,2.908069611125294,0.6838997185909461,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,218.9245380767414,-230.0839755907574,-4.975498525268643,1.058175021781307,1.0026313303478835,1.0026313303478835,6.870598036403331e-05,1.9145575744007612,3.5884734702259804,nan,0.2903393509535632,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,218.9265805895094,-230.0793824644931,-4.973420274105076,1.0566573403905828,1.002837604653013,1.002837604653013,6.872647679811194e-05,1.3976006314475655,3.015645640354835,nan,2.2259626498549094,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,218.92861854650815,-230.0747280782319,-4.975792471054171,1.055168345479173,1.0030516786615697,1.0030516786615697,6.87348470113018e-05,1.609701967798253,3.1921814137380333,nan,0.17108951582950285,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,218.93064751822513,-230.07001312955975,-4.97796876594105,1.0536744041538069,1.0032735541735538,1.0032735541735538,6.872025239692592e-05,1.8404432144202496,3.379838530055246,nan,0.09512549591972091,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,218.96049090080294,-230.04369405644962,-4.979045804072472,1.021365207294691,1.0029384878003862,1.0029384878003862,6.482549339180948e-05,1.851070252887543,5.181221140537264,2.2664998934258445,0.0066334096264202445,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,218.96342623896544,-230.03814019666726,-4.983823979784927,1.0188810872125038,1.0031375992771128,1.0031375992771128,6.480349370731292e-05,2.940781553110579,6.246615011393191,nan,2.2331410503775477,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,218.96634907492032,-230.0325277134905,-4.982967010507753,1.016359078261384,1.0033432565143405,1.0033432565143405,6.475680929824072e-05,2.3816538234441174,5.598619435601988,nan,1.1428781553014893,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,218.9692593484304,-230.026857222087,-4.987581495376248,1.0138934289897508,1.0035554613120694,1.0035554613120694,6.468117947829927e-05,3.672858731947568,6.850743257057669,nan,2.018319740288655,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,218.9721570195665,-230.02112929911678,-4.989513864479204,1.0114006791365686,1.0037742154703,1.0037742154703,6.457379463482405e-05,4.121711271901939,7.230509238203165,nan,0.03158103774770595,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,218.9874858776812,-230.04909290742825,-4.988275133933809,1.0018782107242628,1.0034443002997167,1.0034443002997167,6.152144891439834e-05,3.367183941944269,6.3989806918340815,4.582794018940447,7.824879791837794e-05,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,218.9907159348584,-230.04421997287835,-4.988746165422489,0.9991482295572136,1.0036438682267876,1.0036438682267876,6.141525794214982e-05,3.225699992215433,6.2101189481049115,nan,0.17208893262811467,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,218.99393413051163,-230.03929180664102,-4.987721955196536,0.9964030167418714,1.0038490782982177,1.0038490782982177,6.128243392023153e-05,2.577199571114076,5.534916325168265,nan,1.211658395440798,nan
0.38,219.97567749023438,-229.86183166503906,-4.978655815124512,218.99714067441423,-230.03430909155603,-4.9850849115226845,0.993641834794534,1.004059932314007,1.004059932314007,6.112249586060807e-05,1.6595274606389416,4.623159406943711,nan,3.3239684055832552,nan
0.39,219.97622680664062,-229.8575439453125,-4.9794392585754395,219.00033587802724,-230.02927233818778,-4.9836039069441505,0.9908940860482768,1.0042764320741553,1.0042764320741553,6.093557098091173e-05,1.2623061496317407,4.224342825387426,nan,1.4655970142714476,nan
0.4,219.9767608642578,-229.8531951904297,-4.980207443237305,219.01755065996244,-230.02802360151705,-4.983037789421284,0.9750165127869507,1.003950226099656,1.003950226099656,5.849511332259592e-05,1.0838578953061744,5.155052735363116,1.0624829390200459,0.011619358385799668,nan
0.41000000000000003,219.977294921875,-229.8488006591797,-4.980959892272949,219.02107599803315,-230.02297713085915,-4.983183212005374,0.9719552545002239,1.004150137185802,1.004150137185802,5.831739803696818e-05,1.0255505560409997,5.07718035825316,nan,0.13094649901648844,nan
