t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,220.49978075318657,-229.92795503587462,-5.000704931375898,0.5255347011609801,1.000100000226,1.000100000226,0.0008991908091909919,0.9034990605373603,0.9190155125432009,nan,0.13236656404454594,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,220.49865853515468,-229.9279581670565,-4.969615987747223,0.5253681767707765,1.0004000022520003,1.0004000022520003,0.0004735409575651038,0.3441258403075353,0.38867600509316574,nan,1.825072481198616,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,220.49765232633433,-229.92788081681638,-4.957890437243649,0.525917207326528,1.0009000078780008,1.0009000078780008,0.0003818007133781436,0.9369868681787339,0.971767527725846,nan,0.26479320120168376,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,220.4967609900173,-229.92772360244686,-4.96605431894094,0.5260700091851571,1.0016000189040017,1.0016000189040017,0.0003696447579891272,0.3839859461260076,0.4902761307054898,nan,0.6551710760213049,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,220.4528564599709,-229.88202853350762,-4.961634363885944,0.48953684254055735,1.0004210192959389,1.0004210192959389,0.00018650104280495752,0.7165247148869479,7.96549484700455,1.8915731018425583,0.35734238005409746,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,220.4435655892803,-229.87262258721051,-4.963840002253911,0.48286606208582084,1.0006062562220204,1.0006062562220204,0.0001600453457805855,0.46107895286000594,7.772830250872134,nan,0.27002813992021474,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,220.43438586954585,-229.86313931354871,-4.971062302860077,0.4763771920950835,1.000825175036997,1.000825175036997,0.00014278394954470426,0.2623139002157664,7.623849596106406,nan,2.3087579688161246,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,220.4253162144848,-229.8535793893926,-4.9685786709157655,0.4700825921373213,1.0010777775408688,1.0010777775408688,0.00013139077442721672,0.22483102039614672,7.570197868680218,nan,0.21459842242967433,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,220.41635544858036,-229.8439436207668,-4.968603915890797,0.4639520463476386,1.001364065533636,1.001364065533636,0.00012394413095737447,0.23593391595392815,7.592916799610118,nan,0.004339090513318145,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,220.42942819725496,-229.8513839739938,-4.966974831559873,0.47503003399337507,1.0009194577431317,1.0009194577431317,0.00010575720704646528,0.2304864622997549,8.134258488656348,1.0415800223656855,0.3398177649933144,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,220.42287502158862,-229.84331428761615,-4.962942583982582,0.47055044919383915,1.0011125240664216,1.0011125240664216,0.00010082061909701703,0.29148589375895106,8.224975015693353,nan,1.298828742592429,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,220.41642758823374,-229.83517104351594,-4.963143979747815,0.4661678726791307,1.0013239831434297,1.0013239831434297,9.737318504631894e-05,0.25518411136168956,8.18828419013532,nan,0.003925881008211171,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,220.41008475387196,-229.8269551019789,-4.961887221225518,0.4618945506509155,1.0015538367741565,1.0015538367741565,9.503645973481442e-05,0.29286230655664386,8.275640636926655,nan,0.16432669753689866,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,220.40384541264035,-229.8186673730428,-4.956806092596022,0.4577696274024435,1.0018020867586022,1.0018020867586022,9.352199794679087e-05,0.8122317644933089,8.835160298959837,nan,2.5178920537415084,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,220.381440795772,-229.8770495105231,-4.956887565137312,0.42258458927409803,1.001422791622841,1.001422791622841,8.338281980149539e-05,0.8008755148158744,9.106748978188593,7.695679610475821,0.5617583232402261,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,220.37432026065463,-229.87307240596294,-4.95985134962784,0.41581428841044815,1.0016187926576587,1.0016187926576587,8.226760035620961e-05,0.3788677221051837,8.768375504192585,nan,1.1300220956745275,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,220.3673000613558,-229.86902603064595,-4.957831188760209,0.4091147287674126,1.0018274474230566,1.0018274474230566,8.155115341738573e-05,0.6259376582734649,9.075367864244566,nan,0.5724502683145993,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,220.3603792151439,-229.8649110089695,-4.959989624986828,0.4023858447981197,1.002048757719035,1.002048757719035,8.112745465580427e-05,0.36243574563042275,8.863890428637331,nan,0.5055520306350625,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,220.35355655765412,-229.8607279176652,-4.9565927285899685,0.3957413513434471,1.0022827253455937,1.0022827253455937,8.090965574168898e-05,0.8718085490684271,9.44579877417259,nan,1.7412559790783642,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,220.37526943041308,-229.83074024855537,-4.954566420576876,0.4223272872422639,1.001927526275538,1.001927526275538,7.398908949954445e-05,1.5047846620748833,9.321864756143844,3.361694319382436,0.031046554236138484,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,220.3700634897218,-229.82513495179373,-4.955068859093073,0.4174792642635937,1.0021250614597281,1.0021250614597281,7.382688888432732e-05,1.4679212131591892,9.341014471372151,nan,0.024610686895066985,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,220.36495275959163,-229.8194638598131,-4.956883157563925,0.4126414676843942,1.0023322440178941,1.0023322440178941,7.376288564995843e-05,1.1318764388183018,9.065178385255637,nan,0.38931537454961496,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,220.3599361908617,-229.81372773925744,-4.958367342144063,0.4078332485218446,1.002549075750036,1.002549075750036,7.375847673454763e-05,0.9281213756921035,8.939841835578966,nan,0.18621490394531406,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,220.35501011982814,-229.80792731861172,-4.9591609064336,0.4030892202996637,1.002775558456154,1.002775558456154,7.378230941506622e-05,0.8953738263889979,8.941291730623192,nan,0.011441080030356305,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,220.37597415873313,-229.78151383856485,-4.962766933502641,0.42905202480108895,1.002432853946181,1.002432853946181,6.868744333287044e-05,0.4775718495792687,8.86925104825503,1.8830438222333474,1.4835912608337822,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,220.37216915627224,-229.77476389909052,-4.966442306091347,0.42575728534817775,1.0026313303478835,1.0026313303478835,6.870598036403331e-05,0.2205372996521291,8.625005505028808,nan,1.4167577279346804,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,220.36836911093295,-229.7679519294796,-4.969304849309065,0.42253154390163616,1.002837604653013,1.002837604653013,6.872647679811194e-05,0.1793768474447952,8.60603029864639,nan,0.5883390777234675,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,220.3645644058575,-229.7610785556226,-4.969602866032305,0.419352478098263,1.0030516786615697,1.0030516786615697,6.87348470113018e-05,0.176893607975378,8.624436317608783,nan,0.12972396958998195,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,220.3607505959729,-229.75414456344845,-4.972499381357435,0.4162310576515309,1.0032735541735538,1.0032735541735538,6.872025239692592e-05,0.21144849136395902,8.646886557183224,nan,0.5439573861919454,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,220.34583654114894,-229.72754329663437,-4.972911721072484,0.4103627193574709,1.0029384878003862,1.0029384878003862,6.482549339180948e-05,0.18713738230178623,12.485335993739746,1.3897386188684044,0.09468586502061623,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,220.3416290800322,-229.7198352057776,-4.9749270530715535,0.40754211802462253,1.0031375992771128,1.0031375992771128,6.480349370731292e-05,0.24140679118328456,12.473425633363323,nan,0.15890497426870115,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,220.33740919398525,-229.7120685651263,-4.974912729993706,0.4047760148377174,1.0033432565143405,1.0033432565143405,6.475680929824072e-05,0.18952558494004132,12.441073395633026,nan,0.2660685746841062,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,220.33317684361316,-229.7042440092285,-4.977675139540923,0.402109081112026,1.0035554613120694,1.0035554613120694,6.468117947829927e-05,0.3177057401622796,12.578724119768765,nan,0.5626706488332773,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,220.32893203353308,-229.6963621779639,-4.978071400694871,0.39950771718885003,1.0037742154703,1.0037742154703,6.457379463482405e-05,0.27293555577084316,12.499408726394936,nan,0.10761103606976825,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,220.33566322061387,-229.66951640627926,-4.980190184816663,0.41572562703953697,1.0034443002997167,1.0034443002997167,6.152144891439834e-05,0.43001375286608934,15.207903481110442,1.098054685279702,0.004315373962896674,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,220.331708917505,-229.6609798873461,-4.981504917833485,0.41399321430219455,1.0036438682267876,1.0036438682267876,6.141525794214982e-05,0.49530758282966336,15.31606520771907,nan,0.00764220072309281,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,220.32774261580533,-229.65238808615393,-4.980172787851074,0.41232032949623987,1.0038490782982177,1.0038490782982177,6.128243392023153e-05,0.2569251754415008,14.97426504446756,nan,1.3427719603866652,nan
0.38,219.97567749023438,-229.86183166503906,-4.978655815124512,220.32376459796782,-229.64374167563923,-4.980844628746253,0.4107708229070383,1.004059932314007,1.004059932314007,6.112249586060807e-05,0.24642765036655578,15.010782882311467,nan,0.027383183253309292,nan
0.39,219.97622680664062,-229.8575439453125,-4.9794392585754395,220.31977509180444,-229.63504120701978,-4.982459426470629,0.40931896389108846,1.0042764320741553,1.0042764320741553,6.093557098091173e-05,0.31650898350264484,15.032316877137994,nan,0.08703249084990133,nan
0.4,219.9767608642578,-229.8531951904297,-4.980207443237305,220.36598348122516,-229.6368321036907,-4.988411091330204,0.4453925579802228,1.003950226099656,1.003950226099656,5.849511332259592e-05,1.3480477112415272,13.638639360635612,9.528012174799837,0.5361368705128773,nan
0.41000000000000003,219.977294921875,-229.8488006591797,-4.980959892272949,220.36323250770457,-229.62828988707798,-4.988402827692542,0.44455395404439263,1.004150137185802,1.004150137185802,5.831739803696818e-05,1.1466835415981182,13.42677243760113,nan,0.37455629729742496,nan
0.42,219.97781372070312,-229.84434509277344,-4.9816975593566895,220.36047069460471,-229.6196954875584,-4.988124722111796,0.44377371848710623,1.0043550078552004,1.0043550078552004,5.8118769038531046e-05,0.9067987549234132,13.082342783793084,nan,0.5217484985677595,nan
0.43,219.97833251953125,-229.83984375,-4.982419967651367,220.35769827809784,-229.61104942420792,-4.988612581768987,0.44306158799547096,1.0045648399078515,1.0045648399078515,5.7899979139325895e-05,0.857696058503342,13.035397105157953,nan,0.09703066157936718,nan
0.44,219.97882080078125,-229.83529663085938,-4.983128547668457,220.35491562014434,-229.60235214971195,-4.985677599254801,0.4423990756237958,1.0047796351437555,1.0047796351437555,5.7662007984885605e-05,0.3074648272526843,12.396488964141819,nan,4.077008784317596,nan
0.45,219.97930908203125,-229.83070373535156,-4.983822822570801,220.34180540146988,-229.6609205687104,-4.985558377548165,0.40029104090940876,1.0044562282577674,1.0044562282577674,5.567624860500152e-05,0.21362023793636292,9.707661623317781,8.795619158717978,0.03288016026231047,nan
0.46,219.97979736328125,-229.8260498046875,-4.984503269195557,220.33877220556556,-229.65362711217344,-4.98765391299325,0.3982492295575533,1.0046564061474015,1.0046564061474015,5.5452847947027044e-05,0.33686642836386116,9.815753515749197,nan,0.4054621530483906,nan
0.47000000000000003,219.98025512695312,-229.82135009765625,-4.985169887542725,220.33572921879517,-229.64628436500774,-4.986182238096713,0.3962459660013282,1.0048610100497768,1.0048610100497768,5.5215499461204944e-05,0.17481128392725018,9.5707208548158,nan,1.563502390490409,nan
0.48,219.98072814941406,-229.8166046142578,-4.985823154449463,220.3326766853589,-229.6388929079995,-4.985755125298925,0.39427049993998703,1.005070041764893,1.005070041764893,5.4965172794936684e-05,0.15474926230026,9.623094397025683,nan,0.4360910155992571,nan
0.49,219.98117065429688,-229.81179809570312,-4.98646354675293,220.3296149023897,-229.63145320235154,-4.985625214964256,0.39234981507215333,1.0052835030927507,1.0052835030927507,5.470290305203573e-05,0.1659762038936074,9.521825292507646,nan,0.23029059771245924,nan
0.5,219.9816131591797,-229.8069610595703,-4.987091064453125,220.3424249326339,-229.66860912140018,-4.9854310460398885,0.38643130090577643,1.0049622843145216,1.0049622843145216,5.306146013355415e-05,0.20052243654081772,7.542142636409227,4.185472153714616,0.3696118439353678,nan
