t,true_x,true_y,true_z,est_x,est_y,est_z,pos_err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_used,nis_skipped,usv1_enabled,usv2_enabled,usv3_enabled,usv4_enabled
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.97714028919935,-229.97707945911287,-4.977003418424606,0.00010283498384222646,1.0002000001220002,1.0002000001220002,1.0002000001220002,1.0572919316677745e-08,0.00042300988267169974,nan,nan,True,True,True,True
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.97731667803527,-229.9771575233519,-4.964417495136195,0.01121696962924131,1.0006000012120004,1.0006000012120004,0.0008991912131812085,0.13174403612259616,0.2369081632112808,nan,nan,True,True,True,True
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.97760921388866,-229.9771552577883,-4.964711884345264,0.010523622077814428,1.001200004238001,1.001200004238001,0.0010995118252531129,0.07474088308499292,0.22521056941696815,nan,nan,True,True,True,True
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.9780165505171,-229.97707331954538,-4.933614401269652,0.03956420094151151,1.002000010168002,1.002000010168002,0.0005624656081106611,2.669674662169632,2.8503324428902763,nan,nan,True,True,True,True
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.9302255012367,-229.97461280694282,-4.934776866737872,0.05502856324426061,1.0009210094183945,1.0009210094183945,0.0006537127138570228,2.0163105723427677,5.987276187414319,nan,nan,True,True,True,True
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.92119626204385,-229.9739137151951,-4.931659842413083,0.06241669687468589,1.0012062473429266,1.0012062473429266,0.00043231587918665605,3.381753147297281,7.490101747517925,nan,nan,True,True,True,True
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.91227827900934,-229.97313732461248,-4.930635987702826,0.06886855517756359,1.00152516620639,1.00152516620639,0.0005964306937173778,2.446401500840166,6.731141590884113,nan,nan,True,True,True,True
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.90347058488095,-229.97228452687744,-4.952646587131178,0.067041400011985,1.001877766976785,1.001877766976785,0.00042086504733437533,0.5531372607793708,4.939144862265722,nan,nan,True,True,True,True
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.89477184856176,-229.97135601967426,-4.953426970078741,0.07452927906287277,1.0022640506221119,1.0022640506221119,0.0005921963012601953,0.3160568569022288,4.738049464911159,nan,nan,True,True,True,True
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.93790856908268,-229.9643748362247,-4.9458455652773035,0.03571032423411187,1.0019194355704708,1.0019194355704708,0.0003930998784535813,1.0594296445467997,2.211218415475707,nan,nan,True,True,True,True
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.93459725032025,-229.962699381089,-4.94563530911809,0.037820297995187206,1.0022125063897773,1.0022125063897773,0.000538219517512615,0.7419888569976926,1.917005030900309,nan,nan,True,True,True,True
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.9313913593654,-229.96095050280613,-4.9524026355965525,0.0371451476039955,1.0025239678558553,1.0025239678558553,0.00039309787743350836,0.40952324999227224,1.5836195331389125,nan,nan,True,True,True,True
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,219.92828987463025,-229.95912911916835,-4.95273589310764,0.03955271029072541,1.0028538209367048,1.0028538209367048,0.0005374463045156113,0.26517802437493826,1.4365654691687098,nan,nan,True,True,True,True
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,219.9252919566967,-229.95723593210087,-4.943608633709513,0.04550783814343017,1.003202066600326,1.003202066600326,0.0003921609461373206,1.0950916982732424,2.261589557673006,nan,nan,True,True,True,True
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,219.9727557200026,-229.94925332871952,-4.943217823069628,0.02304946680353547,1.00292275696796,1.00292275696796,0.0005122342993985896,0.8508032076871055,1.2247615747198697,nan,nan,True,True,True,True
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,219.97332000320955,-229.94681740327823,-4.950192619443187,0.01737878270512322,1.0032187661837235,1.0032187661837235,0.00037876786632366386,0.501301211813705,0.8721958053068903,nan,nan,True,True,True,True
