t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.00010310171028866716,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,2.0,3.7297337846565917,3.0,9.101611762855892,xy
0.02,0.03265174252987418,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,2.0,3.729734368678174,3.0,9.096747804367897,xy
0.03,0.03476866532651558,2.002799512070314,4.0,usv1|usv2|usv3|usv4,2.0,3.729733668060217,3.0,9.09235019973399,xy
0.04,0.012236923324652656,2.0037317795624277,4.0,usv1|usv2|usv3|usv4,2.0,3.7297317830034755,3.0,9.0884291316313,xy
0.05,0.04901553569378102,2.000743670149949,4.0,usv1|usv2|usv3|usv4,2.0,3.7301014170102005,3.0,9.08635879074917,xy
0.06,0.059313547854049624,2.000712850561965,4.0,usv1|usv2|usv3|usv4,2.0,3.7301728258900666,3.0,9.083969341127524,xy
0.07,0.06884535829831546,2.0008804388075574,4.0,usv1|usv2|usv3|usv4,2.0,3.7302444274472797,3.0,9.082449126359695,xy
0.08,0.08072845335140869,2.0009658332350546,4.0,usv1|usv2|usv3|usv4,2.0,3.7303153587132374,3.0,9.081479779682912,xy
0.09,0.09030012770199364,2.0011850243647946,4.0,usv1|usv2|usv3|usv4,2.0,3.7303860471759553,3.0,9.081187575750581,xy
0.1,0.035525065526306306,2.000779705919216,4.0,usv1|usv2|usv3|usv4,2.0,3.7298856331995434,3.0,9.0801828006608,xy
0.11,0.038803624612997724,2.0009196882706486,4.0,usv1|usv2|usv3|usv4,2.0,3.7298983634607015,3.0,9.080914924022146,xy
0.12,0.04054969169796491,2.001013695680439,4.0,usv1|usv2|usv3|usv4,2.0,3.7299107554040116,3.0,9.08223293842437,xy
0.13,0.043819133048039166,2.0011789546876937,4.0,usv1|usv2|usv3|usv4,2.0,3.729922633007968,3.0,9.084058381575508,xy
0.14,0.047638269695144966,2.0013006780133424,4.0,usv1|usv2|usv3|usv4,2.0,3.7299340533150747,3.0,9.086393815447025,xy
0.15,0.08911286206219919,2.001051087534953,4.0,usv1|usv2|usv3|usv4,2.0,3.7298501754343025,3.0,9.08921552650533,xy
0.16,0.093931526857183,2.00114532705581,4.0,usv1|usv2|usv3|usv4,2.0,3.729854655251249,3.0,9.092623657342486,xy
0.17,0.09989407128524593,2.001290565271757,4.0,usv1|usv2|usv3|usv4,2.0,3.729858570440512,3.0,9.096457773730911,xy
0.18,0.10523395239933747,2.001400985564845,4.0,usv1|usv2|usv3|usv4,2.0,3.729862240087601,3.0,9.100815029032143,xy
0.19,0.11117018386226046,2.001561708686198,4.0,usv1|usv2|usv3|usv4,2.0,3.729865371474349,3.0,9.105575358886878,xy
0.2,0.06991983923294084,2.001301292416897,4.0,usv1|usv2|usv3|usv4,2.0,3.729926972069631,3.0,9.110670112113484,xy
0.21,0.07348744028438918,2.0014354314665472,4.0,usv1|usv2|usv3|usv4,2.0,3.729932278605926,3.0,9.116131973258062,xy
0.22,0.07763967076157674,2.0015397667699943,4.0,usv1|usv2|usv3|usv4,2.0,3.7299370633039115,3.0,9.121777000562137,xy
