t,err_norm,trace_Ppos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode
0.01,0.0001031755098155877,3.0003000000571873,4.0,usv1|usv2|usv3|usv4,2.0,3.7297332846885536,3.0,9.10932593360219,xy
0.02,0.003192516613352194,2.0016991914168836,4.0,usv1|usv2|usv3|usv4,2.0,3.729732982997222,3.0,9.104201053920207,xy
0.03,0.005239708180782152,2.002799512070314,4.0,usv1|usv2|usv3|usv4,2.0,3.7297322903321968,3.0,9.099843467184325,xy
0.04,0.014783002815236942,2.0037317795624277,4.0,usv1|usv2|usv3|usv4,2.0,3.7297313973051103,3.0,9.096296084379258,xy
0.05,0.02737422198189127,2.000743670149949,4.0,usv1|usv2|usv3|usv4,2.0,3.7296248515368937,3.0,9.092972334466275,xy
0.06,0.03752852664011345,2.000712850561965,4.0,usv1|usv2|usv3|usv4,2.0,3.729602005370458,3.0,9.09069681218904,xy
0.07,0.04271190586094106,2.0008804388075574,4.0,usv1|usv2|usv3|usv4,2.0,3.729578480472551,3.0,9.088994047469226,xy
0.08,0.03989098027650728,2.0009658332350546,4.0,usv1|usv2|usv3|usv4,2.0,3.7295540845391386,3.0,9.087776674478258,xy
0.09,0.04478771044156835,2.0011850243647946,4.0,usv1|usv2|usv3|usv4,2.0,3.729529631625468,3.0,9.087298987136263,xy
0.1,0.040719318416919795,2.000779705919216,2.0,usv2|usv4,2.0,3.946390427334223,2.0,3.4132991580531806,xy
0.11,0.044691499336356855,2.0009196882706486,2.0,usv2|usv4,2.0,3.9463728633593567,2.0,3.4133882663669795,xy
0.12,0.047385434093628206,2.001013695680439,2.0,usv2|usv4,2.0,3.9463545936764137,2.0,3.4135496548738975,xy
0.13,0.05128931291387138,2.0011789546876937,2.0,usv2|usv4,2.0,3.9463356417006206,2.0,3.4137874401773054,xy
0.14,0.05664422021826757,2.0013006780133424,2.0,usv2|usv4,2.0,3.946316015374827,2.0,3.4140999907565597,xy
0.15,0.08291832102641288,2.001051087534953,2.0,usv2|usv4,2.0,3.9460724574052732,2.0,3.4142849901347723,xy
0.16,0.0881402500305163,2.00114532705581,2.0,usv2|usv4,2.0,3.9460365938457698,2.0,3.4147159582044018,xy
0.17,0.09363777726045004,2.001290565271757,2.0,usv2|usv4,2.0,3.9460000716624046,2.0,3.4152125082992506,xy
0.18,0.09898845275988122,2.001400985564845,2.0,usv2|usv4,2.0,3.9459628954304353,2.0,3.4157713380973234,xy
0.19,0.10448001744970098,2.001561708686198,2.0,usv2|usv4,2.0,3.9459250770676655,2.0,3.416386708173548,xy
0.2,0.07753111713319269,2.001301292416897,2.0,usv2|usv4,2.0,3.9462691278810507,2.0,3.4173795057101812,xy
0.21,0.08135299643894814,2.0014354314665472,2.0,usv2|usv4,2.0,3.9462491830207433,2.0,3.418101972844301,xy
0.22,0.08565100895473507,2.0015397667699943,2.0,usv2|usv4,2.0,3.946228628325189,2.0,3.4188552294743384,xy
0.23,0.08948562105631504,2.0016851258633834,2.0,usv2|usv4,2.0,3.9462074718171527,2.0,3.419625849435523,xy
0.24,0.09058036148967054,2.0018006492515488,2.0,usv2|usv4,2.0,3.9461858716595453,2.0,3.4203956941489686,xy
0.25,0.10937656755936401,2.0015937686352876,2.0,usv2|usv4,2.0,3.9458764423372545,2.0,3.420927433417131,xy
0.26,0.1133227690532833,2.0016943840063637,2.0,usv2|usv4,2.0,3.94584326004886,2.0,3.421679955508103,xy
0.27,0.11770727325384682,2.0018299238861594,2.0,usv2|usv4,2.0,3.9458102485525726,2.0,3.422417230876924,xy
0.28,0.12219695777675696,2.0019395305306027,2.0,usv2|usv4,2.0,3.9457774554860507,2.0,3.4231208864582165,xy
0.29,0.12660651759966904,2.0020836601615226,2.0,usv2|usv4,2.0,3.945744910559106,2.0,3.4237904169518716,xy
0.3,0.10440170353423639,2.0018569710735528,2.0,usv2|usv4,2.0,3.945965820307284,2.0,3.424634424008625,xy
0.31,0.10789521478326884,2.001985603861998,2.0,usv2|usv4,2.0,3.945942239662276,2.0,3.4252171345002904,xy
0.32,0.11120407102042584,2.002091462428748,2.0,usv2|usv4,2.0,3.9459189226380826,2.0,3.425749253261457,xy
0.33,0.11468120669498344,2.0022271753611025,2.0,usv2|usv4,2.0,3.9458958705928957,2.0,3.4262235179197504,xy
0.34,0.11808898447268634,2.002340746736524,2.0,usv2|usv4,2.0,3.9458730843800875,2.0,3.426637135086546,xy
0.35000000000000003,0.091130282357821,2.0021476527849624,2.0,usv2|usv4,2.0,3.946102917138813,2.0,3.4272055098948977,xy
0.36,0.09371957349668622,2.002251023449533,2.0,usv2|usv4,2.0,3.9460878742244683,2.0,3.427492666070049,xy
0.37,0.0963197582576407,2.0023805404516093,2.0,usv2|usv4,2.0,3.9460730920815075,2.0,3.427711246428718,xy
0.38,0.09894604074447436,2.0024906315294273,2.0,usv2|usv4,2.0,3.9460585666966947,2.0,3.4278599328054815,xy
0.39,0.10153892139162657,2.002626171145659,2.0,usv2|usv4,2.0,3.9460442947854246,2.0,3.4279409601667425,xy
0.4,0.1206586325859966,2.0024155024842454,2.0,usv2|usv4,2.0,3.9460215128404057,2.0,3.4279406591829518,xy
0.41000000000000003,0.12366580341850866,2.0025402633982203,2.0,usv2|usv4,2.0,3.946007516974214,2.0,3.4278891771500475,xy
0.42,0.12664033540260494,2.0026478863836,2.0,usv2|usv4,2.0,3.9459937611493197,2.0,3.4277748282674394,xy
0.43,0.12964904878200462,2.0027779232452123,2.0,usv2|usv4,2.0,3.9459802416592895,2.0,3.427599972730121,xy
0.44,0.13365941848799562,2.0028915562627394,2.0,usv2|usv4,2.0,3.94596695726233,2.0,3.427361524744113,xy
0.45,0.11674973691540724,2.0027043923914696,2.0,usv2|usv4,2.0,3.946419666607831,2.0,3.42747829997575,xy
0.46,0.11940749703465545,2.0028102008073625,2.0,usv2|usv4,2.0,3.9464171970861717,2.0,3.427154150330378,xy
0.47000000000000003,0.12197585224189283,2.0029359019399036,2.0,usv2|usv4,2.0,3.9464149442074117,2.0,3.426787480007912,xy
0.48,0.124370470120993,2.003047094858129,2.0,usv2|usv4,2.0,3.9464129035488007,2.0,3.4263832115838473,xy
0.49,0.1269251111549219,2.0031775132786427,2.0,usv2|usv4,2.0,3.9464110694081023,2.0,3.4259477350702245,xy
0.5,0.12903794600728705,2.0029761755574618,2.0,usv2|usv4,2.0,3.9463219119808213,2.0,3.425415557280362,xy
0.51,0.13159028700154418,2.0030983757562653,2.0,usv2|usv4,2.0,3.946318719678533,2.0,3.424934820736793,xy
0.52,0.1342210014277913,2.0032076797678675,2.0,usv2|usv4,2.0,3.946315718160279,2.0,3.424438113639492,xy
0.53,0.136775019323741,2.0033341451135844,2.0,usv2|usv4,2.0,3.9463129037577045,2.0,3.4239305427267364,xy
0.54,0.13884128617809655,2.0034483332338406,2.0,usv2|usv4,2.0,3.9463102722463517,2.0,3.423420874679552,xy
0.55,0.1365885861244865,2.003264226294517,2.0,usv2|usv4,2.0,3.946502804265911,2.0,3.4230769380469983,xy
0.56,0.13878150070304932,2.00337202825594,2.0,usv2|usv4,2.0,3.946504072060762,2.0,3.4225776041929756,xy
0.5700000000000001,0.14120864482567824,2.0034952422847736,2.0,usv2|usv4,2.0,3.946505503365232,2.0,3.4220911360029715,xy
0.58,0.14343680205532489,2.003607493691808,2.0,usv2|usv4,2.0,3.9465070955623673,2.0,3.421627444570485,xy
0.59,0.14585000162573508,2.003734619107846,2.0,usv2|usv4,2.0,3.9465088377433797,2.0,3.42118711363037,xy
0.6,0.11958095340347265,2.00353927378649,2.0,usv2|usv4,2.0,3.9467972922569152,2.0,3.421038201020276,xy
0.61,0.12151351714427475,2.0036597691733276,2.0,usv2|usv4,2.0,3.9468041154130065,2.0,3.4206693939955923,xy
0.62,0.1234372115648204,2.0037704308335957,2.0,usv2|usv4,2.0,3.9468110816770623,2.0,3.4203375540754033,xy
0.63,0.1253667542811574,2.0038945291772543,2.0,usv2|usv4,2.0,3.946818184179714,2.0,3.420042313308213,xy
0.64,0.12738846342978055,2.0040092718639073,2.0,usv2|usv4,2.0,3.946825424007635,2.0,3.419791136764312,xy
0.65,0.18225020494685573,2.0038269979232366,2.0,usv2|usv4,2.0,3.9470323537769723,2.0,3.4197388187077595,xy
0.66,0.18497818316588263,2.003936329904537,2.0,usv2|usv4,2.0,3.947042922477809,2.0,3.4195787660243018,xy
0.67,0.18771889955481794,2.004057861943578,2.0,usv2|usv4,2.0,3.947053617663939,2.0,3.4194660719989316,xy
0.68,0.1905149680471878,2.0041709592680506,2.0,usv2|usv4,2.0,3.947064437516243,2.0,3.4194002704345148,xy
0.6900000000000001,0.1932604605048151,2.0042958447668044,2.0,usv2|usv4,2.0,3.9470753758054395,2.0,3.4193789445864096,xy
0.7000000000000001,0.14696840830382354,2.0041046018358717,2.0,usv2|usv4,2.0,3.947015220795566,2.0,3.4193559108201006,xy
0.71,0.1490145590841849,2.004223931993378,2.0,usv2|usv4,2.0,3.9470253763766503,2.0,3.419422184274232,xy
0.72,0.15102422569716734,2.0043356267166152,2.0,usv2|usv4,2.0,3.947035642665817,2.0,3.4195267598614563,xy
0.73,0.15306197964303825,2.0044580842450794,2.0,usv2|usv4,2.0,3.9470460304115305,2.0,3.419673683945888,xy
0.74,0.15509640811554862,2.004573267483875,2.0,usv2|usv4,2.0,3.947056532467651,2.0,3.4198582083251643,xy
0.75,0.17842210304273026,2.004392230478091,2.0,usv2|usv4,2.0,3.9473167540808425,2.0,3.4202861326031386,xy
0.76,0.1807773037688146,2.004502713615702,2.0,usv2|usv4,2.0,3.9473308239116798,2.0,3.420534498876793,xy
0.77,0.18311015687334428,2.0046230657255704,2.0,usv2|usv4,2.0,3.947345013639905,2.0,3.4208094603938424,xy
0.78,0.1854965388302619,2.004736800371137,2.0,usv2|usv4,2.0,3.9473593193932293,2.0,3.4211020958241516,xy
0.79,0.18781963589871534,2.0048600922061652,2.0,usv2|usv4,2.0,3.9473737458822398,2.0,3.4214123412626116,xy
0.8,0.15694562390835815,2.004671795417962,2.0,usv2|usv4,2.0,3.947247296881848,2.0,3.4216261749954113,xy
0.81,0.15884918575910634,2.0047903051245615,2.0,usv2|usv4,2.0,3.9472601872836526,2.0,3.421961235123139,xy
0.8200000000000001,0.16100722908228865,2.004902773265629,2.0,usv2|usv4,2.0,3.9472731888741386,2.0,3.4223007856856675,xy
0.8300000000000001,0.16291753003398945,2.0050240490321176,2.0,usv2|usv4,2.0,3.947286312840831,2.0,3.4226449597247433,xy
0.84,0.1647998246773823,2.005139556289386,2.0,usv2|usv4,2.0,3.9472995545261718,2.0,3.4229869597977998,xy
0.85,0.1633853573635683,2.004959428794912,2.0,usv2|usv4,2.0,3.9471647281168605,2.0,3.423193194341842,xy
0.86,0.16506915468084415,2.005070778855678,2.0,usv2|usv4,2.0,3.9471764568388594,2.0,3.4235187297389875,xy
0.87,0.16693896535629502,2.005190275645204,2.0,usv2|usv4,2.0,3.947188302050312,2.0,3.4238288637525263,xy
0.88,0.16883388146915312,2.00530448170529,2.0,usv2|usv4,2.0,3.9472002687234866,2.0,3.42411878167048,xy
0.89,0.17069930253648213,2.005426597501652,2.0,usv2|usv4,2.0,3.947212357336693,2.0,3.424386319349389,xy
0.9,0.14327486287494343,2.005240497997896,2.0,usv2|usv4,2.0,3.9470908440952317,2.0,3.4245236904202248,xy
0.91,0.1448229916971697,2.0053584137623757,2.0,usv2|usv4,2.0,3.9471016797735357,2.0,3.4247397200139456,xy
0.92,0.14631326782776224,2.005471461563248,2.0,usv2|usv4,2.0,3.947112635209457,2.0,3.424930514887057,xy
0.93,0.14785360245482074,2.005591858473591,2.0,usv2|usv4,2.0,3.947123706150647,2.0,3.425093671109124,xy
0.9400000000000001,0.14939856008515204,2.005707595791614,2.0,usv2|usv4,2.0,3.947134893264292,2.0,3.425228019340279,xy
