t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy,gdop_xy,rank_3d,gdop_3d,mode_x,mode_y,selected,n,n_active,active_set_str
0.01,0.025236499772476835,0.025236499772476835,0.7086975224818483,0.7082745262103474,4,usv1|usv2|usv3|usv4,2.0,17.99514529785637,3.0,44.53315256868944,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.02,0.013819409685009774,0.013819409685009774,0.4651454946663037,0.38775091087511737,4,usv1|usv2|usv3|usv4,2.0,17.995146581970175,3.0,44.50674452944978,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.03,0.006794924428322159,0.006794924428322159,0.21134106388126803,0.046056939879738364,4,usv1|usv2|usv3|usv4,2.0,17.995152711789636,3.0,44.48412441550062,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.04,0.018497776319915105,0.018497776319915105,0.9519269683910467,0.753256181724409,4,usv1|usv2|usv3|usv4,2.0,17.99516610023156,3.0,44.46596929375736,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.05,0.026774086030909847,0.026774086030909847,8.822030389527713,0.07026921048615233,4,usv1|usv2|usv3|usv4,2.0,17.99557046466267,3.0,44.45043798230168,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.06,0.03175479056136836,0.03175479056136836,8.973049089088049,0.16912512016036482,4,usv1|usv2|usv3|usv4,2.0,17.995669332314193,3.0,44.43858592491794,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.07,0.036266965433800286,0.036266965433800286,9.005866099285715,0.0740795364439607,4,usv1|usv2|usv3|usv4,2.0,17.995772141669633,3.0,44.429773271022604,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.08,0.04094001890394384,0.04094001890394384,8.998820937096687,0.016399221273689406,4,usv1|usv2|usv3|usv4,2.0,17.99587931420436,3.0,44.424056174331966,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.09,0.04650457977456188,0.04650457977456188,9.543957380541386,0.58744410972617,4,usv1|usv2|usv3|usv4,2.0,17.995989789572356,3.0,44.42098877047417,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
0.1,0.05910098823532577,0.05910098823532577,7.464943134547784,0.06091702612348538,4,usv1|usv2|usv3|usv4,2.0,17.996578374784185,3.0,44.422597929832506,xy:manual,manual,"['usv1', 'usv2', 'usv3', 'usv4']",4,4,"usv1,usv2,usv3,usv4"
