t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank,gdop,fim_logdet,size,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,fim,fim_logdet_xy,fim_logdet_3d,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.00010288204590387156,0.00010288204590387156,0.0004233971491414705,1.0582598848305595e-08,3,usv1|usv2|usv3,2.0,24.754355763356052,3.0,2342.343880897399,xy:init,xy,"['usv1', 'usv2', 'usv3']",3,init,2,24.754355763356052,-3.933215914546553,3,2,24.754355763356052,3,2342.343880897399,,,,"usv1,usv2,usv3",,,,
0.02,0.04632494850955548,0.04632494850955548,2.484065706091943,2.3783435503396326,3,usv1|usv2|usv3,2.0,24.754381657211542,3.0,2320.5878560508413,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.754381657211542,-3.933220452341172,3,2,24.754381657211542,3,2320.5878560508413,"[[2.36970359 4.77471242]
 [4.77471242 9.62882416]]",-3.933220452341172,-19.426760855875543,"usv1,usv2,usv3",,,,
0.03,0.048372566898242125,0.048372566898242125,2.2397295071644967,2.1021536584427776,3,usv1|usv2|usv3,2.0,24.754374282395975,3.0,2318.8200565534007,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.754374282395975,-3.933220202470654,3,2,24.754374282395975,3,2318.8200565534007,"[[2.36970533 4.77471271]
 [4.77471271 9.62881827]]",-3.933220202470654,-19.425243965613696,"usv1,usv2,usv3",,,,
0.04,0.021627158390315697,0.021627158390315697,1.0987036556986025,0.7182998929524883,3,usv1|usv2|usv3,2.0,24.754341843482184,3.0,2330.2250388511616,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.754341843482184,-3.933216492983248,3,2,24.754341843482184,3,2330.2250388511616,"[[2.36971005 4.77471953]
 [4.77471953 9.62882661]]",-3.933216492983248,-19.435002463738748,"usv1,usv2,usv3",,,,
0.05,0.025041332364048555,0.025041332364048555,0.9841676288306814,0.8602312169962579,3,usv1|usv2|usv3,2.0,24.75397704085849,3.0,2328.478910482296,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75397704085849,-3.9331873516536797,3,2,24.75397704085849,3,2328.478910482296,"[[2.36937623 4.77446471]
 [4.77446471 9.62915644]]",-3.9331873516536797,-19.433481560969163,"usv1,usv2,usv3",,,,
0.06,0.01327923732125929,0.01327923732125929,0.3398093546884845,0.20569734574737644,3,usv1|usv2|usv3,2.0,24.753868024606014,3.0,2334.8283980928154,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.753868024606014,-3.9331779998559186,3,2,24.753868024606014,3,2334.8283980928154,"[[2.36931189 4.77441739]
 [4.77441739 9.6292273 ]]",-3.9331779998559186,-19.43889020266514,"usv1,usv2,usv3",,,,
0.07,0.014256479449910143,0.014256479449910143,0.293358260849448,0.14997811650127205,3,usv1|usv2|usv3,2.0,24.753759318085226,3.0,2335.37837503506,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.753759318085226,-3.9331692927441866,3,2,24.753759318085226,3,2335.37837503506,"[[2.36924569 4.77436681]
 [4.77436681 9.6292926 ]]",-3.9331692927441866,-19.439349876269585,"usv1,usv2,usv3",,,,
0.08,0.02520263080154971,0.02520263080154971,1.3172726007030262,1.1663446080538225,3,usv1|usv2|usv3,2.0,24.75365010349763,3.0,2330.81462733947,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75365010349763,-3.933161090150108,3,2,24.75365010349763,3,2330.81462733947,"[[2.36917779 4.77431332]
 [4.77431332 9.62935304]]",-3.933161090150108,-19.43544948362017,"usv1,usv2,usv3",,,,
0.09,0.026644497023905808,0.026644497023905808,1.0639118166778236,0.8979757787001824,3,usv1|usv2|usv3,2.0,24.753526563307503,3.0,2331.688998778665,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.753526563307503,-3.933151141411738,3,2,24.753526563307503,3,2331.688998778665,"[[2.3691109  4.77426234]
 [4.77426234 9.62941953]]",-3.933151141411738,-19.436185575379504,"usv1,usv2,usv3",,,,
0.1,0.03669470411759506,0.03669470411759506,3.288958199113498,3.250555999048387,3,usv1|usv2|usv3,2.0,24.75438297187723,3.0,2327.982710561582,xy:dwell_hold,xy,"['usv1', 'usv2', 'usv3']",3,dwell_hold,2,24.75438297187723,-3.9332208673000686,3,2,24.75438297187723,3,2327.982710561582,"[[2.36916716 4.77430368]
 [4.77430368 9.62935689]]",-3.9332208673000686,-19.433089872178105,"usv1,usv2,usv3",,,,
