t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,4.0,usv1|usv2|usv3|usv4,xy:init,5.172507541097177,12.230031524854946,2.0,3.0,4.0,0.00010310323438857462,1.0,survey,0.6505728999618036,0.9999999996977081,0.0,0.2528645007158934
0.02,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.1725194815797995,12.223504376412277,2.0,3.0,4.0,0.003804422644905281,0.9999694444444445,survey,0.6505798227125841,0.999999999697708,0.0,0.2528991144697962
0.03,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172527323969542,12.218004796697032,2.0,3.0,4.0,0.005548457474005054,0.9999388888888889,survey,0.6505913527790675,0.9999999996977079,0.0,0.25295676480221396
0.04,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172534360275531,12.213659845900255,2.0,3.0,4.0,0.020664281576974072,0.9999083333333334,survey,0.6506074945920794,0.9999999996977069,0.0,0.2530374738672765
0.05,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172335486733403,12.208734637807439,2.0,3.0,4.0,0.01894080989314461,0.9998777777777779,survey,0.650573702256996,0.9999999996977503,0.0,0.252868512191729
0.06,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172287616188971,12.205434900854511,2.0,3.0,4.0,0.01790078081676367,0.9998472222222223,survey,0.6505750676631658,0.9999999996977593,0.0,0.2528753392225507
0.07,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172235704584142,12.202949149978298,2.0,3.0,4.0,0.01978549020449431,0.9998166666666668,survey,0.6505766839879471,0.9999999996977684,0.0,0.2528834208464301
0.08,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172183137686643,12.201449576780941,2.0,3.0,4.0,0.03364417710839289,0.9997861111111113,survey,0.6505785593986522,0.9999999996977766,0.0,0.25289279789993113
0.09,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172121688865879,12.200419014587759,2.0,3.0,4.0,0.0357057270317426,0.9997555555555557,survey,0.6505806734734408,0.9999999996977859,0.0,0.25290336827384696
0.1,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173317094178734,12.203826687520722,2.0,3.0,4.0,0.04772554713885075,0.9997250000000002,survey,0.6505773518385489,0.9999999996977357,0.0,0.2528867600995375
0.11,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173372297610826,12.20452405112324,2.0,3.0,4.0,0.05158086545407971,0.9996944444444447,survey,0.6505787239764083,0.9999999996977391,0.0,0.2528936207888236
0.12,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173422130739203,12.205824542846607,2.0,3.0,4.0,0.05408559942450387,0.9996638888888891,survey,0.6505802210968199,0.9999999996977428,0.0,0.25290110639087127
0.13,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173468105656735,12.207794519921695,2.0,3.0,4.0,0.05804067654351722,0.9996333333333336,survey,0.6505818467537788,0.9999999996977466,0.0,0.25290923467565474
0.14,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173508742217958,12.210323104254842,2.0,3.0,4.0,0.060719307352079664,0.9996027777777781,survey,0.6505835971525626,0.9999999996977506,0.0,0.2529179866695619
0.15,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.1730462943553555,12.211380019765915,2.0,3.0,4.0,0.05343491655010158,0.9995722222222225,survey,0.6505805646204357,0.9999999996978236,0.0,0.2529028240087079
0.16,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173045735873204,12.215002682267999,2.0,3.0,4.0,0.056615960748815516,0.999541666666667,survey,0.6505819059976032,0.9999999996978323,0.0,0.25290953089451973
0.17,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173040957041696,12.219227195010385,2.0,3.0,4.0,0.05978146017715467,0.9995111111111115,survey,0.6505833322069484,0.9999999996978409,0.0,0.2529166619412193
0.18,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.1730316808844865,12.224055347740018,2.0,3.0,4.0,0.06234575922300522,0.9994805555555559,survey,0.6505848423278145,0.9999999996978498,0.0,0.25292421254552355
0.19,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173018844722249,12.22955472950755,2.0,3.0,4.0,0.06554376142079177,0.9994500000000004,survey,0.6505864384928534,0.9999999996978588,0.0,0.2529321933706907
0.2,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173433662400832,12.2370494258344,2.0,3.0,4.0,0.07595199923002188,0.9994194444444449,survey,0.6505839831832418,0.9999999996978436,0.0,0.2529199168226789
0.21,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173434956710253,12.243770514355644,2.0,3.0,4.0,0.07961735367915068,0.9993888888888893,survey,0.6505853184383622,0.9999999996978514,0.0,0.2529265930982574
0.22,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173431483792549,12.250765479009035,2.0,3.0,4.0,0.08203842825391425,0.9993583333333338,survey,0.6505867145530387,0.9999999996978596,0.0,0.2529335736716146
0.23,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173425856931383,12.258095744559235,2.0,3.0,4.0,0.08569895446216239,0.9993277777777783,survey,0.6505881779362477,0.9999999996978676,0.0,0.2529408905876357
0.24,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173414909608243,12.265426585358004,2.0,3.0,4.0,0.08816629487079528,0.9992972222222227,survey,0.6505897002714206,0.9999999996978761,0.0,0.252948502263475
0.25,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173467578376485,12.274234268736794,2.0,3.0,4.0,0.09856713587875392,0.9992666666666672,survey,0.6505872702135763,0.9999999996977965,0.0,0.25293635197449216
0.26,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.1734545559975995,12.281647139777201,2.0,3.0,4.0,0.10250592585218168,0.9992361111111117,survey,0.6505885962406438,0.9999999996978014,0.0,0.25294298210981514
0.27,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173439156413628,12.288972458916428,2.0,3.0,4.0,0.10652480125138708,0.9992055555555561,survey,0.6505899752548404,0.9999999996978062,0.0,0.25294987718078377
0.28,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173420303828975,12.296030343293717,2.0,3.0,4.0,0.11056943537805601,0.9991750000000006,survey,0.65059140418492,0.9999999996978113,0.0,0.2529570218311661
0.29,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173399502585781,12.302827300201065,2.0,3.0,4.0,0.11462500652233787,0.9991444444444451,survey,0.6505928868140378,0.9999999996978163,0.0,0.25296443497674026
0.3,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.171880969777509,12.30573421830778,2.0,3.0,4.0,0.0836200599784236,0.9991138888888895,survey,0.6505900307343164,0.999999999697824,0.0,0.25295015457810965
0.31,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.171805408844192,12.311670805723642,2.0,3.0,4.0,0.08647764920209258,0.999083333333334,survey,0.6505913367268763,0.9999999996978293,0.0,0.2529566845408936
0.32,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.171726611416569,12.317052484986128,2.0,3.0,4.0,0.08939004727242861,0.9990527777777785,survey,0.6505926836777908,0.9999999996978347,0.0,0.25296341929544996
0.33,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.171646507761149,12.321890260539197,2.0,3.0,4.0,0.09225546747991015,0.9990222222222229,survey,0.6505940766383516,0.99999999969784,0.0,0.2529703840982378
0.34,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.171564157605331,12.326040950926311,2.0,3.0,4.0,0.0951796694116643,0.9989916666666674,survey,0.6505955129473308,0.9999999996978454,0.0,0.2529775656431177
0.35000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.1729040419897565,12.33312465630575,2.0,3.0,4.0,0.13315909754537814,0.9989611111111119,survey,0.65059366362028,0.999999999697834,0.0,0.25296831900789807
0.36,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172859168518914,12.336016375696607,2.0,3.0,4.0,0.13691925898403498,0.9989305555555563,survey,0.6505949828215213,0.9999999996978388,0.0,0.2529749150140904
0.37,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172811564016806,12.33814919504978,2.0,3.0,4.0,0.14081149050856046,0.9989000000000008,survey,0.6505963374969507,0.9999999996978439,0.0,0.2529816883912217
0.38,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172762499738222,12.339605003562397,2.0,3.0,4.0,0.1446504640991008,0.9988694444444453,survey,0.6505977309649957,0.9999999996978489,0.0,0.25298865573143225
0.39,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172711136985176,12.340333500940101,2.0,3.0,4.0,0.14851657302578217,0.9988388888888897,survey,0.6505991608225763,0.999999999697854,0.0,0.2529958050193195
0.4,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170721341681279,12.336927571609584,2.0,3.0,4.0,0.1247069279102323,0.9988083333333342,survey,0.6505962502923129,0.9999999996977703,0.0,0.2529812523682542
0.41000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170617823714338,12.336241954948727,2.0,3.0,4.0,0.12787125488941997,0.9987777777777787,survey,0.6505975499677897,0.9999999996977733,0.0,0.25298775074562885
0.42,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170512486171348,12.334929503405194,2.0,3.0,4.0,0.1310859845374984,0.9987472222222231,survey,0.6505988825226678,0.9999999996977764,0.0,0.2529944135200102
0.43,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170405324080985,12.33299715164684,2.0,3.0,4.0,0.13426407101855914,0.9987166666666676,survey,0.6506002479328191,0.9999999996977795,0.0,0.2530012405707571
0.44,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170296731552523,12.330518016046009,2.0,3.0,4.0,0.1373541882428359,0.998686111111112,survey,0.6506016472602192,0.9999999996977826,0.0,0.2530082372077481
0.45,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170398204950157,12.328006803705943,2.0,3.0,4.0,0.14525183565606845,0.9986555555555565,survey,0.6505994683853065,0.9999999996977857,0.0,0.2529973428331751
0.46,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170289808676229,12.324438729452602,2.0,3.0,4.0,0.14862943355076338,0.998625000000001,survey,0.650600767185634,0.9999999996977891,0.0,0.25300383683480243
0.47000000000000003,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170179838354898,12.32041578349998,2.0,3.0,4.0,0.15194319492561234,0.9985944444444455,survey,0.6506020960013772,0.9999999996977924,0.0,0.25301048091350875
0.48,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.170068088287882,12.315960897326434,2.0,3.0,4.0,0.15517602471795675,0.9985638888888899,survey,0.6506034543075504,0.9999999996977957,0.0,0.25301727244436467
0.49,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.169954154076832,12.311118824278257,2.0,3.0,4.0,0.1584681215985553,0.9985333333333344,survey,0.6506048410443611,0.9999999996977992,0.0,0.25302420612840826
0.5,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.169507345125082,12.304748980343764,2.0,3.0,4.0,0.1445962032415746,0.9985027777777788,survey,0.6506025113231455,0.9999999996978459,0.0,0.25301255752219
0.51,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.169382731760282,12.299464791221867,2.0,3.0,4.0,0.14754546499772134,0.9984722222222233,survey,0.6506038064361144,0.9999999996978504,0.0,0.2530190330870208
0.52,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.169256109306249,12.294127765059997,2.0,3.0,4.0,0.15046234400392877,0.9984416666666678,survey,0.6506051275865293,0.9999999996978548,0.0,0.25302563883908213
0.53,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.169127282049355,12.288793312429362,2.0,3.0,4.0,0.15338863179408863,0.9984111111111122,survey,0.6506064742660483,0.9999999996978592,0.0,0.2530323722366641
