t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
0.01,4.0,usv1|usv2|usv3|usv4,xy:churn_force,5.172524543960634,12.24769780285903,2.0,3.0,4.0,0.00010324267292577779,1.0,survey,0.4592881867692771,0.9999999992197118,0.0,0.6743054964950808
0.02,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172526193761067,12.239934582271221,2.0,3.0,4.0,0.045865034027671454,0.9999763888888888,survey,0.4592996817447431,0.999999999219715,0.0,0.6743974562987995
0.03,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172533547251909,12.233763247541681,2.0,3.0,4.0,0.044308847304798595,0.9999527777777777,survey,0.459318897975368,0.9999999992197152,0.0,0.6745511861437987
0.04,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.172538449320816,12.228632278957306,2.0,3.0,4.0,0.031244225079492483,0.9999291666666665,survey,0.45934579420580435,0.999999999219714,0.0,0.6747663559872923
0.05,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173459479417404,12.225693873021282,2.0,3.0,4.0,0.04651309356273943,0.9999055555555554,survey,0.45929008953111966,0.9999999992195978,0.0,0.6743207185901634
0.06,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173641588838584,12.222667330319723,2.0,3.0,4.0,0.03734834435710147,0.9998819444444442,survey,0.45929251512903035,0.9999999992195722,0.0,0.6743401233735264
0.07,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173813225917403,12.220072803628524,2.0,3.0,4.0,0.04330285536690275,0.9998583333333331,survey,0.45929533166512726,0.9999999992195474,0.0,0.6743626556623756
0.08,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.173981016284301,12.218297354588593,2.0,3.0,4.0,0.0481423168535976,0.9998347222222219,survey,0.4592985670119079,0.9999999992195219,0.0,0.6743885384366977
0.09,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.17414296764978,12.21718952239496,2.0,3.0,4.0,0.054212545634526564,0.9998111111111108,survey,0.4593022125375349,0.9999999992194962,0.0,0.6744177026417904
0.1,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.174422683262114,12.216356290264295,2.0,3.0,4.0,0.06743015523434565,0.9997874999999996,survey,0.45929616459135675,0.9999999992193237,0.0,0.6743693190728828
0.11,4.0,usv1|usv2|usv3|usv4,xy:dwell_hold,5.174587555194308,12.216600525242189,2.0,3.0,4.0,0.07400993751470042,0.9997638888888885,survey,0.45929851049040027,0.9999999992192825,0.0,0.6743880862653542
