t,err_norm,pos_err,nees_full,nees_pos,active_count,active_set,rank_xy_x,gdop_xy_x,rank_3d_x,gdop_3d_x,mode_x,mode_y,selected,n_active,reason,rank_xy_y,gdop_xy_y,rank_3d_y,gdop_3d_y,score,soc,active_set_str,rank_xy,gdop_xy,rank_3d,gdop_3d
0.01,0.00010278873035170817,0.00010278873035170817,0.00042263118363847696,1.0564466640450741e-08,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040200000038125,1.0,,,,,
0.02,0.013367081779574902,0.013367081779574902,0.29608805136441696,0.19095408670483868,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.04080000036525,1.0,,,,,
0.03,0.012425321318599131,0.012425321318599131,0.2979248625086135,0.12740336392262402,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041800001270376,0.9999911111111112,,,,,
0.04,0.012239636490931259,0.012239636490931259,0.29973439644814004,0.06892789202957948,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.043200003042502,0.9999822222222223,,,,,
0.05,0.026939127734616333,0.026939127734616333,2.9164102795238347,0.303775283333959,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040272319715196,0.9999733333333335,,,,,
0.06,0.024992659283866764,0.024992659283866764,2.633047049124389,0.03565328542913178,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040392138037033,0.9999644444444447,,,,,
0.07,0.02857415231303693,0.02857415231303693,2.624347626327201,0.022403100903385455,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040533741826133,0.9999555555555558,,,,,
0.08,0.03225122431368269,0.03225122431368269,2.634050420179798,0.028663769615456792,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.0406971313715,0.999946666666667,,,,,
0.09,0.03590505712712036,0.03590505712712036,2.6360498130194703,0.015495441046388152,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040882306962132,0.9999377777777781,,,,,
0.1,0.04131233016756872,0.04131233016756872,7.3044020745173235,3.3173580713120345,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040559886078178,0.9999288888888893,,,,,
0.11,0.04381173722603293,0.04381173722603293,7.288206682619455,3.1341918228918058,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040677458337614,0.9999200000000005,,,,,
0.12,0.04073443940240015,0.04073443940240015,6.063040337993121,1.721639353809038,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040806228780593,0.9999111111111116,,,,,
0.13,0.04346013668230945,0.04346013668230945,6.040678725840221,1.5337646114323005,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040946197696114,0.9999022222222228,,,,,
0.14,0.044975800299539015,0.044975800299539015,5.887044735870338,1.2262419638852515,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041097365373181,0.999893333333334,,,,,
0.15,0.043095041006475446,0.043095041006475446,6.335001884969842,1.6566994371898645,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040847739664354,0.9998844444444451,,,,,
0.16,0.04498328722533162,0.04498328722533162,6.404551066664185,1.6010669899866259,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.040964534049625,0.9998755555555563,,,,,
0.17,0.04756036700745591,0.04756036700745591,6.393230630836886,1.4558141181503903,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041088864873439,0.9998666666666675,,,,,
0.18,0.04886064964256728,0.04886064964256728,6.006508700193225,0.949875310328584,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.0412207324248,0.9998577777777786,,,,,
0.19,0.05147848258996715,0.05147848258996715,5.988948687194972,0.8319267619906328,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041360136992706,0.9998488888888898,,,,,
0.2,0.03896796065446349,0.03896796065446349,4.462074297300106,0.12773956113691315,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041135668114013,0.999840000000001,,,,,
0.21,0.040928204301813556,0.040928204301813556,4.423136516490586,0.08523083551537473,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041252067303773,0.9998311111111121,,,,,
0.22,0.043820045576255094,0.043820045576255094,4.874638721751316,0.5485619919450117,0,,0.0,inf,0.0,inf,xy:dwell_hold,xy,[],0,dwell_hold,0,inf,0,inf,12.041374146306412,0.9998222222222233,,,,,
