t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.33930756312273,-229.58320078068047,-5.371411412377436,0.8470266009072251,1.0002000001220002,1.0002000001220002,1.0002000001220002,0.7173106004368482,0.8153216476208892,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.34196984930836,-229.5821728472485,-5.0188502043796515,0.74676215013155,1.0006000012120004,1.0006000012120004,0.0008991912131812085,2.66455271513959,2.965864806828521,nan,0.12535044086362856,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.34474826293132,-229.5810643706203,-5.020331561422835,0.7428793831009883,1.001200004238001,1.001200004238001,0.0010995118252531129,2.5203522984823836,2.7493637777477296,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.34764148017248,-229.5798759998041,-4.993717769528371,0.7376546036843278,1.002000010168002,1.002000010168002,0.0005624656081106611,1.3532476893652507,1.7457845770457499,nan,0.8491448995168794,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.3165687211428,-229.55780548192445,-4.990620341161825,0.7734500416404761,1.0009210094183945,1.0009210094183945,0.0006537127138570228,1.1821595865484538,2.5187547692271854,0.7713238690779718,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.31287170034287,-229.55229953679444,-4.998913806990553,0.7776666527602908,1.0012062473429266,1.0012062473429266,0.00043231587918665605,2.5527998707294612,3.9451611250440686,nan,0.2908213646486906,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.3092860113098,-229.54671628138544,-4.997152198568477,0.7815599737577079,1.00152516620639,1.00152516620639,0.0005964306937173778,1.9560442079696903,3.468546556629127,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.3058104690913,-229.54105656142175,-4.982210717737895,0.7850987049164058,1.001877766976785,1.001877766976785,0.00042086504733437533,1.1053450666273434,2.675267353269019,nan,0.47789957816907397,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.30244383991297,-229.53532129880847,-4.979754410788621,0.7890053903384424,1.0022640506221119,1.0022640506221119,0.0005921963012601953,0.8960279915387679,2.4806934878449822,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.29004387743174,-229.55492867974164,-4.988547405203285,0.7875479076106995,1.0019194355704708,1.0019194355704708,0.0003930998784535813,1.883901706773008,3.5551916537580435,1.0202543242490127,0.2468485383417697,nan
