t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,218.90183290508938,-230.181189248152,-5.465291731796276,1.1984690588016225,1.0002000001220002,1.0002000001220002,1.0002000001220002,1.4360408765543387,1.47476267326159,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,218.90230191420244,-230.18289066682928,-5.031441721123737,1.0945023862870396,1.0006000012120004,1.0006000012120004,0.0008991912131812085,4.699162401103018,4.882989079851522,nan,0.18768211144839336,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,218.90288715237878,-230.18451145473625,-5.0307809159080135,1.093171492231428,1.001200004238001,1.001200004238001,0.0010995118252531129,4.1458669141400515,4.526152856417099,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,218.9035873041737,-230.1860524627143,-5.011820528032478,1.091025527151196,1.002000010168002,1.002000010168002,0.0005624656081106611,3.9541923419364804,4.768640737079663,nan,0.3618393181677749,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,218.8759616346701,-230.1882639486769,-5.01045872714634,1.1176608833132309,1.0009210094183945,1.0009210094183945,0.0006537127138570228,3.620157105485792,5.549110601485639,0.39890065396644425,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,218.87119977877842,-230.18979777688145,-4.992461899514841,1.1214376361637726,1.0012062473429266,1.0012062473429266,0.00043231587918665605,2.434947067155878,4.537766808872621,nan,0.6427207877903472,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,218.86654921342506,-230.19125416030613,-4.989694189977709,1.1256507481780085,1.00152516620639,1.00152516620639,0.0005964306937173778,1.9960848004010285,4.198726743276856,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,218.8620087991063,-230.1926339629739,-4.9786479843905935,1.129759386628874,1.001877766976785,1.001877766976785,0.00042086504733437533,1.5511216640498633,3.7856943868493067,nan,0.1904390485212315,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,218.85757731758662,-230.19393809515796,-4.975524035575467,1.134010919827789,1.0022640506221119,1.0022640506221119,0.0005921963012601953,1.4059445908485921,3.6370914749178658,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,218.85662018563124,-230.19784329222787,-4.970432910593988,1.1355199563624367,1.0019194355704708,1.0019194355704708,0.0003930998784535813,1.331540448000876,5.022091697567031,0.024301196584177873,0.012797197448777909,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,218.8527397499603,-230.19926584154717,-4.967407773511487,1.1395325905609628,1.0022125063897773,1.0022125063897773,0.000538219517512615,1.3017012892505084,4.950440740794601,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,218.84896471916704,-230.20061496106146,-4.960763506315807,1.1435573376114687,1.0025239678558553,1.0025239678558553,0.00039309787743350836,1.351628109716561,4.958446871300645,nan,0.04554995656918207,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,218.84529408919332,-230.20189141146602,-4.957772665155755,1.1475963750738845,1.0028538209367048,1.0028538209367048,0.0005374463045156113,1.400983842215249,4.94309616823272,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,218.84172678687537,-230.2030958860255,-4.953655342939921,1.1516646921617937,1.003202066600326,1.003202066600326,0.0003921609461373206,1.611808321135732,5.107278905544648,nan,0.005007271101928859,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,218.87634016014547,-230.16310679202746,-4.95441788521024,1.10978916579577,1.00292275696796,1.00292275696796,0.0005122342993985896,1.410683446490202,2.1083048705849086,5.450125151101765,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,218.87551607595762,-230.16142790371734,-4.958426038654904,1.1106871138039418,1.0032187661837235,1.0032187661837235,0.00037876786632366386,1.3108025898022302,1.9906210250878382,nan,0.12444114227786686,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,218.87479252735923,-230.15967960879053,-4.956891005932092,1.111630458234688,1.0035274257281714,1.0035274257281714,0.0005098841848685144,1.3290206816446228,1.993199710490714,nan,nan,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,218.87416834643304,-230.15786251736614,-4.969003511383443,1.1125457421809775,1.003848736569304,1.003848736569304,0.0003772555677006615,1.29864921262842,1.940950264392361,nan,0.6740295836757392,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,218.87364262013125,-230.1559773825846,-4.968127005328414,1.1134758349835243,1.0041826996751215,1.0041826996751215,0.0005066933616032682,1.265054311006306,1.8910485824295284,nan,nan,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,218.8922896322997,-230.1432177111621,-4.954849437532476,1.0936001404063442,1.0039274790871762,1.0039274790871762,0.0003693467024991362,1.4420257200487623,1.9530240749825725,0.7993240171102711,0.6183459115147794,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,218.89291218671565,-230.14065812124926,-4.953842431675203,1.0934911055665495,1.0042250261906136,1.0042250261906136,0.0004928233181265843,1.4361332460582905,1.9336877276945152,nan,nan,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,218.89363017340415,-230.13803267098152,-4.974251762576097,1.093346033744767,1.0045322159295231,1.0045322159295231,0.0003679863042851313,1.4073443027882562,1.892496051955295,nan,1.7857457691751812,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,218.8944425603972,-230.13534221705942,-4.973998881624989,1.0932282158664584,1.004849049271905,1.004849049271905,0.000490309495759817,1.3242296722667755,1.8003483579651773,nan,nan,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,218.8953457962534,-230.1325875117681,-4.959767548684699,1.0930928611401467,1.0051755271857599,1.0051755271857599,0.0003665783385598191,1.312924587420755,1.7801739860731312,nan,0.7861831958191711,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,218.9254763851749,-230.14920371731736,-4.960903525203422,1.068518737887973,1.0049327942064132,1.0049327942064132,0.0004815470569767363,1.2200034952869052,2.5161701090041375,2.508393713499102,nan,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,218.92763372688304,-230.14710102976957,-4.970914757975466,1.067389252119347,1.0052312862867367,1.0052312862867367,0.0003618262899390521,1.1553602596569728,2.4575496964920145,nan,0.409220651128698,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,218.92979613495098,-230.14493622168584,-4.971244818268643,1.0662712087860013,1.00553757017778,1.00553757017778,0.00047969231582258536,1.1411700077586409,2.439614323725793,nan,nan,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,218.93195401284984,-230.14270978871747,-4.982251786301489,1.065230504127927,1.0058516468475431,1.0058516468475431,0.0003607966517989783,1.5486631789984089,2.838875692813028,nan,0.46781801177382804,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,218.93410280632136,-230.14042250787065,-4.982866543585795,1.0641141670542045,1.0061735172640265,1.0061735172640265,0.0004779132858010276,1.4265273237693643,2.7202664225817967,nan,nan,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,218.93692339353245,-230.1079913951598,-4.974443868766893,1.0557848560936638,1.0059384155041708,1.0059384155041708,0.00035753539023136255,1.1277177521904393,2.036361468350106,1.676500672327548,0.4005424060912643,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,218.9390714745188,-230.10458068205207,-4.974999755814272,1.0543962949951875,1.0062375464279563,1.0062375464279563,0.00047238798048316,1.1159523253225851,2.043886815106077,nan,nan,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,218.94120698128023,-230.1011114223029,-4.951566536258386,1.0532500973591539,1.0065432156566712,1.0065432156566712,0.00035677733663031636,2.463527249341552,3.3804433782596863,nan,2.4531737564738867,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,218.94332977614195,-230.09758427540189,-4.951675444200518,1.0518880485024258,1.006855424158316,1.006855424158316,0.00047109715233920757,2.2035407566631524,3.1212875980332955,nan,nan,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,218.94544000075513,-230.09399971261317,-4.977515935475874,1.050262512291162,1.007174172900891,1.007174172900891,0.00035606067954097346,1.1082562904387494,2.030749077223872,nan,2.8442385589902437,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,218.9176972608877,-230.10154036921776,-4.97830464637684,1.080394952562994,1.0069442154485562,1.0069442154485562,0.00046711636312508784,1.168612296545256,1.606460650286308,1.8565945627398317,nan,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,218.9189288740932,-230.09816323884255,-4.981396891006962,1.0799359274481817,1.0072438065944689,1.0072438065944689,0.00035384995683708357,1.2114938024925193,1.6382394597171182,nan,0.02797667288720647,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,218.92014860444894,-230.09473086907897,-4.981979107125405,1.0794710818169135,1.0075490310617923,1.0075490310617923,0.0004661516722330198,1.1929763128074218,1.6321243799397023,nan,nan,nan
0.38,219.97567749023438,-229.86183166503906,-4.978655815124512,218.92135658118522,-230.091244009223,-4.97170868629215,1.0790138393557411,1.007859889818527,1.007859889818527,0.00035331107555567015,1.2917441701836823,1.7208436375625429,nan,0.5143585662791067,nan
0.39,219.97622680664062,-229.8575439453125,-4.9794392585754395,218.92255287006384,-230.08770306105464,-4.972101321373742,1.078543382763438,1.0081763838326727,1.0081763838326727,0.00046524171131727583,1.2695045618955434,1.7037745670093523,nan,nan,nan
0.4,219.9767608642578,-229.8531951904297,-4.980207443237305,218.886548809712,-230.04591044102344,-4.9667700795372545,1.10719558093032,1.0079501286991006,1.0079501286991006,0.0003516348819014556,1.729528836163468,1.8021766152991134,5.2498738342190405,0.16880106822195345,nan
0.41000000000000003,219.977294921875,-229.8488006591797,-4.980959892272949,218.88679061239492,-230.04130569934838,-4.967137470776948,1.107451533395929,1.0082500667759717,1.0082500667759717,0.0004624160251938803,1.6294001973001089,1.7037850064603715,nan,nan,nan
0.42,219.97781372070312,-229.84434509277344,-4.9816975593566895,218.88702158090024,-230.03664871522142,-4.970937031124006,1.1076659985890245,1.0085549542434993,1.0085549542434993,0.0003512178997743452,1.5460803486248416,1.6170979697788732,nan,0.05284386017923685,nan
0.43,219.97833251953125,-229.83984375,-4.982419967651367,218.8872419720696,-230.0319399786285,-4.9713208547508385,1.107927224198694,1.0088647920696834,1.0088647920696834,0.00046171346295847255,1.4834058503980658,1.555933641674147,nan,nan,nan
0.44,219.97882080078125,-229.83529663085938,-4.983128547668457,218.88745185222882,-230.02718006356233,-4.979949748396378,1.1081135042833448,1.0091795812225244,1.0091795812225244,0.00035082267871703834,1.2455393586026053,1.315491097496543,nan,0.304343704834968,nan
0.45,219.97930908203125,-229.83070373535156,-4.983822822570801,218.8844072371348,-230.0340940108374,-4.981192636368412,1.1136357447564698,1.0089561183162628,1.0089561183162628,0.00045950149785461524,1.2442242541907764,1.275415672179152,0.6672178289405107,nan,nan
0.46,219.97979736328125,-229.8260498046875,-4.984503269195557,218.88452440912286,-230.02949488898201,-4.985336750147051,1.1140078281255226,1.0092563269665018,1.0092563269665018,0.00034957443388199415,1.231618127241369,1.2645371892724642,nan,0.055681483002290186,nan
0.47000000000000003,219.98025512695312,-229.82135009765625,-4.985169887542725,218.88463190269943,-230.02484650928045,-4.985993098032262,1.1143615736122228,1.0095609500663238,1.0095609500663238,0.00045894459156078075,1.2315172770136624,1.2589740866030017,nan,nan,nan
0.48,219.98072814941406,-229.8166046142578,-4.985823154449463,218.8847297737379,-230.02014942929245,-4.980096245002054,1.1147536627901764,1.0098699885837292,1.0098699885837292,0.00034925957010334874,1.324403709154629,1.3569820560916592,nan,0.1931515716880466,nan
0.49,219.98117065429688,-229.81179809570312,-4.98646354675293,218.88481817659567,-230.01540410763252,-4.980653375681101,1.1151134119645603,1.0101834434867178,1.0101834434867178,0.0004584146162367255,1.304550218592349,1.331756776790433,nan,nan,nan
