t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.58935736952404,-228.97623329746773,-5.554290974020306,1.2187019779450987,1.0002000001220002,1.0002000001220002,1.0002000001220002,1.484937523361461,1.500583623094338,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.58884958931662,-228.97516479613188,-5.009151120219278,1.072685154416643,1.0006000012120004,1.0006000012120004,0.0008991912131812085,2.423088627541796,2.458520312303988,nan,0.2966827512819177,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.58845784582235,-228.97401568391876,-5.008624545272851,1.0715931133072527,1.001200004238001,1.001200004238001,0.0010995118252531129,2.250270699467409,2.3269514719192257,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.58818089260077,-228.9727868301919,-5.0096541377289885,1.0705522031565788,1.002000010168002,1.002000010168002,0.0005624656081106611,3.61459804913076,3.8346126829004876,nan,0.0022112885676062307,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.57421511118847,-228.96642315925973,-5.011292384778193,1.07926899960563,1.0009210094183945,1.0009210094183945,0.0006537127138570228,3.637357249949071,3.785006002936861,0.1164479058339506,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.57140394409862,-228.9640259489032,-5.007231992394621,1.0799969002314869,1.0012062473429266,1.0012062473429266,0.00043231587918665605,4.39045067875416,4.537470299035729,nan,0.0622503442846158,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.5687041034291,-228.9615514023665,-5.007988880569679,1.0808941304632576,1.00152516620639,1.00152516620639,0.0005964306937173778,3.7388152721930585,3.9204277881136407,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.5661144473516,-228.95900025360328,-4.952107529140724,1.0811321909596823,1.001877766976785,1.001877766976785,0.00042086504733437533,1.7549154345699984,1.9726192296415705,nan,8.71173315535506,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.56363375304102,-228.95637337205457,-4.9491702883472835,1.082004485017747,1.0022640506221119,1.0022640506221119,0.0005921963012601953,1.7040688730685,1.8994939747145227,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.6006811185988,-228.99074572958406,-4.953881736512176,1.0338824334234296,1.0019194355704708,1.0019194355704708,0.0003930998784535813,1.4555267353711412,3.690302861367812,3.8450011321571917,0.24881335420484818,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.60235732106855,-228.99167765122553,-4.951302334319713,1.0298673724995655,1.0022125063897773,1.0022125063897773,0.000538219517512615,1.4381745573671587,3.6370117685712957,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.60413919775146,-228.99253618941648,-4.94028321814558,1.0260059440165563,1.0025239678558553,1.0025239678558553,0.00039309787743350836,2.6125668812047325,4.820844990257467,nan,0.23964035719403942,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,219.6060255564235,-228.99332209533938,-4.937506976251909,1.0220176986908418,1.0028538209367048,1.0028538209367048,0.0005374463045156113,2.410833431570612,4.5910443659047,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,219.60801529262255,-228.99403614794642,-4.953269400522462,1.017666258946202,1.003202066600326,1.003202066600326,0.0003921609461373206,1.3434046165701483,3.5152053428908308,nan,1.1220599978807377,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,219.60499805566516,-228.95910230556237,-4.953469841932148,1.0487626078212318,1.00292275696796,1.00292275696796,0.0005122342993985896,1.3168862151683411,2.282565926377991,2.1663279850893287,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,219.60685082928828,-228.957302653211,-4.9830463605098325,1.0471883567272042,1.0032187661837235,1.0032187661837235,0.00037876786632366386,2.0534223976450834,3.0160526119865745,nan,3.427688986641504,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,219.60880396595437,-228.9554334902448,-4.983098307836385,1.045493704674349,1.0035274257281714,1.0035274257281714,0.0005098841848685144,1.8080451386503564,2.77149507166048,nan,nan,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,219.61085658351465,-228.9534955820708,-4.988260910235703,1.0439100370247023,1.003848736569304,1.003848736569304,0.0003772555677006615,2.641778517421072,3.609422245718943,nan,0.09219201554377258,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,219.61300774886737,-228.95148980810188,-4.988682362000828,1.0422379726835178,1.0041826996751215,1.0041826996751215,0.0005066933616032682,2.2638888494709932,3.2256717593218687,nan,nan,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,219.64092694295738,-228.90267303485152,-4.97327463932356,1.076442869362289,1.0039274790871762,1.0039274790871762,0.0003693467024991362,1.3637846891230314,4.003678686107302,4.741767559089953,1.0542902690977052,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,219.64455630281157,-228.89819525567964,-4.9735405628464004,1.0766660483489237,1.0042250261906136,1.0042250261906136,0.0004928233181265843,1.3077461451150327,3.954796923432075,nan,nan,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,219.64828109136798,-228.8936517429677,-4.989106033184332,1.077132544154777,1.0045322159295231,1.0045322159295231,0.0003679863042851313,2.693556942899111,5.345578967341173,nan,0.9080544657835943,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,219.65210015095244,-228.88904333227148,-4.989964768140737,1.0773819335636527,1.004849049271905,1.004849049271905,0.000490309495759817,2.3390678478027827,4.965902330740999,nan,nan,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,219.6560098120944,-228.88437076831826,-4.977516962722767,1.0774213869043914,1.0051755271857599,1.0051755271857599,0.0003665783385598191,1.484818442088693,4.1269634301472635,nan,0.71289215795589,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,219.65222943474248,-228.90279568396417,-4.978198279953428,1.0577900555773507,1.0049327942064132,1.0049327942064132,0.0004815470569767363,1.3617536885301276,3.7574232881731255,1.030648326250494,nan,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,219.65591532307866,-228.89892438059877,-4.965882087892824,1.057162440606027,1.0052312862867367,1.0052312862867367,0.0003618262899390521,1.1253034665741255,3.539260055469677,nan,0.7067666534888195,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,219.6596061881173,-228.894990958566,-4.966478560340982,1.0565976421119425,1.00553757017778,1.00553757017778,0.00047969231582258536,1.1235013487998082,3.5353905178227243,nan,nan,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,219.66329248806005,-228.89099617899038,-4.987360406609779,1.0561829331492834,1.0058516468475431,1.0058516468475431,0.0003607966517989783,1.9506543175194255,4.3508531456911985,nan,1.6961704895182046,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,219.66696962288344,-228.88694079245826,-4.988439891178028,1.0556360592007212,1.0061735172640265,1.0061735172640265,0.0004779132858010276,1.75336761382622,4.161133606173588,nan,nan,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,219.62494189831273,-228.87283522096686,-4.951045673066222,1.0785084100041276,1.0059384155041708,1.0059384155041708,0.00035753539023136255,2.360068544098408,3.170597886556169,3.8743164140288546,6.302531449706116,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,219.62707007314842,-228.8683273525191,-4.951430804499895,1.078670487610503,1.0062375464279563,1.0062375464279563,0.00047238798048316,2.114422315095688,2.939719624501506,nan,nan,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,219.6291855370157,-228.863760810466,-4.951481044889537,1.0788435593928067,1.0065432156566712,1.0065432156566712,0.00035677733663031636,2.5283208064684235,3.340306734519885,nan,0.00044179556022228586,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,219.6312885267745,-228.85913643532845,-4.9518324298729635,1.0790235325615658,1.006855424158316,1.006855424158316,0.00047109715233920757,2.245822894267832,3.0639142657374636,nan,nan,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,219.63337914425264,-228.85445496516095,-4.965738617371808,1.0789951967502347,1.007174172900891,1.007174172900891,0.00035606067954097346,1.4157764011877905,2.2344532296626043,nan,0.7901243078789248,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,219.6228368223932,-228.85445413003853,-4.966360836712434,1.078705857043625,1.0069442154485562,1.0069442154485562,0.00046711636312508784,1.3630597622532916,1.9215850530806606,0.3292258726930571,nan,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,219.62454185988022,-228.84979586075409,-4.9589874528237265,1.0789604386414748,1.0072438065944689,1.0072438065944689,0.00035384995683708357,2.0764856541091414,2.627808013234938,nan,0.27383117141405433,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,219.62623496194098,-228.845082101262,-4.959401764805433,1.0790963305100465,1.0075490310617923,1.0075490310617923,0.0004661516722330198,1.8859739677391227,2.4328798613981957,nan,nan,nan
0.38,219.97567749023438,-229.86183166503906,-4.978655815124512,219.62791628107541,-228.84031351390692,-4.986889766493964,1.0791223237628282,1.007859889818527,1.007859889818527,0.00035331107555567015,1.3472493123170122,1.9040056321256844,nan,3.213798829085574,nan
0.39,219.97622680664062,-229.8575439453125,-4.9794392585754395,219.62958606570078,-228.83549079948747,-4.9876713821136445,1.0792683651567423,1.0081763838326727,1.0081763838326727,0.00046524171131727583,1.3009678218221552,1.8581811514725466,nan,nan,nan
0.4,219.9767608642578,-229.8531951904297,-4.980207443237305,219.6077429408818,-228.8145390461771,-4.99620188492601,1.1023777192647533,1.0079501286991006,1.0079501286991006,0.0003516348819014556,1.9329198955167208,2.386853213260055,1.5318295110664677,0.29630608092415167,nan
0.41000000000000003,219.977294921875,-229.8488006591797,-4.980959892272949,219.6088017069078,-228.80920690880004,-4.996986560716314,1.10308624749232,1.0082500667759717,1.0082500667759717,0.0004624160251938803,1.7620490565795888,2.2135981010331145,nan,nan,nan
0.42,219.97781372070312,-229.84434509277344,-4.9816975593566895,219.609849739307,-228.80382244365003,-5.0108603206774625,1.1040540483108237,1.0085549542434993,1.0085549542434993,0.0003512178997743452,3.629231262495812,4.074796313955601,nan,0.7638513194600961,nan
0.43,219.97833251953125,-229.83984375,-4.982419967651367,219.61088716621157,-228.79838613278855,-5.01178724360325,1.10476807204988,1.0088647920696834,1.0088647920696834,0.00046171346295847255,3.0768381388348836,3.519474682016783,nan,nan,nan
0.44,219.97882080078125,-229.83529663085938,-4.983128547668457,219.61191422107123,-228.79289873154949,-5.002316399118074,1.105252004007877,1.0091795812225244,1.0091795812225244,0.00035082267871703834,2.259563489467169,2.7130824306705006,nan,0.4811467316611792,nan
0.45,219.97930908203125,-229.83070373535156,-4.983822822570801,219.56934022846517,-228.7860911639931,-5.003295805389794,1.1223498038465167,1.0089561183162628,1.0089561183162628,0.00045950149785461524,2.073347392261939,2.525256896261917,3.529865559171767,nan,nan
0.46,219.97979736328125,-229.8260498046875,-4.984503269195557,219.56937572963247,-228.78047491754685,-5.000014590330234,1.1233491723722642,1.0092563269665018,1.0092563269665018,0.00034957443388199415,1.9383699491560118,2.3823624351993544,nan,0.07516914466295203,nan
0.47000000000000003,219.98025512695312,-229.82135009765625,-4.985169887542725,219.56940146626255,-228.77480914238564,-5.000758173535261,1.1244072643938958,1.0095609500663238,1.0095609500663238,0.00045894459156078075,1.7815416953416476,2.2180335706391645,nan,nan,nan
0.48,219.98072814941406,-229.8166046142578,-4.985823154449463,219.5694174866389,-228.7690943928743,-4.977902663931107,1.125396312143195,1.0098699885837292,1.0098699885837292,0.00034925957010334874,1.4336968809008421,1.8793421700484851,nan,2.5117543683404637,nan
0.49,219.98117065429688,-229.81179809570312,-4.98646354675293,219.56942400923714,-228.76333130229432,-4.978352450797887,1.1264473829151922,1.0101834434867178,1.0101834434867178,0.0004584146162367255,1.3995433335575944,1.8243080613776437,nan,nan,nan
0.5,219.9816131591797,-229.8069610595703,-4.987091064453125,219.557958548361,-228.77391450572514,-4.9679852832135785,1.1167065158563747,1.0099621618428198,1.0099621618428198,0.00034825127553137544,2.282553858490715,2.6559675078275995,0.7552833337856526,0.546709693360132,nan
0.51,219.9820556640625,-229.80206298828125,-4.987706184387207,219.55771708917396,-228.76838577290312,-4.968325052564812,1.1175542223986472,1.0102625871623085,1.0102625871623085,0.0004567158014179405,2.0583237694550514,2.427504334860707,nan,nan,nan
0.52,219.9824676513672,-229.79713439941406,-4.988308906555176,219.55746691920544,-228.76281018265104,-4.979732000594516,1.118269095985544,1.0105669971699776,1.0105669971699776,0.00034799502931066233,1.4487687081548846,1.811136088008293,nan,0.5594589627488447,nan
0.53,219.98289489746094,-229.79214477539062,-4.988899230957031,219.55720811065305,-228.7571883998513,-4.980163879565742,1.1191158322963157,1.010875392833827,1.010875392833827,0.0004562847541619183,1.4061048200755084,1.77312281429271,nan,nan,nan
0.54,219.98329162597656,-229.78712463378906,-4.98947811126709,219.5569408381204,-228.75152098471747,-4.9760875149326385,1.1200130447214252,1.011187775121857,1.011187775121857,0.00034775000616089164,1.7559963845193698,2.1153497972882502,nan,0.09236456615699741,nan
0.55,219.9836883544922,-229.78204345703125,-4.990045547485352,219.57481482230224,-228.75111791827297,-4.976686404040872,1.1091273590093726,1.010968244839992,1.010968244839992,0.0004548841863860854,1.608975017909638,1.7760144517445784,0.7228571709345606,nan,nan
0.56,219.9840850830078,-229.7769317626953,-4.990601539611816,219.57486274117335,-228.74545782137295,-4.986633525510496,1.109692372605794,1.011268847360868,1.011268847360868,0.0003469515145909037,1.263060943915669,1.438419919316077,nan,0.4180670488792294,nan
0.5700000000000001,219.98446655273438,-229.7717742919922,-4.991146564483643,219.57490276211684,-228.739753779071,-4.987121969615072,1.1103265443278192,1.0115730818210922,1.0115730818210922,0.00045452722979223324,1.2543402981017024,1.4248963778638901,nan,nan,nan
0.58,219.98484802246094,-229.76657104492188,-4.991680145263672,219.5749347922843,-228.73400601377594,-4.9926196004950985,1.1109546716204886,1.0118809491886647,1.0118809491886647,0.0003467479325394774,1.2222731709311583,1.3931783818474452,nan,0.11592252231502193,nan
0.59,219.98521423339844,-229.76132202148438,-4.992203712463379,219.57495896951227,-228.7282151164052,-4.993135103994957,1.1115845115683956,1.0121924504315856,1.0121924504315856,0.00045418476909795286,1.2226454957758202,1.3881252564576387,nan,nan,nan
0.6,219.98558044433594,-229.7560272216797,-4.992716312408447,219.55285135914002,-228.7207939459608,-4.974266828483509,1.1221866064907673,1.0119743576018685,1.0119743576018685,0.0003460760821666592,2.2276164544018235,2.673815442182723,1.3380369429583145,1.6089060663027304,nan
0.61,219.98593139648438,-229.75070190429688,-4.993218898773193,219.55249035647026,-228.71489202448012,-4.974464921328132,1.1229981985580055,1.0122751075603786,1.0122751075603786,0.0004530527831229489,2.0217997797089273,2.4657245460432113,nan,nan,nan
0.62,219.9862823486328,-229.74533081054688,-4.993711471557617,219.55212241542347,-228.70894848547482,-4.989569548288331,1.1236548966895787,1.0125791947880722,1.0125791947880722,0.00034590444514273546,1.296494344943571,1.741172625364346,nan,1.0302829802287843,nan
0.63,219.9866180419922,-229.7399139404297,-4.994194030761719,219.55174746017585,-228.70296394903588,-4.989878255901337,1.1244537934008467,1.0128866202529496,1.0128866202529496,0.00045276419305261906,1.2894296689605507,1.7222412507908529,nan,nan,nan
0.64,219.98695373535156,-229.73446655273438,-4.994667053222656,219.55136558172953,-228.69693895644792,-4.992806924206833,1.1252573095571308,1.013197384923011,1.013197384923011,0.00034573922617859204,1.2597154531060943,1.7015484782030794,nan,0.03204286996504197,nan
0.65,219.98727416992188,-229.72897338867188,-4.995131015777588,219.52934769320734,-228.7336621186451,-4.9925648001803795,1.09560383706018,1.012980493362996,1.012980493362996,0.0004517985326116355,1.199535923455073,1.9576332114941857,4.778018103743235,nan,nan
0.66,219.9875946044922,-229.7234344482422,-4.995584964752197,219.52861743124797,-228.72821980816497,-5.0107016279634164,1.09605690495062,1.0132813677594898,1.0132813677594898,0.0003451848812589422,1.8473721358965272,2.6132299795956273,nan,1.5018775966222713,nan
0.67,219.98789978027344,-229.71786499023438,-4.996030330657959,219.52788068047886,-228.7227383560254,-5.011014704133185,1.0964119306795077,1.013585329636203,1.013585329636203,0.0004515522959467156,1.6830288157176194,2.433596032303913,nan,nan,nan
