t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,249.97708129882812,-149.97702026367188,-4.976943492889404,249.27195576650885,-148.87765330112003,-4.408491483013202,1.4244112545930305,1.0001000000190625,1.0001000000190625,1.0001000000190625,2.0287445477178467,2.0480102129099467,nan,nan,nan
0.02,249.97544860839844,-149.9753875732422,-4.975301265716553,249.27145619453378,-148.8786440618612,-4.925675252998958,1.3041910863341841,1.0004000001826252,1.0004000001826252,0.0008991910516330248,4.436613338141323,4.605867497604007,nan,0.2668071688709597,nan
0.03,249.97393798828125,-149.97386169433594,-4.973775386810303,249.27107263730156,-148.87975135191212,-4.926675237535167,1.3012745932616645,1.0009000006351882,1.0009000006351882,0.0009995107999378019,3.9090863691574422,4.612934765461764,nan,nan,nan
0.04,249.9725341796875,-149.9724578857422,-4.9723639488220215,249.27080389886882,-148.8809740167189,-4.974035024448943,1.297599790324289,1.0016000015212516,1.0016000015212516,0.0005317765199244777,1.6863239587977243,3.0962434204018816,nan,2.7845375590802357,nan
0.05,249.9712371826172,-149.97116088867188,-4.971066474914551,249.23837909555613,-148.8983849453737,-4.964666672146171,1.299219056882086,1.000136159857599,1.000136159857599,0.00047135043475060633,1.7745932989922457,13.470371835812708,1.5761290873466849,nan,nan
0.06,249.97006225585938,-149.96998596191406,-4.969881534576416,249.23188214080204,-148.9030492511518,-4.9577748946002504,1.2974630621985994,1.0001960690185168,1.0001960690185168,0.0003207125249314022,2.139949781696646,13.86465255562742,nan,0.23817685074105024,nan
0.07,249.968994140625,-149.9689178466797,-4.968807697296143,249.22549634971185,-148.90782509134064,-4.957288341326149,1.2957003882409361,1.000266870913067,1.000266870913067,0.0003466969814233004,2.061001112112993,13.872407747260985,nan,nan,nan
0.08,249.96803283691406,-149.96795654296875,-4.967844009399414,249.21922038262343,-148.91271119404266,-4.9637712180959035,1.2939394984928425,1.0003485656857503,1.0003485656857503,0.00026870186355409443,1.735411918192905,13.628977978205478,nan,0.41120946122246027,nan
0.09,249.96719360351562,-149.96710205078125,-4.966989040374756,249.21305328362135,-148.91770629760035,-4.963878772287233,1.292272704444357,1.0004411534810664,1.0004411534810664,0.00030271740266169536,1.701179115777753,13.662888177575415,nan,nan,nan
0.1,249.96644592285156,-149.9663543701172,-4.966241836547852,249.21931776667992,-148.90892990195943,-4.964994979176575,1.294738793060773,1.0002799430390896,1.0002799430390896,0.0002198198410369,1.68295023481423,14.818771599786464,1.9295453557954687,0.6523285382771783,nan
0.11,249.96580505371094,-149.96571350097656,-4.965601444244385,249.2145974342179,-148.9127519045803,-4.964447171112005,1.2934613807208384,1.0003387291688073,1.0003387291688073,0.00024222993303413308,1.6779748330038082,14.81927584857792,nan,nan,nan
0.12,249.96527099609375,-149.96517944335938,-4.965066432952881,249.2099825525291,-148.9166794540809,-4.954215788955228,1.292257945216204,1.0004031143902965,1.0004031143902965,0.00020746689984599585,2.236635231893573,15.384056423259512,nan,1.5423021855165144,nan
0.13,249.96484375,-149.96475219726562,-4.964635848999023,249.20547205908926,-148.92071160759926,-4.953338569696852,1.2910436655462747,1.0004730988480575,1.0004730988480575,0.000232756991578682,2.214211766928454,15.389711612669235,nan,nan,nan
0.14,249.9645233154297,-149.9644317626953,-4.964308738708496,249.20106502187244,-148.92484736887351,-4.954342451436816,1.2898463492839618,1.0005486826865908,1.0005486826865908,0.00020331264016074373,2.1512345686098033,15.358706420163855,nan,0.053177950139757464,nan
0.15,249.9643096923828,-149.96420288085938,-4.964083671569824,249.2450876225226,-148.90048258933828,-4.957555924590471,1.2840653627632705,1.000423869832177,1.000423869832177,0.0002033478705987416,1.8576323489595064,6.2708366480285695,15.83748050597866,nan,nan
0.16,249.9641876220703,-149.96408081054688,-4.96396017074585,249.24410638596967,-148.90291518467345,-4.9655706213747255,1.282416494618967,1.0004822670248124,1.0004822670248124,0.000180793006185342,1.6581421410695867,6.092095722198616,nan,1.38463429485692,nan
0.17,249.9641571044922,-149.9640655517578,-4.963936805725098,249.24322545942945,-148.90544835422781,-4.966182470731389,1.2807879804130138,1.00054443243672,1.00054443243672,0.00020170039831695133,1.6645226854612658,6.070910400221347,nan,nan,nan
0.18,249.9642333984375,-149.96414184570312,-4.964012145996094,249.24244394473146,-148.90808110277672,-4.962539060621479,1.2791585039439217,1.0006103662124004,1.0006103662124004,0.00018025314004452552,1.6472847263638823,6.078661083243626,nan,0.42033143303758685,nan
0.19,249.96441650390625,-149.9643096923828,-4.964186668395996,249.24176087605096,-148.91081234950315,-4.963108890763767,1.2775323751396923,1.0006800684963535,1.0006800684963535,0.00020157169349108254,1.6367413675831828,6.10896803979915,nan,nan,nan
0.2,249.9646759033203,-149.96458435058594,-4.9644575119018555,249.2520617507287,-148.88219984438976,-4.9705093147950175,1.295921206727347,1.0005678340570063,1.0005678340570063,0.00016562430288462397,1.8995509745286328,3.2097092085322974,5.964062627722584,1.1268502688534048,nan
0.21,249.9650421142578,-149.96495056152344,-4.96482515335083,249.2521173082606,-148.88355262770406,-4.971629144207181,1.2952720040850636,1.0006260336518868,1.0006260336518868,0.00018336416277337354,1.9291055030510647,3.2225531974691224,nan,nan,nan
0.22,249.96551513671875,-149.9654083251953,-4.965288162231445,249.25226852973344,-148.885001007305,-4.966509917520479,1.2946050315107673,1.0006870731532063,1.0006870731532063,0.00016562046358189022,1.6838626410359803,2.9626329457914897,nan,1.07474123064611,nan
0.23,249.966064453125,-149.96592712402344,-4.965845108032227,249.25251412310027,-148.88652198008828,-4.967501904288572,1.293936738486826,1.0007509527054648,1.0007509527054648,0.00018322045245407794,1.6879949935176077,2.94807368218344,nan,nan,nan
0.24,249.9667205810547,-149.96646118164062,-4.966495990753174,249.25285104743344,-148.88807767702363,-4.962330225805896,1.2932664256294009,1.0008176724531628,1.0008176724531628,0.00016530434522311815,1.7761339192852508,3.048603203052652,nan,1.0531795003872935,nan
0.25,249.96739196777344,-149.9669952392578,-4.967238903045654,249.25578849760342,-148.84670961608418,-4.962713273991077,1.3271924719368622,1.0007118135101392,1.0007118135101392,0.0001701416150091115,1.880544530676411,2.6733134532835896,10.564919550674295,nan,nan
0.26,249.9680938720703,-149.967529296875,-4.968072891235352,249.25631452304214,-148.84655984282705,-4.969790814765054,1.3278574132311014,1.0007698933505491,1.0007698933505491,0.00015459730526529573,1.7809359167167902,2.6054791384465337,nan,1.1816203724235543,nan
0.27,249.96878051757812,-149.96804809570312,-4.968997955322266,249.25684575562374,-148.84640517781187,-4.971088217711934,1.3285098079169375,1.0008302519759107,1.0008302519759107,0.00016941993433804899,1.7892589707095021,2.5972019525979935,nan,nan,nan
0.28,249.96946716308594,-149.96856689453125,-4.970012187957764,249.25737262732937,-148.8462427366775,-4.970121413290156,1.3291689716084387,1.000892889530724,1.000892889530724,0.00015375146915452432,1.7651916851450657,2.584555512189036,nan,0.17510708347766984,nan
0.29,249.9701385498047,-149.96908569335938,-4.971115589141846,249.25789025512313,-148.84607128499388,-4.971494584967821,1.329834252195032,1.0009578061594893,1.0009578061594893,0.00016804784254403524,1.767621518282507,2.601152555499654,nan,nan,nan
0.3,249.97080993652344,-149.96957397460938,-4.972306251525879,249.26381604201111,-148.90360661892677,-4.96582765573034,1.2791281180797107,1.0008558006496362,1.0008558006496362,0.00014536977428052428,1.923454938830741,4.005630773310114,20.072797550942063,1.14905759321387,nan
0.31,249.97145080566406,-149.97006225585938,-4.973583698272705,249.264490608085,-148.9053410406803,-4.96704315269301,1.2780715025967524,1.0009138000273874,1.0009138000273874,0.00015800380722330657,1.9026776995866455,3.9934531052424886,nan,nan,nan
0.32,249.9720916748047,-149.97055053710938,-4.974947452545166,249.26515257370343,-148.90706577134816,-4.972524731896426,1.2770155086166275,1.0009737024100318,1.0009737024100318,0.0001440576086840928,1.6699210462393388,3.763760845105491,nan,0.6360340117021034,nan
0.33,249.97271728515625,-149.97100830078125,-4.976396083831787,249.26580194011814,-148.9087809508597,-4.974084070319919,1.2759551690315007,1.0010355079420696,1.0010355079420696,0.00015615947696313384,1.6606025594971947,3.831611018363353,nan,nan,nan
0.34,249.97332763671875,-149.9714813232422,-4.977928638458252,249.26643884908796,-148.91048677538794,-4.97628697068408,1.274913284787499,1.001099216768001,1.001099216768001,0.00014231320052167967,1.6425541005643864,3.7672774338415334,nan,0.011646687272664075,nan
0.35000000000000003,249.97393798828125,-149.971923828125,-4.979544639587402,249.27274151742768,-148.9224568081706,-4.978348514767833,1.2621643900158344,1.0009997922080285,1.0009997922080285,0.00014806836890546993,1.6011289078305309,5.170986463644424,0.8515285537715455,nan,nan
0.36,249.97451782226562,-149.9723663330078,-4.981243133544922,249.27351586167347,-148.92443810435478,-4.987891438453094,1.260794004237044,1.0010577337130937,1.0010577337130937,0.00013555602334560014,1.9139419091508938,5.472883085255645,nan,2.4597447095892253,nan
0.37,249.97509765625,-149.97279357910156,-4.983023166656494,249.27427804786217,-148.92641035005198,-4.990113379697172,1.2594110753276968,1.0011173090006462,1.0011173090006462,0.00014592245031665502,1.9288015722836418,5.497244340612797,nan,nan,nan
0.38,249.9756622314453,-149.9732208251953,-4.984883785247803,249.27502848447818,-148.92837397440968,-4.991935947005675,1.2580311291741986,1.0011785182151862,1.0011785182151862,0.00013359509905498424,1.9529962115713528,5.483076751389079,nan,0.009947347981241694,nan
0.39,249.97621154785156,-149.9736328125,-4.986824035644531,249.27576741472785,-148.93032905840226,-4.99430371892003,1.2566465901771091,1.0012413615012141,1.0012413615012141,0.00014344814323119187,1.9671530742395957,5.51761385075666,nan,nan,nan
0.4,249.9767608642578,-149.9740447998047,-4.9888434410095215,249.26357577417176,-148.91341895091008,-4.99129218531084,1.2781103866306331,1.0011437865398718,1.0011437865398718,0.00012792940450190527,1.6785661798181415,3.702920542774029,4.051418559177762,0.5732994459163115,nan
0.41000000000000003,249.97727966308594,-149.9744415283203,-4.990941047668457,249.2639692501451,-148.91488540587866,-4.9936017932958645,1.2772932323396653,1.0012016843516187,1.0012016843516187,0.00013689469498271757,1.6812281865527707,3.7261121632746987,nan,nan,nan
0.42,249.97781372070312,-149.97483825683594,-4.9931159019470215,249.26435199330044,-148.91634384906772,-4.99501144199194,1.276495844418261,1.0012610136076117,1.0012610136076117,0.00012585916837681575,1.6559342457434654,3.6911344519608646,nan,0.04681652662084678,nan
0.43,249.9783172607422,-149.9752197265625,-4.995367050170898,249.26472418382406,-148.91779438179128,-4.99744552625906,1.2756832519292798,1.0013217744523508,1.0013217744523508,0.00013437434051055236,1.6573647338723052,3.7165569237940783,nan,nan,nan
