t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,220.98803848865992,-229.9446099389187,-5.840578391895708,1.3300188373120299,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.7687732302481018,1.8078524504732323,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,220.98929621608315,-229.94300365383197,-4.998673782067024,1.0146275947799919,1.0004000001826252,1.0004000001826252,0.0008991910516330248,1.6360292223913153,1.725403050779144,nan,0.7085441021548397,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,220.99067017594922,-229.94131694285096,-4.998259299921989,1.0175286650179145,1.0009000006351882,1.0009000006351882,0.0009995107999378019,1.6335900719123226,1.7219492183860576,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,220.99215902501385,-229.93955067015065,-4.999541771151718,1.0204799867266645,1.0016000015212516,1.0016000015212516,0.0005317765199244777,2.4279229947854253,2.604031490855136,nan,0.003252256784679538,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,220.9604313256128,-229.93528572658033,-4.999000702168716,0.9901697084589229,1.000136159857599,1.000136159857599,0.00047135043475060633,2.6349667318632375,5.260703964974895,0.47362011025947265,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,220.9554804189585,-229.93287851235516,-4.979138059984082,0.986054131384353,1.0001960690185168,1.0001960690185168,0.0003207125249314022,1.2391642813177117,3.847015812877781,nan,2.193874723222617,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,220.95064078533662,-229.93039397432372,-4.978485291433014,0.9822980751266253,1.000266870913067,1.000266870913067,0.0003466969814233004,1.2346426404648532,3.8384286474818095,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,220.94591135335364,-229.92783300379003,-4.98526002977032,0.9786486370504625,1.0003485656857503,1.0003485656857503,0.00026870186355409443,2.085757268929858,4.693747289585538,nan,0.46797087045042396,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,220.9412908910889,-229.92519640980962,-4.985226425383792,0.974894547105509,1.0004411534810664,1.0004411534810664,0.00030271740266169536,2.048102466896593,4.705264216162516,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,220.9244141640585,-229.9191731522119,-4.9788739467434056,0.9588253202113647,1.0002799430390896,1.0002799430390896,0.0002198198410369,1.644514045571428,10.627414538735595,0.6227289375577194,0.5018313134105361,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,220.91877166525543,-229.91605577869032,-4.978696007733659,0.9538435644909369,1.0003387291688073,1.0003387291688073,0.00024222993303413308,1.6167969840004144,10.682887826842423,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,220.9132346901817,-229.91286501016685,-4.967994183057534,0.948783696615692,1.0004031143902965,1.0004031143902965,0.00020746689984599585,0.9409874127623579,9.980423471427288,nan,1.8184509242793878,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,220.90780209130483,-229.90960164143073,-4.967440576562252,0.9438075288318512,1.0004730988480575,1.0004730988480575,0.000232756991578682,0.9239914080899141,9.992569180290058,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,220.90247288307395,-229.90626642222486,-4.970953793058607,0.938848104379031,1.0005486826865908,1.0005486826865908,0.00020331264016074373,1.0975963718102144,10.191215100732421,nan,0.2645371515571142,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,220.8953161042643,-229.8640194575278,-4.974988234154974,0.9345278957303611,1.000423869832177,1.000423869832177,0.0002033478705987416,1.4566413649209171,20.827507658597856,7.976215161410089,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,220.89006184851365,-229.85795314748034,-4.966774738786425,0.9296359549946047,1.0004822670248124,1.0004822670248124,0.000180793006185342,0.9072894686275321,20.281964259174114,nan,1.7059696571927643,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,220.88490777482835,-229.85181729091815,-4.966993058013444,0.9248110294785904,1.00054443243672,1.00054443243672,0.00020170039831695133,0.9007498992119123,20.295053329265563,nan,nan,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,220.87985296096662,-229.84561277832861,-4.9714924374621114,0.9200333725959421,1.0006103662124004,1.0006103662124004,0.00018025314004452552,1.1551264296326964,20.540010791216215,nan,0.3870908623777982,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,220.87489662613442,-229.83934040574073,-4.972143831662034,0.9152416364458339,1.0006800684963535,1.0006800684963535,0.00020157169349108254,1.1499451768254514,20.605692600901804,nan,nan,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,220.945779498851,-229.84335361510358,-4.97082616223248,0.9848448780550978,1.0005678340570063,1.0005678340570063,0.00016562430288462397,1.212900123705195,7.572779642520431,31.95494862059591,0.040690416573059794,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,220.94480508057407,-229.837465314291,-4.971406334809042,0.9837473911541813,1.0006260336518868,1.0006260336518868,0.00018336416277337354,1.2020187907689197,7.5792948359174686,nan,nan,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,220.94392599968208,-229.83151115814817,-4.981225190924097,0.9827675839334493,1.0006870731532063,1.0006870731532063,0.00016562046358189022,2.4948070243782867,8.889043618165518,nan,2.237515582230989,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,220.94314125332988,-229.8254918236766,-4.982460159636147,0.9816865129936361,1.0007509527054648,1.0007509527054648,0.00018322045245407794,2.4657028231921942,8.859207248057395,nan,nan,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,220.94244722827494,-229.819408128503,-4.983973561747441,0.9806317684287708,1.0008176724531628,1.0008176724531628,0.00016530434522311815,2.8040120983784966,9.208111920295211,nan,0.0009111817945553688,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,220.9616196705936,-229.8097662286854,-4.9844963974818315,0.9996371022394316,1.0007118135101392,1.0007118135101392,0.0001701416150091115,2.744347217386985,10.135248750573547,2.372445437249773,nan,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,220.96180484607768,-229.80341632361927,-4.982107941300251,0.9993807324174768,1.0007698933505491,1.0007698933505491,0.00015459730526529573,2.2679837671958727,9.682354494162546,nan,0.4592027350079962,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,220.96199503867024,-229.79700441988786,-4.983462028271624,0.9991943331574805,1.0008302519759107,1.0008302519759107,0.00016941993433804899,2.231802144721625,9.675795611401139,nan,nan,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,220.9621806659106,-229.79053132351277,-4.981801407982841,0.9989709839204151,1.000892889530724,1.000892889530724,0.00015375146915452432,1.9132758163997734,9.390095131592595,nan,0.2964212544374086,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,220.96235716175067,-229.78399776682056,-4.983083842197246,0.998800117546203,1.0009578061594893,1.0009578061594893,0.00016804784254403524,1.8846224249484385,9.379059069967088,nan,nan,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,220.96147275579708,-229.77140708132032,-4.979744352244281,0.9982561275439389,1.0008558006496362,1.0008558006496362,0.00014536977428052428,1.4302908183083172,11.742681437100847,0.5356163504372867,0.2878345703522436,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,220.96159089008887,-229.76455426225615,-4.9807787051803505,0.9981128437103125,1.0009138000273874,1.0009138000273874,0.00015800380722330657,1.4072818655833987,11.707845340500963,nan,nan,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,220.9616965651592,-229.75764257355,-4.972183320147196,0.9979336868521109,1.0009737024100318,1.0009737024100318,0.0001440576086840928,1.0090191070984682,11.32620109072357,nan,3.3687009635916283,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,220.96178959393438,-229.7506728780148,-4.972798578629777,0.997800065729142,1.0010355079420696,1.0010355079420696,0.00015615947696313384,1.0129479074847036,11.39730947280927,nan,nan,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,220.9618700351116,-229.7436459813355,-4.975635004355947,0.9976761484992663,1.001099216768001,1.001099216768001,0.00014231320052167967,0.9948001391113066,11.342211042877256,nan,0.18721233653235492,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,220.95464746224928,-229.7425397934842,-4.976568327727432,0.9895309813769794,1.0009997922080285,1.0009997922080285,0.00014806836890546993,0.9790716078064587,12.034276955362367,0.5504724977836185,nan,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,220.95449504186618,-229.7355711738237,-4.9702985782345666,0.9891968955410647,1.0010577337130937,1.0010577337130937,0.00013555602334560014,1.312721994697279,12.462368356029016,nan,2.00384914418162,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,220.9543307789141,-229.7285471032916,-4.970695517630809,0.9888519821407625,1.0011173090006462,1.0011173090006462,0.00014592245031665502,1.3280695267788345,12.302050935840674,nan,nan,nan
