t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,249.97708129882812,-149.97702026367188,-4.976943492889404,250.9163759990908,-150.7784491654208,-4.96154905594865,1.2348278451625385,1.0001000000190625,1.0001000000190625,1.0001000000190625,1.5246473424254523,1.5487322429798767,nan,nan,nan
0.02,249.97544860839844,-149.9753875732422,-4.975301265716553,250.91746670474402,-150.77874678583524,-4.996145319644724,1.2382320432313298,1.0004000001826252,1.0004000001826252,0.0008991910516330248,2.015355088340926,2.205370233522747,nan,0.0011102952006322065,nan
0.03,249.97393798828125,-149.97386169433594,-4.973775386810303,250.91867364494416,-150.77916085427063,-4.997553225583394,1.2416108825145442,1.0009000006351882,1.0009000006351882,0.0009995107999378019,2.1053088538906684,2.2024904855430387,nan,nan,nan
0.04,249.9725341796875,-149.9724578857422,-4.9723639488220215,250.91999548857643,-150.77968993768826,-4.986270376864488,1.2447891011217513,1.0016000015212516,1.0016000015212516,0.0005317765199244777,1.9104970223860316,2.0143639397303157,nan,0.2135778504446996,nan
0.05,249.9712371826172,-149.97116088867188,-4.971066474914551,250.915973039882,-150.75784460539893,-4.987917116651603,1.2295043937669892,1.000136159857599,1.000136159857599,0.00047135043475060633,2.1135969157920615,4.310307895174121,0.2393441252434311,nan,nan
0.06,249.97006225585938,-149.96998596191406,-4.969881534576416,250.91642920910053,-150.7541023980962,-4.981992556679679,1.2290629245625688,1.0001960690185168,1.0001960690185168,0.0003207125249314022,1.967499730754376,4.058069541872154,nan,0.2524451021635318,nan
0.07,249.968994140625,-149.9689178466797,-4.968807697296143,250.91699666215183,-150.75047157044074,-4.982658881705619,1.2287094283253217,1.000266870913067,1.000266870913067,0.0003466969814233004,2.0625126468463115,4.054064058221808,nan,nan,nan
0.08,249.96803283691406,-149.96795654296875,-4.967844009399414,250.9176743592627,-150.7469509100562,-4.972698403652191,1.2282812422512024,1.0003485656857503,1.0003485656857503,0.00026870186355409443,1.5958255273604283,3.5033340240219504,nan,1.0082573368282233,nan
0.09,249.96719360351562,-149.96710205078125,-4.966989040374756,250.91846092998526,-150.74353924476355,-4.97300406837266,1.2279252514585783,1.0004411534810664,1.0004411534810664,0.00030271740266169536,1.6266186466151988,3.4930784103273202,nan,nan,nan
0.1,249.96644592285156,-149.9663543701172,-4.966241836547852,250.93323287753844,-150.69381679908093,-4.98371001199399,1.2100346021746595,1.0002799430390896,1.0002799430390896,0.0002198198410369,2.851592715016057,24.890477051511,8.868967910694932,1.5573270667291748,nan
0.11,249.96580505371094,-149.96571350097656,-4.965601444244385,250.93562150136046,-150.6859778024023,-4.984664113539105,1.2081754803837437,1.0003387291688073,1.0003387291688073,0.00024222993303413308,2.958997493485875,24.88580826545888,nan,nan,nan
0.12,249.96527099609375,-149.96517944335938,-4.965066432952881,250.93811553312383,-150.678244508112,-4.973402374650755,1.2062163022127987,1.0004031143902965,1.0004031143902965,0.00020746689984599585,1.7892370195557201,23.63480481869405,nan,2.443240673674944,nan
0.13,249.96484375,-149.96475219726562,-4.964635848999023,250.9407138231265,-150.67061590260317,-4.973886568693767,1.2044299672258323,1.0004730988480575,1.0004730988480575,0.000232756991578682,1.8175416633611294,23.639426112205054,nan,nan,nan
0.14,249.9645233154297,-149.9644317626953,-4.964308738708496,250.94341538800504,-150.6630909298842,-4.98114323077756,1.2027625375655588,1.0005486826865908,1.0005486826865908,0.00020331264016074373,2.839474123188029,24.647245324455834,nan,0.7492666055179046,nan
