seed,algorithm,pos_rmse,final_error,energy_Wh,switch_count,avg_beacons,nees_pct,nis_acoustic_pct,crlb_eff,pct_active_0,pct_active_1,pct_active_2,pct_active_3,pct_active_4
0,imu_dvl_depth,1.7163427147457697,1.6822596956462814,0.0,0.0,4.0,100.0,nan,1.1071705619123267,0.0,0.0,0.0,0.0,1.0
0,imu_dvl_depth_all4,1.2728018076703875,1.030964872036545,0.444444444444435,0.0,4.0,44.4,90.9090909090909,1.302336293231284,0.0,0.0,0.0,0.0,1.0
1,imu_dvl_depth,0.9561909294651811,1.393406983310595,0.0,0.0,4.0,89.4,nan,0.6063227114429789,0.0,0.0,0.0,0.0,1.0
0,adaptive,1.7571992586707224,1.4051295412504907,0.22233333333332858,3.0,2.001,69.35,100.0,1.5485116473886373,0.25,0.0,0.4995,0.0,0.2505
1,imu_dvl_depth_all4,0.5402414467667647,0.7265364749808685,0.444444444444435,0.0,4.0,56.10000000000001,95.45454545454545,0.5490513828257279,0.0,0.0,0.0,0.0,1.0
1,adaptive,0.6887599938094399,0.5030089816681963,0.22233333333332858,3.0,2.001,67.55,100.0,0.6039867904988738,0.25,0.0,0.4995,0.0,0.2505
2,imu_dvl_depth,1.4479070347057068,1.7281042963264726,0.0,0.0,4.0,100.0,nan,0.9234231711687924,0.0,0.0,0.0,0.0,1.0
2,imu_dvl_depth_all4,0.6503028976580985,0.45949041699755894,0.444444444444435,0.0,4.0,56.2,86.36363636363636,0.6396911894899635,0.0,0.0,0.0,0.0,1.0
3,imu_dvl_depth,0.796361656653523,0.965361681935431,0.0,0.0,4.0,81.75,nan,0.5043485509924442,0.0,0.0,0.0,0.0,1.0
2,adaptive,1.0492789968345149,0.9202109290678157,0.22233333333332858,3.0,2.001,73.95,91.66666666666666,0.9166753735881572,0.25,0.0,0.4995,0.0,0.2505
3,imu_dvl_depth_all4,0.39245000723372275,0.29776686304263433,0.444444444444435,0.0,4.0,56.3,86.36363636363636,0.3910997642813438,0.0,0.0,0.0,0.0,1.0
3,adaptive,0.4895745791883789,0.2878864560665764,0.22233333333332858,3.0,2.001,72.75,75.0,0.40938028284447686,0.25,0.0,0.4995,0.0,0.2505
4,imu_dvl_depth,0.9708438742523132,1.0733733913048968,0.0,0.0,4.0,99.4,nan,0.6233043642262313,0.0,0.0,0.0,0.0,1.0
4,imu_dvl_depth_all4,0.5135630346463028,0.5037711594387032,0.444444444444435,0.0,4.0,56.3,95.45454545454545,0.5050365133653724,0.0,0.0,0.0,0.0,1.0
4,adaptive,0.8384602473464685,0.26075339042952145,0.22233333333332858,3.0,2.001,76.0,75.0,0.6730719978313721,0.25,0.0,0.4995,0.0,0.2505
