t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.33930740997457,-229.58320084150702,-5.371411446042139,0.8470267036181084,1.0002000001220002,1.0002000001220002,1.0002000001220002,0.7173107743997669,0.8153049718231286,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.3419694652637,-229.5821728779598,-4.913381428914956,0.74805863903057,1.0006000012120004,1.0006000012120004,0.0008991912131812085,4.819329716975896,5.120637108329233,nan,0.2111709148579152,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.34474777994296,-229.58106433683642,-4.914842076601454,0.7437580720753323,1.001200004238001,1.001200004238001,0.0010995118252531129,3.707841440661535,4.700761052919726,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.34764113927565,-229.57987619272947,-4.982920187555805,0.7374212148974053,1.002000010168002,1.002000010168002,0.0005624656081106611,0.7406928489914788,2.469515397089977,nan,4.71823187527306,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.31968702618383,-229.56885400410533,-4.9775700511420355,0.7647503052951856,1.0009210094183945,1.0009210094183945,0.0006537127138570228,0.6489551154337209,1.6255895532906972,1.553066252910829,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.3166140999409,-229.56555788622,-4.955386129468997,0.7670759928384162,1.0012062473429266,1.0012062473429266,0.00043231587918665605,1.073544797848995,1.9922986730065548,nan,1.5010832077160956,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.31365239836714,-229.56218452905972,-4.9564162245755545,0.7692519298866605,1.00152516620639,1.00152516620639,0.0005964306937173778,0.848179513504292,1.8275469365096262,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.31080088708362,-229.5587347885233,-4.968108127210966,0.7713624093612726,1.001877766976785,1.001877766976785,0.00042086504733437533,0.5940486794675777,1.5847307135370536,nan,0.3010740411055733,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.3080583590903,-229.5552094199864,-4.970088872130154,0.773589628624211,1.0022640506221119,1.0022640506221119,0.0005921963012601953,0.6132805166018526,1.5668036079913716,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.2908786433757,-229.5723358052832,-4.982485153839346,0.7779143500793453,1.0019194355704708,1.0019194355704708,0.0003930998784535813,1.2746833974663154,3.3449156047821247,0.8627601173506705,0.4566364024856521,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.28689568170793,-229.57073424044785,-4.984895626246649,0.7804494717844266,1.0022125063897773,1.0022125063897773,0.000538219517512615,1.2987729603973412,3.3081846971791804,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.28301801989443,-229.56905922420975,-4.9703202001646485,0.7826817120101497,1.0025239678558553,1.0025239678558553,0.00039309787743350836,0.6810975703212537,2.6288262327559764,nan,0.9584488546123262,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,219.27924484445103,-229.56731158627744,-4.9721232840796015,0.7851681975817393,1.0028538209367048,1.0028538209367048,0.0005374463045156113,0.7188175260736004,2.6285953735346403,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,219.2755751704348,-229.5654919669985,-4.9736642890873135,0.7876648333941505,1.003202066600326,1.003202066600326,0.0003921609461373206,0.8411744409673403,2.719110757517856,nan,0.000445055476790284,nan
