t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,220.49978084280215,-229.92795505470372,-5.3643816789404495,0.6524803108234531,1.0002000001220002,1.0002000001220002,1.0002000001220002,0.42564542687496626,0.4411574270023758,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,220.49865898619498,-229.9279580897582,-5.002766121568395,0.526055316829251,1.0006000012120004,1.0006000012120004,0.0008991912131812085,1.1146997072565876,1.173404632578622,nan,0.13075131243043248,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,220.4976532771,-229.92788072114797,-5.002737600679879,0.52647544265211,1.001200004238001,1.001200004238001,0.0010995118252531129,1.0388993342527513,1.0865441116072239,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,220.49676234292951,-229.92772376205622,-5.006223278800889,0.5271220576117351,1.002000010168002,1.002000010168002,0.0005624656081106611,2.314366981297674,2.434633265423771,nan,0.01231585937809037,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,220.47178599605465,-229.94052312912308,-5.001368591189878,0.5022848915162484,1.0009210094183945,1.0009210094183945,0.0006537127138570228,1.6557168706806245,4.268170768023994,0.48886638857892073,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,220.4662814933201,-229.9428162452422,-4.990190404145587,0.49722584552266014,1.0012062473429266,1.0012062473429266,0.00043231587918665605,1.2005271344899215,3.945192191475424,nan,0.2049667134574142,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,220.46088822487496,-229.94503191774075,-4.987661472448396,0.49265314707098945,1.00152516620639,1.00152516620639,0.0005964306937173778,0.8379091673942672,3.672607293479301,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,220.45560503577195,-229.94717086764126,-4.9609720441030145,0.48786230030281996,1.001877766976785,1.001877766976785,0.00042086504733437533,0.34976986900123846,3.221133652323844,nan,1.5936607167739396,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,220.45043092901014,-229.94923399541787,-4.956990559597248,0.4834639171527358,1.0022640506221119,1.0022640506221119,0.0005921963012601953,0.40200170899869164,3.2281217552857915,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,220.47820221457587,-229.95127781982976,-4.972953813309652,0.5118404016765884,1.0019194355704708,1.0019194355704708,0.0003930998784535813,0.3759396248839401,2.781476269487257,1.9955422611253564,0.5121453784203875,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,220.47652681631735,-229.95319749798486,-4.971541913046177,0.5107448153395764,1.0022125063897773,1.0022125063897773,0.000538219517512615,0.3257315381369905,2.7223028615037697,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,220.4749570175695,-229.95504388189374,-4.9667443825764925,0.5096795579938403,1.0025239678558553,1.0025239678558553,0.00039309787743350836,0.2662341199859198,2.673958686176445,nan,0.04002249659996617,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,220.4734917676872,-229.95681776819038,-4.965378200502935,0.508680466916916,1.0028538209367048,1.0028538209367048,0.0005374463045156113,0.2590272609148784,2.6502722976190145,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,220.47213001452926,-229.95851989514088,-4.9777043013975835,0.5078953909581231,1.003202066600326,1.003202066600326,0.0003921609461373206,0.7140046756796747,3.104365241639598,nan,0.6096131367543359,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,220.46505172608317,-229.93893410834124,-4.9781542514006025,0.5009685523216303,1.00292275696796,1.00292275696796,0.0005122342993985896,0.6360485747413478,2.4370849032076314,0.7927904394888569,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,220.4635057216162,-229.93908011592305,-4.99761678465046,0.5004560441427239,1.0032187661837235,1.0032187661837235,0.00037876786632366386,3.237324847941851,5.046996147673078,nan,1.4023591747938031,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,220.46206013510593,-229.93915657834907,-4.9982310097870135,0.49906707983126,1.0035274257281714,1.0035274257281714,0.0005098841848685144,2.5520054216280146,4.374168319572664,nan,nan,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,220.46071394997728,-229.93916445211298,-4.999439472223581,0.4977404078973075,1.003848736569304,1.003848736569304,0.0003772555677006615,3.5697705261885377,5.3828834829695955,nan,0.000895074336992133,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,220.45946609139756,-229.93910457138767,-5.0002706559195795,0.49639203056805636,1.0041826996751215,1.0041826996751215,0.0005066933616032682,2.8116186662445357,4.623668110298385,nan,nan,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,220.45771555531908,-229.9045554812461,-4.976153592961597,0.4937643390726027,1.0039274790871762,1.0039274790871762,0.0003693467024991362,0.612006307536214,1.4304416487628673,1.970906107232303,2.4086161294757606,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,220.45663145952213,-229.90264038303337,-4.97646402286991,0.49225122453791,1.0042250261906136,1.0042250261906136,0.0004928233181265843,0.515174039204907,1.3286055128380394,nan,nan,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,220.45564270519003,-229.90065975602553,-4.979715883628912,0.49082049518222437,1.0045322159295231,1.0045322159295231,0.0003679863042851313,0.8037874336208233,1.6131330614430943,nan,0.031792377784071374,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,220.45474832075817,-229.89861425496468,-4.980293733099722,0.4893068304930733,1.004849049271905,1.004849049271905,0.000490309495759817,0.6626285945727246,1.486348297591598,nan,nan,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,220.4539447154818,-229.89650457423897,-4.975890376239765,0.4876870434226159,1.0051755271857599,1.0051755271857599,0.0003665783385598191,0.4762045098774381,1.291674629901075,nan,0.10226847274499849,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,220.48292546478535,-229.91131887067414,-4.975950628560163,0.5155775213781999,1.0049327942064132,1.0049327942064132,0.0004815470569767363,0.42126967033621354,1.4891204593257688,2.0780887211458583,nan,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,220.48339834530424,-229.90976293361376,-4.986096326965124,0.515604221412326,1.0052312862867367,1.0052312862867367,0.0003618262899390521,1.1597485482562968,2.2227980125020603,nan,0.37478924903890476,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,220.48387611480842,-229.90814504626317,-4.9869805788280885,0.5154017300890101,1.00553757017778,1.00553757017778,0.00047969231582258536,0.9378053121545449,1.9990288158949048,nan,nan,nan
0.28,219.969482421875,-229.90167236328125,-4.969931602478027,220.48434929695142,-229.90646593475597,-4.996145603887777,0.5155560602382181,1.0058516468475431,1.0058516468475431,0.0003607966517989783,2.1681701384317282,3.228962674058736,nan,0.2806520687515364,nan
0.29,219.97015380859375,-229.89794921875,-4.970867156982422,220.48481331542268,-229.9047261246084,-4.997264878762902,0.5153806109445864,1.0061735172640265,1.0061735172640265,0.0004779132858010276,1.7213830633529805,2.781128642218418,nan,nan,nan
0.3,219.9708251953125,-229.8941650390625,-4.971795082092285,220.50315193325633,-229.87946378678708,-4.995473207205165,0.5330558473155034,1.0059384155041708,1.0059384155041708,0.00035753539023136255,1.850020372059943,2.3432736010246287,1.544719309075452,0.039727996486719055,nan
0.31,219.97146606445312,-229.89031982421875,-4.972710132598877,220.5041893195928,-229.87682161394102,-4.996555080130737,0.5334274550209306,1.0062375464279563,1.0062375464279563,0.00047238798048316,1.485848426652422,1.9829380579536402,nan,nan,nan
0.32,219.97210693359375,-229.88641357421875,-4.973609447479248,220.50521393636427,-229.874120735026,-5.005393550196129,0.5341951136840399,1.0065432156566712,1.0065432156566712,0.00035677733663031636,3.1140453744007104,3.6091177975867352,nan,0.2576395422649424,nan
0.33,219.9727325439453,-229.88246154785156,-4.97449254989624,220.5062258948191,-229.87136186821834,-5.006582677705536,0.5345728524881475,1.006855424158316,1.006855424158316,0.00047109715233920757,2.468710339947024,2.954804999992574,nan,nan,nan
0.34,219.9733428955078,-229.87844848632812,-4.975358963012695,220.50722542623004,-229.86854576526375,-5.0044660283244795,0.5347670911209005,1.007174172900891,1.007174172900891,0.00035606067954097346,2.6625270347182677,3.151045634773731,nan,0.04643719986204864,nan
0.35000000000000003,219.97393798828125,-229.87437438964844,-4.976207733154297,220.51131002921218,-229.8730372345538,-5.005534818601205,0.538173370113046,1.0069442154485562,1.0069442154485562,0.00046711636312508784,2.12802890846942,2.9035144531912227,0.11534160472929601,nan,nan
0.36,219.9745330810547,-229.87025451660156,-4.9770402908325195,220.5123736208512,-229.87031922937678,-4.993563129055912,0.5380942804186931,1.0072438065944689,1.0072438065944689,0.00035384995683708357,1.058717355003261,1.819801052567354,nan,0.7428388377996427,nan
0.37,219.97511291503906,-229.86605834960938,-4.977856159210205,220.5134253127954,-229.86754591472825,-4.994428431535099,0.5385694854316954,1.0075490310617923,1.0075490310617923,0.0004661516722330198,0.8767761783373254,1.6586970585130292,nan,nan,nan
0.38,219.97567749023438,-229.86183166503906,-4.978655815124512,220.51446540382946,-229.86471776964183,-5.011967297921907,0.5398244161966796,1.007859889818527,1.007859889818527,0.00035331107555567015,3.428767350815141,4.186788627169462,nan,1.2198015252032997,nan
0.39,219.97622680664062,-229.8575439453125,-4.9794392585754395,220.51549402224794,-229.86183534531145,-5.0130470897884525,0.5403304842979477,1.0081763838326727,1.0081763838326727,0.00046524171131727583,2.7162097873567896,3.481170746290673,nan,nan,nan
0.4,219.9767608642578,-229.8531951904297,-4.980207443237305,220.52942021868938,-229.8551528174307,-4.993629362359072,0.5528257792986003,1.0079501286991006,1.0079501286991006,0.0003516348819014556,0.8153423413479989,1.724687676675732,0.39141291880428414,1.9417755947749542,nan
0.41000000000000003,219.977294921875,-229.8488006591797,-4.980959892272949,220.53074964371046,-229.85207024860506,-4.994483418397531,0.5536295738992131,1.0082500667759717,1.0082500667759717,0.0004624160251938803,0.6993167921160008,1.5938230946808574,nan,nan,nan
0.42,219.97781372070312,-229.84434509277344,-4.9816975593566895,220.53206819634516,-229.8489355108767,-4.980152544958645,0.5542756379068858,1.0085549542434993,1.0085549542434993,0.0003512178997743452,0.31140969269782076,1.2170693188629247,nan,1.0239068406012266,nan
0.43,219.97833251953125,-229.83984375,-4.982419967651367,220.5333761413461,-229.84574895018196,-4.980781301008965,0.5550774529152772,1.0088647920696834,1.0088647920696834,0.00046171346295847255,0.3112167669637176,1.2031229694114962,nan,nan,nan
0.44,219.97882080078125,-229.83529663085938,-4.983128547668457,220.53467374307633,-229.84251122854073,-4.980697157991889,0.555905077808753,1.0091795812225244,1.0091795812225244,0.00035082267871703834,0.3230644679361752,1.220993647604967,nan,0.0021825978838231805,nan
0.45,219.97930908203125,-229.83070373535156,-4.983822822570801,220.5399981770037,-229.84650677716698,-4.981753432962765,0.5609155727246214,1.0089561183162628,1.0089561183162628,0.00045950149785461524,0.3211488249242036,1.5790552433779699,0.26637652690762814,nan,nan
0.46,219.97979736328125,-229.8260498046875,-4.984503269195557,220.54136565757312,-229.84333123271313,-5.006711340437651,0.5622728833376046,1.0092563269665018,1.0092563269665018,0.00034957443388199415,1.7236163925804893,2.98806198728806,nan,2.6534354600165155,nan
0.47000000000000003,219.98025512695312,-229.82135009765625,-4.985169887542725,220.54272334921737,-229.84010624854741,-5.007668096649342,0.5632303824070178,1.0095609500663238,1.0095609500663238,0.00045894459156078075,1.4166215488769989,2.690801985476721,nan,nan,nan
0.48,219.98072814941406,-229.8166046142578,-4.985823154449463,220.5440714987734,-229.83683233342677,-5.0103307853032835,0.5642388801387654,1.0098699885837292,1.0098699885837292,0.00034925957010334874,2.0343657562785737,3.285242250955373,nan,0.013332568706184364,nan
0.49,219.98117065429688,-229.81179809570312,-4.98646354675293,220.54541035689516,-229.83351020804437,-5.011282388882874,0.5652024705671341,1.0101834434867178,1.0101834434867178,0.0004584146162367255,1.6593307126045955,2.9422383556007428,nan,nan,nan
0.5,219.9816131591797,-229.8069610595703,-4.987091064453125,220.54195225110448,-229.81130648358464,-5.014907116470538,0.5610459102415741,1.0099621618428198,1.0099621618428198,0.00034825127553137544,2.5326672605346356,3.376270717711043,0.7004511597068122,0.032962103866635103,nan
0.51,219.9820556640625,-229.80206298828125,-4.987706184387207,220.5431770186235,-229.80751139489723,-5.015862230378816,0.5618537377333332,1.0102625871623085,1.0102625871623085,0.0004567158014179405,2.047478581768008,2.899112070357304,nan,nan,nan
0.52,219.9824676513672,-229.79713439941406,-4.988308906555176,220.5443930598199,-229.80366976748132,-5.013487099897692,0.5625271701175962,1.0105669971699776,1.0105669971699776,0.00034799502931066233,2.134197449356048,2.9838996950856593,nan,0.050208189577154776,nan
0.53,219.98289489746094,-229.79214477539062,-4.988899230957031,220.5456005658651,-229.79978210792726,-5.014385204759123,0.5633342994733165,1.010875392833827,1.010875392833827,0.0004562847541619183,1.7368184741724266,2.5846596760976444,nan,nan,nan
0.54,219.98329162597656,-229.78712463378906,-4.98947811126709,220.5467996705328,-229.79584902121474,-4.987800635431407,0.5635780736869862,1.011187775121857,1.011187775121857,0.00034775000616089164,0.32219511880325236,1.1694839195635025,nan,3.446445755306963,nan
0.55,219.9836883544922,-229.78204345703125,-4.990045547485352,220.5480807504624,-229.78290394923545,-4.988882216018338,0.5643942508707199,1.010968244839992,1.010968244839992,0.0004548841863860854,0.3180587341004446,1.1065909247872443,0.38755722377665425,nan,nan
0.56,219.9840850830078,-229.7769317626953,-4.990601539611816,220.54926528494855,-229.77871786486648,-4.98420283489822,0.5652192444076428,1.011268847360868,1.011268847360868,0.0003469515145909037,0.43388139345134796,1.2011270358329604,nan,0.1328496360669305,nan
0.5700000000000001,219.98446655273438,-229.7717742919922,-4.991146564483643,220.5504419500324,-229.77448774588532,-4.984839407726004,0.5660170433874279,1.0115730818210922,1.0115730818210922,0.00045452722979223324,0.404190664817346,1.1784840405404917,nan,nan,nan
0.58,219.98484802246094,-229.76657104492188,-4.991680145263672,220.55161102446027,-229.77021414527113,-4.969265427171118,0.5672177643574119,1.0118809491886647,1.0118809491886647,0.0003467479325394774,1.766409432046074,2.5364294277250594,nan,1.2076546822670968,nan
0.59,219.98521423339844,-229.76132202148438,-4.992203712463379,220.55277250133662,-229.76589754796726,-4.969730626288449,0.5680214455016733,1.0121924504315856,1.0121924504315856,0.00045418476909795286,1.4302323996534774,2.2081477893554253,nan,nan,nan
0.6,219.98558044433594,-229.7560272216797,-4.992716312408447,220.52737831452754,-229.7771681504631,-4.9849682074440995,0.5422655291870571,1.0119743576018685,1.0119743576018685,0.0003460760821666592,0.4639811761486551,1.3724967762933755,1.7898546363075982,0.9953555819110785,nan
0.61,219.98593139648438,-229.75070190429688,-4.993218898773193,220.52808006051484,-229.7730288462147,-4.985563830482337,0.5426622027707065,1.0122751075603786,1.0122751075603786,0.0004530527831229489,0.420198317329182,1.3147381793811599,nan,nan,nan
0.62,219.9862823486328,-229.74533081054688,-4.993711471557617,220.52877475154065,-229.7688479077285,-4.999752298460568,0.5430354985286358,1.0125791947880722,1.0125791947880722,0.00034590444514273546,0.39668430568774776,1.2947717878730949,nan,0.8567690187139819,nan
0.63,219.9866180419922,-229.7399139404297,-4.994194030761719,220.52946233304442,-229.76462594678964,-5.000447487038986,0.5434424654935864,1.0128866202529496,1.0128866202529496,0.00045276419305261906,0.3779047658172708,1.2852317036486491,nan,nan,nan
0.64,219.98695373535156,-229.73446655273438,-4.994667053222656,220.53014309828094,-229.76036329257064,-4.972636934076382,0.5442523782983175,1.013197384923011,1.013197384923011,0.00034573922617859204,1.6956080619642315,2.5860769040049347,nan,3.7654415590428663,nan
0.65,219.98727416992188,-229.72897338867188,-4.995131015777588,220.54274982253852,-229.73882937074978,-4.972713541213935,0.5560151834243606,1.012980493362996,1.012980493362996,0.0004517985326116355,1.417012196415478,2.10433361866714,1.0150948544378093,nan,nan
0.66,219.9875946044922,-229.7234344482422,-4.995584964752197,220.54360217338302,-229.73422010096243,-4.98802117515703,0.5561636071171301,1.0132813677594898,1.0132813677594898,0.0003451848812589422,0.4709470936579815,1.1612473993598138,nan,1.0424689247896308,nan
0.67,219.98789978027344,-229.71786499023438,-4.996030330657959,220.54444798754108,-229.72957174085312,-4.98847806559866,0.5567225446579275,1.013585329636203,1.013585329636203,0.0004515522959467156,0.43204203676727315,1.117285536585405,nan,nan,nan
0.68,219.98822021484375,-229.71224975585938,-4.996466636657715,220.54528747200104,-229.72488471323035,-4.990718123508527,0.5572401785118641,1.0138923799611357,1.0138923799611357,0.00034504360264197225,0.4020009911111738,1.082074465465984,nan,0.014954493913880778,nan
0.6900000000000001,219.98851013183594,-229.70660400390625,-4.996894359588623,220.54612086778246,-229.72015948006296,-4.991173421977813,0.5578048161353644,1.0142025197022881,1.0142025197022881,0.00045131470742737864,0.3792762874293152,1.0650438105821114,nan,nan,nan
0.7000000000000001,219.9888153076172,-229.700927734375,-4.997313499450684,220.53033681232978,-229.7303201682405,-5.000926104093223,0.5423306243861117,1.0139866472631887,1.0139866472631887,0.0003445639895869354,0.32792919163959666,1.2262940909286075,0.953840449482636,0.4139311683425517,nan
0.71,219.98910522460938,-229.69520568847656,-4.9977240562438965,220.53091926636722,-229.72573495280278,-5.001417894741175,0.542686038395237,1.0142876279571433,1.0142876279571433,0.0004505065424749893,0.32063302594069154,1.2345208072318261,nan,nan,nan
0.72,219.9893798828125,-229.68943786621094,-4.998126983642578,220.53149566678334,-229.7211125423918,-4.992604976638712,0.5430684127279318,1.0145914817430066,1.0145914817430066,0.0003444419249894676,0.37917920692612,1.3093195297978146,nan,0.4047724259422563,nan
0.73,219.98965454101562,-229.6836395263672,-4.998521327972412,220.53206624275575,-229.71645346414513,-4.993013345763972,0.543431271243308,1.0148982095887789,1.0148982095887789,0.0004503013699032491,0.35832490127988526,1.2769553693758044,nan,nan,nan
0.74,219.98992919921875,-229.6778106689453,-4.998908042907715,220.5326311220731,-229.711758339161,-5.012604542261478,0.543935120650826,1.01520781246246,1.01520781246246,0.0003443238761842804,0.8360672908610375,1.7440673622011509,nan,1.7259494151891368,nan
0.75,219.99020385742188,-229.6719512939453,-4.999286651611328,220.51497204384177,-229.6797165748572,-5.013554892955491,0.5250195537093044,1.0149928157208987,1.0149928157208987,0.00044959523400519457,0.7241866202876985,1.169601376459843,2.3835159914354604,nan,nan
0.76,219.99046325683594,-229.66604614257812,-4.999658107757568,220.5152808239473,-229.67458331766565,-5.013033890361233,0.5250574003548877,1.0152938881524762,1.0152938881524762,0.0003439165169620762,0.791574262805836,1.2489525185274528,nan,0.00616200810915058,nan
0.77,219.99070739746094,-229.6601104736328,-5.000021934509277,220.51558436223934,-229.66941534125579,-5.013643323341482,0.5251361261141582,1.0155976477022088,1.0155976477022088,0.0004494164523585303,0.6842014365622613,1.1370564446552105,nan,nan,nan
0.78,219.990966796875,-229.65414428710938,-5.000378608703613,220.51588283873505,-229.66421295322633,-5.010977108192113,0.5251195647000849,1.015904095338097,1.015904095338097,0.00034381350447979826,0.5980356443736858,1.0466962821941472,nan,0.05028458497738223,nan
0.79,219.9912109375,-229.64813232421875,-5.000728130340576,220.51617628231514,-229.6589766574034,-5.011551152842627,0.5251888713931228,1.0162132320281407,1.0162132320281407,0.00044924326026721197,0.5320521800461856,0.9942820830321969,nan,nan,nan
0.8,219.991455078125,-229.64210510253906,-5.001070499420166,220.5381792663084,-229.67782482724343,-5.004151666541114,0.5478984671164627,1.0159989960386377,1.0159989960386377,0.00034345387971500046,0.323097763880168,1.2929769372928108,2.038406408699307,0.31143085375314605,nan
0.81,219.99168395996094,-229.6360321044922,-5.001406192779541,220.5387372084598,-229.67282620987172,-5.004689500937109,0.5482990452264965,1.016300148344762,1.016300148344762,0.0004486372178477997,0.31982806106832723,1.3148957923588571,nan,nan,nan
0.8200000000000001,219.99191284179688,-229.6299285888672,-5.001735210418701,220.53929030777476,-229.66779471210137,-5.011908125934346,0.5487799392828139,1.0166038249484264,1.0166038249484264,0.0003433632940528341,0.597534565243119,1.5861256493253975,nan,0.2110941066562807,nan
0.8300000000000001,219.9921417236328,-229.62379455566406,-5.0020575523376465,220.53983857182757,-229.6627308341703,-5.0124779508253265,0.5491779820887146,1.0169100268176312,1.0169100268176312,0.0004484850063665941,0.5385889388023887,1.5222569069838527,nan,nan,nan
0.84,219.99237060546875,-229.61761474609375,-5.002373695373535,220.54038208920863,-229.65763500726752,-5.027398720099313,0.5500404162220552,1.0172187549203766,1.0172187549203766,0.00034327539957692833,2.121149940065858,3.1254895874265536,nan,0.9737566528400462,nan
0.85,219.99258422851562,-229.61141967773438,-5.002683162689209,220.4973924900178,-229.69156209852218,-5.028045061020514,0.5117591370728498,1.0170051861460192,1.0170051861460192,0.00044794601228561996,1.6928309100979577,3.724870215080049,6.516512599963481,nan,nan
0.86,219.9927978515625,-229.60519409179688,-5.002986431121826,220.49740946090805,-229.68686787991157,-4.990319644531409,0.511335439250824,1.017306408533371,1.017306408533371,0.00034296331572257997,0.7246851428242338,2.755962095855838,nan,6.972253291872861,nan
0.87,219.99301147460938,-229.59893798828125,-5.003283977508545,220.49742235739762,-229.68214272134048,-4.990723304244609,0.5113815960625909,1.0176100115127578,1.0176100115127578,0.00044781132528381,0.6091452771298849,2.6411628862351604,nan,nan,nan
0.88,219.9932098388672,-229.59263610839844,-5.003575325012207,220.49743119516518,-229.6773870618299,-5.001873075304944,0.5112971718175182,1.0179159960521798,1.0179159960521798,0.00034288546813706304,0.26527149443876225,2.3314908695323155,nan,0.5477235904496479,nan
0.89,219.993408203125,-229.58631896972656,-5.003860950469971,220.4974360783113,-229.67260105897154,-5.002332131472682,0.5113619414630075,1.0182243631196368,1.0182243631196368,0.00044768047725075714,0.2620294093560813,2.2907079313276877,nan,nan,nan
0.9,219.9936065673828,-229.57997131347656,-5.004140853881836,220.48837257093257,-229.63609147717742,-4.991002976318122,0.49811190998538396,1.0180113844275043,1.0180113844275043,0.00034260571592230533,0.7473533660285389,2.112948599667992,2.0791594287347235,0.6647363407103335,nan
0.91,219.99380493164062,-229.57359313964844,-5.004415512084961,220.48826739895802,-229.630889506463,-4.991392415632209,0.4979413683125442,1.0183126687177453,1.0183126687177453,0.00044720898757302265,0.6225635284895987,1.9925251845348007,nan,nan,nan
0.92,219.99398803710938,-229.5671844482422,-5.004683971405029,220.4881582492865,-229.6256583242051,-4.994595011132865,0.4977199814079021,1.0186162058589379,1.0186162058589379,0.000342536355377973,0.5402549608007977,1.9066856521251283,nan,0.03772336102354556,nan
0.93,219.99417114257812,-229.5607452392578,-5.004947662353516,220.48804513652937,-229.62039831368986,-4.99499159847803,0.49756319638658764,1.0189219968190821,1.0189219968190821,0.0004470924812308589,0.46458061706395043,1.8366403981093626,nan,nan,nan
0.9400000000000001,219.99435424804688,-229.5542755126953,-5.0052056312561035,220.48792823069095,-229.61511009974387,-4.986786034808913,0.4976498818022409,1.0192300425661787,1.0192300425661787,0.00034246889604084554,1.233342940509124,2.6135536893764026,nan,0.3513865539678799,nan
0.9500000000000001,219.99453735351562,-229.54779052734375,-5.005458831787109,220.46697111362573,-229.61020880045345,-4.986908090674251,0.47690022908948937,1.0190175896039666,1.0190175896039666,0.00044666739915774216,0.9932906240098887,2.5940838264314223,0.9813837258770886,nan,nan
0.96,219.9947052001953,-229.541259765625,-5.005706787109375,220.31481976281194,-229.90122341252945,-4.984691427739571,0.48217092988008275,0.8076371727218887,0.21258110134717054,0.00034222205066935764,35.40870941205903,37.03707036290466,nan,0.029772327405731314,0.10886514185303497
0.97,219.994873046875,-229.5347137451172,-5.005949974060059,220.31445482335502,-229.8958862455772,-4.984958356187472,0.48272014145628317,0.8078986143841862,0.21272437551581816,0.0004465630934196306,32.11668054439523,33.30614839615774,nan,nan,nan
