t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,220.1450403099333,-227.92636984138693,-4.890078331992082,2.0593501256480344,1.0002000001220002,1.0002000001220002,1.0002000001220002,4.240074924504383,4.277267154996575,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,220.1465223733764,-227.92650863726536,-4.9747375402203655,2.0558109435911494,1.0006000012120004,1.0006000012120004,0.0008991912131812085,4.224177432107161,4.469327784038134,nan,0.006948818014728686,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,220.14812059327832,-227.92656683366587,-4.976183960763322,2.054099637559035,1.001200004238001,1.001200004238001,0.0010995118252531129,4.2195385726923655,4.468918969539233,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,220.14983388769562,-227.92654515763107,-4.984606707018081,2.0524315666991244,1.002000010168002,1.002000010168002,0.0005624656081106611,4.470375570151569,4.715869824510083,nan,0.05020571957186456,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,220.15435112013412,-227.9190580453186,-4.97944179767066,2.0583281370620097,1.0009210094183945,1.0009210094183945,0.0006537127138570228,4.340038029201433,5.196204961583347,0.2783314596412843,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,220.15682901963152,-227.9174021262236,-4.963289301988525,2.058156314535372,1.0012062473429266,1.0012062473429266,0.00043231587918665605,4.331397662860987,5.192779080770849,nan,0.5465839797288753,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,220.15941843499067,-227.91566906938718,-4.961189642415976,2.0580023802768306,1.00152516620639,1.00152516620639,0.0005964306937173778,4.326193831224891,5.181967935750788,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,220.16211823840231,-227.91385964970846,-4.951077684084145,2.057906124538272,1.001877766976785,1.001877766976785,0.00042086504733437533,4.894806597775969,5.748370070125575,nan,0.1785367427482305,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,220.16492716634926,-227.91197457457233,-4.948639869397463,2.057773921673388,1.0022640506221119,1.0022640506221119,0.0005921963012601953,4.793228025044136,5.634767416777962,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,220.18514998554306,-227.91293147936847,-4.993281442324726,2.0565964935556904,1.0019194355704708,1.0019194355704708,0.0003930998784535813,6.08029825566316,9.404901846191743,0.6626757895742207,5.808281204920642,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,220.1899040925267,-227.91118938886538,-4.994251991969289,2.056426414212087,1.0022125063897773,1.0022125063897773,0.000538219517512615,5.74345730689139,9.039371029496456,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,220.19476388334962,-227.90937387496473,-4.985386338582753,2.0561332507504693,1.0025239678558553,1.0025239678558553,0.00039309787743350836,5.266457310027271,8.579528795761295,nan,0.32433621135786966,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,220.1997283555452,-227.9074856151687,-4.986092739135983,2.0559766467178155,1.0028538209367048,1.0028538209367048,0.0005374463045156113,5.070697613668779,8.377150728082075,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,220.20479643006072,-227.90552545177434,-4.977050906104975,2.0557457245230126,1.003202066600326,1.003202066600326,0.0003921609461373206,4.625965064958509,7.929114286685583,nan,0.32059913367041404,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,220.19155166233392,-227.8960001594794,-4.976746269122711,2.0609411647209877,1.00292275696796,1.00292275696796,0.0005122342993985896,4.547516409670325,7.373734282456358,0.6384959663459999,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,220.1955956494096,-227.89339883922344,-4.981658067762816,2.061160929388812,1.0032187661837235,1.0032187661837235,0.00037876786632366386,5.060394581570813,7.879062519021982,nan,0.07480111266194318,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,220.1997401060268,-227.89072796887646,-4.982295155670459,2.0613504185673013,1.0035274257281714,1.0035274257281714,0.0005098841848685144,4.89402736825204,7.704287488117864,nan,nan,nan
