t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,221.42163635372484,-230.87493757850834,-4.244544244288207,1.8518648628510557,1.0002000001220002,1.0002000001220002,1.0002000001220002,3.428717726298796,3.608585220447031,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,221.42261783748097,-230.87692760035384,-4.945734631515914,1.7053753516252292,1.0006000012120004,1.0006000012120004,0.0008991912131812085,3.877878769667596,4.369427775293085,nan,0.4866727864105449,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,221.42371544535447,-230.87883699919846,-4.949667264069866,1.7095302342147436,1.001200004238001,1.001200004238001,0.0010995118252531129,3.4470099799796103,4.275772678041116,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,221.4249280701474,-230.8806667888636,-4.992880209768044,1.7137314879856573,1.002000010168002,1.002000010168002,0.0005624656081106611,3.6789012912896943,4.7153343141275155,nan,1.6364091373931964,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,221.43405063928734,-230.86141885986638,-4.985343043673022,1.7134957414561627,1.0009210094183945,1.0009210094183945,0.0006537127138570228,3.244930524597999,4.358099115502327,1.424750293331552,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,221.4370489044604,-230.85889180111528,-4.992790670407532,1.7169581359244006,1.0012062473429266,1.0012062473429266,0.00043231587918665605,4.157811986497939,5.226119301149942,nan,0.11731607176240832,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,221.44015857968503,-230.85628744986525,-4.993893173223207,1.7203642390425635,1.00152516620639,1.00152516620639,0.0005964306937173778,4.009515864494631,5.031294167105345,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,221.44337838747876,-230.85360656467478,-4.978356447529561,1.723595768732335,1.001877766976785,1.001877766976785,0.00042086504733437533,3.22761411237465,4.224561260946908,nan,0.7590217453284462,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,221.44670723449568,-230.85084993017048,-4.9785253060509715,1.7269772992641903,1.0022640506221119,1.0022640506221119,0.0005921963012601953,3.2002197594382342,4.175116969680289,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,221.43898653364317,-230.87264678113877,-4.984129499507451,1.7337377039481965,1.0019194355704708,1.0019194355704708,0.0003930998784535813,3.8134706540047327,5.270629487690151,0.9644928807791708,0.06492478862496982,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,221.44141430393879,-230.8722043844203,-4.9849392441167355,1.737441821707855,1.0022125063897773,1.0022125063897773,0.000538219517512615,3.706184650982194,5.123119998363835,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,221.44394775604118,-230.8716886727102,-4.965263713174647,1.74104468868069,1.0025239678558553,1.0025239678558553,0.00039309787743350836,3.0236989014291047,4.437510694186134,nan,1.3910253662116427,nan
0.13,219.96485900878906,-229.94989013671875,-4.96464204788208,221.4465858327011,-230.8711003810381,-4.965297870456686,1.7447472954679129,1.0028538209367048,1.0028538209367048,0.0005374463045156113,3.0362802506612767,4.43010870553418,nan,nan,nan
0.14,219.96453857421875,-229.9471435546875,-4.964316368103027,221.4493273833283,-230.87044021633892,-4.957292649479675,1.7484632869170862,1.003202066600326,1.003202066600326,0.0003921609461373206,3.1731137011945183,4.55267394477359,nan,0.2190349557885299,nan
0.15,219.9643096923828,-229.9443359375,-4.96409273147583,221.43269203215226,-230.85588610704878,-4.955630051933954,1.728335043993562,1.00292275696796,1.00292275696796,0.0005122342993985896,3.118178234368054,3.738432313693632,0.9892215812605631,nan,nan
0.16,219.9641876220703,-229.9414520263672,-4.96397066116333,221.43433831319487,-230.85416276555694,-4.9675991734226255,1.7304326378531845,1.0032187661837235,1.0032187661837235,0.00037876786632366386,3.019536993599467,3.6321080535680004,nan,0.5566309619879964,nan
0.17,219.96417236328125,-229.93849182128906,-4.963948726654053,221.43608489552406,-230.85237010150584,-4.967731336454319,1.7325456189556228,1.0035274257281714,1.0035274257281714,0.0005098841848685144,3.019210500682499,3.6237297030460316,nan,nan,nan
0.18,219.96424865722656,-229.9354705810547,-4.96402645111084,221.4379308962639,-230.85050875445037,-4.964302339201522,1.734656818088141,1.003848736569304,1.003848736569304,0.0003772555677006615,2.997699379473127,3.596959217431363,nan,0.04925643028854064,nan
0.19,219.9644317626953,-229.93238830566406,-4.964201927185059,221.43987537941288,-230.8485794433,-4.9645114184079535,1.73676140059021,1.0041826996751215,1.0041826996751215,0.0005066933616032682,3.0039652121926355,3.589903917652768,nan,nan,nan
0.2,219.96470642089844,-229.92922973632812,-4.964474678039551,221.44683968039286,-230.85926972112435,-4.976086631770485,1.7498080493839197,1.0039274790871762,1.0039274790871762,0.0003693467024991362,3.414785863861629,4.7862907071975815,0.3775613230772501,0.40141935830567205,nan
0.21,219.96507263183594,-229.92601013183594,-4.964843273162842,221.4492241120043,-230.85784145393652,-4.976984081424372,1.7524732888574535,1.0042250261906136,1.0042250261906136,0.0004928233181265843,3.3571861171465227,4.719159605658671,nan,nan,nan
0.22,219.9655303955078,-229.9227294921875,-4.965307235717773,221.45170381017843,-230.8563474977601,-4.973397747974022,1.7551123767986117,1.0045322159295231,1.0045322159295231,0.0003679863042851313,3.2443333984586604,4.596646589787896,nan,0.0824207125130803,nan
0.23,219.96609497070312,-229.91937255859375,-4.965865612030029,221.45427783452087,-230.8547885627398,-4.974366665914649,1.7577723415990147,1.004849049271905,1.004849049271905,0.000490309495759817,3.22217401823635,4.563132731082744,nan,nan,nan
0.24,219.96673583984375,-229.91595458984375,-4.966516971588135,221.45694262463758,-230.85316546474093,-4.981520989766717,1.7604844804861495,1.0051755271857599,1.0051755271857599,0.0003665783385598191,3.69723679938289,5.036344716481885,nan,0.14724993283378418,nan
0.25,219.96742248535156,-229.9124755859375,-4.967260360717773,221.4292284245206,-230.8831066013384,-4.982293383007984,1.75477268146254,1.0049327942064132,1.0049327942064132,0.0004815470569767363,3.533191227533499,5.883976397738588,3.3753012922840253,nan,nan
0.26,219.96810913085938,-229.908935546875,-4.968094825744629,221.43076065079742,-230.88262333491878,-4.969226477520245,1.7571051926388495,1.0052312862867367,1.0052312862867367,0.0003618262899390521,3.0748896310414713,5.41963898254359,nan,0.8459987731313156,nan
0.27,219.9687957763672,-229.90533447265625,-4.969000339508057,221.4322978152431,-230.8820779941091,-4.970279221810409,1.7595078175540941,1.00553757017778,1.00553757017778,0.00047969231582258536,3.0822265199558947,5.417399659471728,nan,nan,nan
