t,gt_x,gt_y,gt_z,est_x,est_y,est_z,err_norm,P_xx,P_yy,P_zz,nees_pos,nees_full,nis_dvl,nis_depth,nis_acoustic
0.01,219.97708129882812,-229.97702026367188,-4.976943492889404,219.58935739688852,-228.9762331954663,-5.554291063045803,1.2187020951767786,1.0002000001220002,1.0002000001220002,1.0002000001220002,1.484937809045298,1.5005847955306049,nan,nan,nan
0.02,219.97544860839844,-229.97518920898438,-4.975301265716553,219.58884977204062,-228.9751647160292,-4.97381065077748,1.0721519802324422,1.0006000012120004,1.0006000012120004,0.0008991912131812085,1.151289389308529,1.186745217620353,nan,0.3364373152206729,nan
0.03,219.97393798828125,-229.9732666015625,-4.973775386810303,219.5884583148155,-228.9740158929463,-4.973277631922377,1.0710260524773123,1.001200004238001,1.001200004238001,0.0010995118252531129,1.1459470227476705,1.1865923670877496,nan,nan,nan
0.04,219.9725341796875,-229.9712677001953,-4.97236442565918,219.58818163664554,-228.97278735858114,-4.95957200067832,1.0699782783167409,1.002000010168002,1.002000010168002,0.0005624656081106611,1.4333493024665969,1.4773148294634342,nan,0.1884170269998151,nan
0.05,219.9712371826172,-229.96920776367188,-4.971066951751709,219.56319210156707,-228.94025447740623,-4.958241344935305,1.1069824522892322,1.0009210094183945,1.0009210094183945,0.0006537127138570228,1.475751992221144,4.07379922199172,0.7677331929223463,nan,nan
0.06,219.97006225585938,-229.96705627441406,-4.969882011413574,219.55817600888003,-228.93262384257648,-4.97115090589812,1.1134192142142019,1.0012062473429266,1.0012062473429266,0.00043231587918665605,1.24193149677567,3.8291425985996503,nan,0.5245703181150055,nan
0.07,219.968994140625,-229.96482849121094,-4.968808650970459,219.55327111793233,-228.9249159350067,-4.9705172689537775,1.1199315494811992,1.00152516620639,1.00152516620639,0.0005964306937173778,1.2572284828042815,3.8274670254000704,nan,nan,nan
0.08,219.96803283691406,-229.9625244140625,-4.967845439910889,219.54847624799166,-228.91713168794476,-4.989837721734068,1.1266575982026985,1.001877766976785,1.001877766976785,0.00042086504733437533,2.415701077246844,4.969039248397703,nan,1.0650243726562414,nan
0.09,219.96719360351562,-229.96014404296875,-4.966991424560547,219.54379014562008,-228.9092718987577,-4.990795754318229,1.1332119827074851,1.0022640506221119,1.0022640506221119,0.0005921963012601953,2.237558383143342,4.773965844470121,nan,nan,nan
0.1,219.96644592285156,-229.9576873779297,-4.966244697570801,219.5691331666931,-228.95063131781836,-5.006492928060932,1.083346322498383,1.0019194355704708,1.0019194355704708,0.0003930998784535813,5.290660720127739,5.379620750353806,4.512083458229457,1.1231583324567027,nan
0.11,219.9658203125,-229.95516967773438,-4.96560525894165,219.56765406008665,-228.94755234659294,-5.007635075260924,1.0842488441484748,1.0022125063897773,1.0022125063897773,0.000538219517512615,4.4533658864406505,4.550547460775775,nan,nan,nan
0.12,219.9652862548828,-229.9525604248047,-4.965071678161621,219.5662805098312,-228.9443999538058,-4.979126451777887,1.0843388107645628,1.0025239678558553,1.0025239678558553,0.00039309787743350836,1.67514609428081,1.7717655638472982,nan,2.9048734218560335,nan
